mes,area,pais,headcount,costo_mensual_usd,rotacion_12m_pct,vacantes_abiertas
2024-12,Finanzas y Administración,Perú,6,24443,10.5,0
2024-12,Finanzas y Administración,Uruguay,5,21284,13.9,0
2024-12,Finanzas y Administración,Chile,2,8685,12.5,0
2024-12,Finanzas y Administración,Remoto / otros,1,4209,17.1,0
2024-12,Gente y Cultura,Colombia,37,128657,15.0,2
2024-12,Gente y Cultura,México,15,49934,8.8,0
2024-12,Gente y Cultura,Ecuador,6,20790,13.1,0
2024-12,Gente y Cultura,Perú,4,14035,13.0,0
2024-12,Gente y Cultura,Uruguay,3,10375,9.9,0
2024-12,Gente y Cultura,Chile,1,3361,10.0,0
2024-12,Gente y Cultura,Remoto / otros,1,3514,14.5,0
2025-01,Producto y Tecnología,Colombia,338,2341090,12.5,8
2025-01,Producto y Tecnología,México,136,903881,13.5,8
2025-01,Producto y Tecnología,Ecuador,57,407183,12.5,2
2025-01,Producto y Tecnología,Perú,38,283603,12.3,2
2025-01,Producto y Tecnología,Uruguay,30,204230,17.7,3
2025-01,Producto y Tecnología,Chile,13,89947,13.3,1
2025-01,Producto y Tecnología,Remoto / otros,10,72167,11.5,0
2025-01,Servicio al Cliente,Colombia,291,690941,17.6,4
2025-01,Servicio al Cliente,México,117,278590,19.8,4
2025-01,Servicio al Cliente,Ecuador,49,120258,23.1,0
2025-01,Servicio al Cliente,Perú,32,78194,19.2,1
2025-01,Servicio al Cliente,Uruguay,26,60001,18.7,0
2025-01,Servicio al Cliente,Chile,11,26814,15.9,2
2025-01,Servicio al Cliente,Remoto / otros,9,21611,16.3,0
2025-01,Comercial,Colombia,210,617184,11.8,2
2025-01,Comercial,México,84,257402,9.2,1
2025-01,Comercial,Ecuador,35,104087,18.4,1
2025-01,Comercial,Perú,23,66131,17.6,1
2025-01,Comercial,Uruguay,19,57739,11.6,0
2025-01,Comercial,Chile,8,23629,11.6,0
2025-01,Comercial,Remoto / otros,6,18952,14.3,2
2025-01,Mercadeo,Colombia,63,218489,9.0,1
2025-01,Mercadeo,México,25,91402,8.6,1
2025-01,Mercadeo,Ecuador,10,36063,14.6,0
2025-01,Mercadeo,Perú,7,24553,11.8,0
2025-01,Mercadeo,Uruguay,5,17607,10.5,0
2025-01,Mercadeo,Chile,2,7411,9.4,0
2025-01,Mercadeo,Remoto / otros,1,3673,11.2,0
2025-01,Operaciones,Colombia,87,248908,11.2,2
2025-01,Operaciones,México,35,95281,13.7,1
2025-01,Operaciones,Ecuador,14,40114,14.2,0
2025-01,Operaciones,Perú,9,24166,9.7,0
2025-01,Operaciones,Uruguay,7,19560,14.2,0
2025-01,Operaciones,Chile,3,8851,6.7,0
2025-01,Operaciones,Remoto / otros,2,5676,10.8,0
2025-01,Finanzas y Administración,Colombia,56,228362,10.6,1
2025-01,Finanzas y Administración,México,22,93536,8.1,0
2025-01,Finanzas y Administración,Ecuador,9,38268,9.4,1
2025-01,Finanzas y Administración,Perú,6,25195,11.5,1
2025-01,Finanzas y Administración,Uruguay,5,20714,8.7,0
2025-01,Finanzas y Administración,Chile,2,8434,11.0,1
2025-01,Finanzas y Administración,Remoto / otros,1,4056,15.0,0
2025-01,Gente y Cultura,Colombia,38,132763,11.5,1
2025-01,Gente y Cultura,México,15,49609,9.7,0
2025-01,Gente y Cultura,Ecuador,6,20185,12.5,0
2025-01,Gente y Cultura,Perú,4,13470,13.9,0
2025-01,Gente y Cultura,Uruguay,3,10408,12.3,0
2025-01,Gente y Cultura,Chile,1,3516,11.4,0
2025-01,Gente y Cultura,Remoto / otros,1,3453,13.1,0
2025-02,Producto y Tecnología,Colombia,343,2345266,11.3,6
2025-02,Producto y Tecnología,México,138,936977,15.9,4
2025-02,Producto y Tecnología,Ecuador,58,412682,12.9,2
2025-02,Producto y Tecnología,Perú,38,264749,13.1,1
2025-02,Producto y Tecnología,Uruguay,31,221103,12.8,1
2025-02,Producto y Tecnología,Chile,13,94390,7.6,0
2025-02,Producto y Tecnología,Remoto / otros,10,66133,8.6,0
2025-02,Servicio al Cliente,Colombia,295,700873,18.9,8
2025-02,Servicio al Cliente,México,118,285926,16.4,3
2025-02,Servicio al Cliente,Ecuador,50,120017,20.3,1
2025-02,Servicio al Cliente,Perú,33,74824,21.2,0
2025-02,Servicio al Cliente,Uruguay,26,61071,19.2,0
2025-02,Servicio al Cliente,Chile,12,28402,22.1,0
2025-02,Servicio al Cliente,Remoto / otros,9,21487,18.8,1
2025-02,Comercial,Colombia,213,645845,14.7,6
2025-02,Comercial,México,86,270326,11.6,4
2025-02,Comercial,Ecuador,36,111126,15.9,0
2025-02,Comercial,Perú,24,75767,7.9,1
2025-02,Comercial,Uruguay,19,62700,7.0,0
2025-02,Comercial,Chile,8,25254,11.0,1
2025-02,Comercial,Remoto / otros,6,18568,10.0,0
2025-02,Mercadeo,Colombia,63,235254,9.6,1
2025-02,Mercadeo,México,25,88464,14.4,1
2025-02,Mercadeo,Ecuador,10,36389,14.3,0
2025-02,Mercadeo,Perú,7,26622,8.8,0
2025-02,Mercadeo,Uruguay,5,18332,10.6,0
2025-02,Mercadeo,Chile,2,7024,11.1,1
2025-02,Mercadeo,Remoto / otros,2,7505,14.9,0
2025-02,Operaciones,Colombia,89,241743,14.9,1
2025-02,Operaciones,México,35,99503,10.7,0
2025-02,Operaciones,Ecuador,15,40613,10.6,1
2025-02,Operaciones,Perú,10,29223,14.9,0
2025-02,Operaciones,Uruguay,8,23061,11.2,0
2025-02,Operaciones,Chile,3,8516,13.4,0
2025-02,Operaciones,Remoto / otros,2,5544,8.4,0
2025-02,Finanzas y Administración,Colombia,57,238193,13.5,0
2025-02,Finanzas y Administración,México,23,99104,12.3,1
2025-02,Finanzas y Administración,Ecuador,9,37534,10.6,1
2025-02,Finanzas y Administración,Perú,6,25009,11.6,1
2025-02,Finanzas y Administración,Uruguay,5,20886,9.4,0
2025-02,Finanzas y Administración,Chile,2,8711,9.0,0
2025-02,Finanzas y Administración,Remoto / otros,1,4331,9.1,0
2025-02,Gente y Cultura,Colombia,38,136711,9.2,1
2025-02,Gente y Cultura,México,15,51108,14.4,0
2025-02,Gente y Cultura,Ecuador,6,20214,14.3,0
2025-02,Gente y Cultura,Perú,4,13598,13.8,0
2025-02,Gente y Cultura,Uruguay,3,10289,9.0,0
2025-02,Gente y Cultura,Chile,1,3467,7.8,0
2025-02,Gente y Cultura,Remoto / otros,1,3305,11.0,1
2025-03,Producto y Tecnología,Colombia,347,2457540,11.4,12
2025-03,Producto y Tecnología,México,140,916518,12.6,3
2025-03,Producto y Tecnología,Ecuador,59,401646,10.5,2
2025-03,Producto y Tecnología,Perú,39,270432,14.4,0
2025-03,Producto y Tecnología,Uruguay,31,218006,11.8,1
2025-03,Producto y Tecnología,Chile,14,100882,9.5,0
2025-03,Producto y Tecnología,Remoto / otros,10,65649,15.7,1
2025-03,Servicio al Cliente,Colombia,298,728535,15.1,12
2025-03,Servicio al Cliente,México,120,281332,15.4,7
2025-03,Servicio al Cliente,Ecuador,50,124241,20.2,1
2025-03,Servicio al Cliente,Perú,33,82352,13.8,0
2025-03,Servicio al Cliente,Uruguay,27,64446,19.7,1
2025-03,Servicio al Cliente,Chile,12,29256,18.5,0
2025-03,Servicio al Cliente,Remoto / otros,9,20786,20.8,0
2025-03,Comercial,Colombia,216,685672,13.3,7
2025-03,Comercial,México,87,287846,6.1,3
2025-03,Comercial,Ecuador,36,113894,14.3,1
2025-03,Comercial,Perú,24,73011,13.7,2
2025-03,Comercial,Uruguay,19,58521,12.3,0
2025-03,Comercial,Chile,8,24286,14.4,0
2025-03,Comercial,Remoto / otros,6,19492,9.6,0
2025-03,Mercadeo,Colombia,64,239601,11.2,0
2025-03,Mercadeo,México,26,91709,12.5,2
2025-03,Mercadeo,Ecuador,10,36566,14.9,0
2025-03,Mercadeo,Perú,7,24979,13.6,0
2025-03,Mercadeo,Uruguay,5,18267,10.2,1
2025-03,Mercadeo,Chile,2,7310,7.5,0
2025-03,Mercadeo,Remoto / otros,2,7427,13.9,0
2025-03,Operaciones,Colombia,90,256174,8.4,5
2025-03,Operaciones,México,36,104771,13.3,0
2025-03,Operaciones,Ecuador,15,40989,14.1,1
2025-03,Operaciones,Perú,10,27459,12.4,0
2025-03,Operaciones,Uruguay,8,22667,8.5,1
2025-03,Operaciones,Chile,3,8179,15.9,0
2025-03,Operaciones,Remoto / otros,2,5677,14.4,0
2025-03,Finanzas y Administración,Colombia,57,242217,15.3,0
2025-03,Finanzas y Administración,México,23,101562,10.8,0
2025-03,Finanzas y Administración,Ecuador,9,39757,13.3,1
2025-03,Finanzas y Administración,Perú,6,25013,9.3,0
2025-03,Finanzas y Administración,Uruguay,5,22540,12.8,0
2025-03,Finanzas y Administración,Chile,2,8652,11.9,0
2025-03,Finanzas y Administración,Remoto / otros,1,4019,11.4,0
2025-03,Gente y Cultura,Colombia,38,122763,6.2,1
2025-03,Gente y Cultura,México,15,52269,10.7,2
2025-03,Gente y Cultura,Ecuador,6,21404,12.8,0
2025-03,Gente y Cultura,Perú,4,13928,12.0,0
2025-03,Gente y Cultura,Uruguay,3,10305,13.2,0
2025-03,Gente y Cultura,Chile,1,3424,9.8,0
2025-03,Gente y Cultura,Remoto / otros,1,3339,14.5,0
2025-04,Producto y Tecnología,Colombia,349,2440494,14.8,14
2025-04,Producto y Tecnología,México,140,1024404,12.9,7
2025-04,Producto y Tecnología,Ecuador,59,401263,12.4,5
2025-04,Producto y Tecnología,Perú,39,274823,13.1,1
2025-04,Producto y Tecnología,Uruguay,31,215734,11.2,1
2025-04,Producto y Tecnología,Chile,14,95687,10.5,0
2025-04,Producto y Tecnología,Remoto / otros,10,69098,9.3,0
2025-04,Servicio al Cliente,Colombia,300,756333,16.1,4
2025-04,Servicio al Cliente,México,120,294764,20.2,3
2025-04,Servicio al Cliente,Ecuador,51,126004,16.9,3
2025-04,Servicio al Cliente,Perú,33,85033,14.9,2
2025-04,Servicio al Cliente,Uruguay,27,64933,15.4,1
2025-04,Servicio al Cliente,Chile,12,28600,20.9,0
2025-04,Servicio al Cliente,Remoto / otros,9,21173,16.2,1
2025-04,Comercial,Colombia,217,656418,7.3,12
2025-04,Comercial,México,87,268265,14.9,2
2025-04,Comercial,Ecuador,36,112740,15.5,1
2025-04,Comercial,Perú,24,74385,14.4,3
2025-04,Comercial,Uruguay,19,59810,11.4,1
2025-04,Comercial,Chile,8,25753,14.3,0
2025-04,Comercial,Remoto / otros,6,18234,11.6,0
2025-04,Mercadeo,Colombia,64,221834,13.7,5
2025-04,Mercadeo,México,26,96197,16.4,0
2025-04,Mercadeo,Ecuador,11,39998,10.6,0
2025-04,Mercadeo,Perú,7,24521,10.9,0
2025-04,Mercadeo,Uruguay,5,17430,14.9,0
2025-04,Mercadeo,Chile,2,7363,12.8,0
2025-04,Mercadeo,Remoto / otros,2,7227,18.1,0
2025-04,Operaciones,Colombia,90,250051,14.0,1
2025-04,Operaciones,México,36,101572,11.7,1
2025-04,Operaciones,Ecuador,15,41785,7.7,0
2025-04,Operaciones,Perú,10,27053,15.7,0
2025-04,Operaciones,Uruguay,8,20821,13.8,0
2025-04,Operaciones,Chile,3,8325,11.0,0
2025-04,Operaciones,Remoto / otros,2,5743,12.3,0
2025-04,Finanzas y Administración,Colombia,58,238589,8.8,1
2025-04,Finanzas y Administración,México,23,95499,9.8,1
2025-04,Finanzas y Administración,Ecuador,9,38975,11.9,0
2025-04,Finanzas y Administración,Perú,6,25307,11.8,0
2025-04,Finanzas y Administración,Uruguay,5,21140,9.8,0
2025-04,Finanzas y Administración,Chile,2,8386,11.4,0
2025-04,Finanzas y Administración,Remoto / otros,1,4306,15.6,0
2025-04,Gente y Cultura,Colombia,39,134939,13.2,0
2025-04,Gente y Cultura,México,15,49761,14.7,0
2025-04,Gente y Cultura,Ecuador,6,19997,15.3,0
2025-04,Gente y Cultura,Perú,4,13704,19.0,0
2025-04,Gente y Cultura,Uruguay,3,10295,13.4,0
2025-04,Gente y Cultura,Chile,1,3397,10.9,0
2025-04,Gente y Cultura,Remoto / otros,1,3357,13.2,0
2025-05,Producto y Tecnología,Colombia,347,2420661,15.5,8
2025-05,Producto y Tecnología,México,139,955948,12.8,3
2025-05,Producto y Tecnología,Ecuador,59,399722,12.3,1
2025-05,Producto y Tecnología,Perú,39,274894,12.5,2
2025-05,Producto y Tecnología,Uruguay,31,208967,10.3,0
2025-05,Producto y Tecnología,Chile,14,94603,11.5,0
2025-05,Producto y Tecnología,Remoto / otros,10,70911,10.6,0
2025-05,Servicio al Cliente,Colombia,298,738634,21.5,10
2025-05,Servicio al Cliente,México,120,286083,15.8,5
2025-05,Servicio al Cliente,Ecuador,50,118206,15.5,3
2025-05,Servicio al Cliente,Perú,33,75706,25.1,1
2025-05,Servicio al Cliente,Uruguay,26,62040,20.3,0
2025-05,Servicio al Cliente,Chile,12,28784,20.0,0
2025-05,Servicio al Cliente,Remoto / otros,9,20735,16.4,0
2025-05,Comercial,Colombia,215,644431,11.9,6
2025-05,Comercial,México,86,269158,12.3,4
2025-05,Comercial,Ecuador,36,109559,10.5,0
2025-05,Comercial,Perú,24,75323,18.0,1
2025-05,Comercial,Uruguay,19,59244,13.1,2
2025-05,Comercial,Chile,8,24691,12.0,0
2025-05,Comercial,Remoto / otros,6,17855,12.2,1
2025-05,Mercadeo,Colombia,64,223545,11.4,0
2025-05,Mercadeo,México,25,89746,7.1,2
2025-05,Mercadeo,Ecuador,10,37141,13.3,0
2025-05,Mercadeo,Perú,7,25273,9.2,1
2025-05,Mercadeo,Uruguay,5,17688,11.9,0
2025-05,Mercadeo,Chile,2,7103,10.1,0
2025-05,Mercadeo,Remoto / otros,2,7020,13.0,0
2025-05,Operaciones,Colombia,90,244260,12.2,2
2025-05,Operaciones,México,36,101150,11.3,2
2025-05,Operaciones,Ecuador,15,42934,10.8,1
2025-05,Operaciones,Perú,10,29152,9.5,1
2025-05,Operaciones,Uruguay,8,21690,14.7,0
2025-05,Operaciones,Chile,3,8454,9.5,0
2025-05,Operaciones,Remoto / otros,2,5547,11.8,0
2025-05,Finanzas y Administración,Colombia,57,252092,11.2,3
2025-05,Finanzas y Administración,México,23,95175,12.4,0
2025-05,Finanzas y Administración,Ecuador,9,36588,10.0,0
2025-05,Finanzas y Administración,Perú,6,24469,10.3,0
2025-05,Finanzas y Administración,Uruguay,5,21516,13.1,0
2025-05,Finanzas y Administración,Chile,2,9148,13.2,0
2025-05,Finanzas y Administración,Remoto / otros,1,4238,15.4,0
2025-05,Gente y Cultura,Colombia,38,130965,14.0,1
2025-05,Gente y Cultura,México,15,52058,11.0,1
2025-05,Gente y Cultura,Ecuador,6,20185,12.5,0
2025-05,Gente y Cultura,Perú,4,13336,12.9,0
2025-05,Gente y Cultura,Uruguay,3,10234,8.9,0
2025-05,Gente y Cultura,Chile,1,3239,13.1,0
2025-05,Gente y Cultura,Remoto / otros,1,3304,7.1,0
2025-06,Producto y Tecnología,Colombia,350,2431595,13.1,11
2025-06,Producto y Tecnología,México,141,1022718,10.8,3
2025-06,Producto y Tecnología,Ecuador,59,400718,14.4,0
2025-06,Producto y Tecnología,Perú,39,268628,12.0,1
2025-06,Producto y Tecnología,Uruguay,31,215081,11.7,4
2025-06,Producto y Tecnología,Chile,14,94617,12.6,0
2025-06,Producto y Tecnología,Remoto / otros,11,78224,13.8,0
2025-06,Servicio al Cliente,Colombia,300,716754,19.2,10
2025-06,Servicio al Cliente,México,121,293466,20.4,7
2025-06,Servicio al Cliente,Ecuador,51,124840,19.8,0
2025-06,Servicio al Cliente,Perú,33,81684,17.6,0
2025-06,Servicio al Cliente,Uruguay,27,63075,16.4,0
2025-06,Servicio al Cliente,Chile,12,27241,16.4,0
2025-06,Servicio al Cliente,Remoto / otros,9,20879,21.5,0
2025-06,Comercial,Colombia,217,696555,11.1,8
2025-06,Comercial,México,87,283712,8.7,2
2025-06,Comercial,Ecuador,37,111514,16.1,2
2025-06,Comercial,Perú,24,76432,15.1,1
2025-06,Comercial,Uruguay,19,57298,11.3,1
2025-06,Comercial,Chile,8,23985,7.9,0
2025-06,Comercial,Remoto / otros,6,19097,10.4,1
2025-06,Mercadeo,Colombia,65,242704,13.3,0
2025-06,Mercadeo,México,26,91423,8.2,1
2025-06,Mercadeo,Ecuador,11,39554,12.7,1
2025-06,Mercadeo,Perú,7,25026,10.8,0
2025-06,Mercadeo,Uruguay,5,18564,8.6,0
2025-06,Mercadeo,Chile,2,7099,14.4,0
2025-06,Mercadeo,Remoto / otros,2,7409,9.2,0
2025-06,Operaciones,Colombia,90,260958,10.3,0
2025-06,Operaciones,México,36,98874,13.1,1
2025-06,Operaciones,Ecuador,15,41756,10.2,0
2025-06,Operaciones,Perú,10,28129,11.9,0
2025-06,Operaciones,Uruguay,8,22579,15.4,0
2025-06,Operaciones,Chile,3,8346,10.4,0
2025-06,Operaciones,Remoto / otros,2,5559,14.8,0
2025-06,Finanzas y Administración,Colombia,58,239474,12.9,2
