mes,pais,canal,visitas,leads,trials,activados,pagados,inversion_usd,cac_usd
2025-01,Ecuador,Referidos de clientes,17981,896,173,99,83,7152.0,86.17
2025-01,Ecuador,Alianzas y bancos,10243,469,127,81,66,20663.0,313.08
2025-01,Ecuador,Marketplace / App,10096,322,88,51,36,8803.0,244.53
2025-01,Perú,Búsqueda orgánica,28815,1386,351,195,141,27724.0,196.62
2025-01,Perú,Canal de contadores,28353,1263,379,244,214,32666.0,152.64
2025-01,Perú,Google Ads,50559,1359,275,180,113,86087.0,761.84
2025-01,Perú,Meta Ads,21345,1030,224,140,79,40463.0,512.2
2025-01,Perú,Televentas,15655,723,183,111,89,54032.0,607.1
2025-01,Perú,Referidos de clientes,8692,441,122,77,60,4826.0,80.43
2025-01,Perú,Alianzas y bancos,7314,346,86,57,48,16289.0,339.35
2025-01,Perú,Marketplace / App,4073,200,61,34,22,6226.0,283.0
2025-01,Uruguay,Búsqueda orgánica,15653,693,196,115,80,22112.0,276.4
2025-01,Uruguay,Canal de contadores,29664,906,208,117,102,18698.0,183.32
2025-01,Uruguay,Google Ads,23652,743,163,97,60,58147.0,969.11
2025-01,Uruguay,Meta Ads,13346,629,131,73,40,36344.0,908.61
2025-01,Uruguay,Televentas,6506,328,93,49,41,29683.0,723.98
2025-01,Uruguay,Referidos de clientes,7385,239,49,31,28,2940.0,105.02
2025-01,Uruguay,Alianzas y bancos,3220,159,46,29,23,9798.0,426.0
2025-01,Uruguay,Marketplace / App,3300,170,35,19,13,4861.0,373.95
2025-01,Chile,Búsqueda orgánica,23293,766,158,91,64,20419.0,319.04
2025-01,Chile,Canal de contadores,18298,774,158,89,81,20728.0,255.9
2025-01,Chile,Google Ads,9531,456,122,67,42,48618.0,1157.58
2025-01,Chile,Meta Ads,7040,267,72,49,27,27775.0,1028.69
2025-01,Chile,Televentas,4105,206,61,39,31,33165.0,1069.85
2025-01,Chile,Referidos de clientes,2882,139,35,21,18,2677.0,148.73
2025-01,Chile,Alianzas y bancos,3592,148,42,24,19,9555.0,502.87
2025-01,Chile,Marketplace / App,2660,74,23,14,10,4183.0,418.32
2025-02,Colombia,Búsqueda orgánica,116238,5023,1303,811,587,90930.0,154.91
2025-02,Colombia,Canal de contadores,148360,5023,1500,819,769,96148.0,125.03
2025-02,Colombia,Google Ads,85189,3459,1036,685,436,318709.0,730.98
2025-02,Colombia,Meta Ads,107679,4363,917,495,282,161752.0,573.59
2025-02,Colombia,Televentas,82377,3172,703,384,316,195074.0,617.32
2025-02,Colombia,Referidos de clientes,48343,1914,457,282,238,19467.0,81.79
2025-02,Colombia,Alianzas y bancos,25115,1305,377,197,170,51438.0,302.57
2025-02,Colombia,Marketplace / App,38758,1293,250,147,95,21368.0,224.93
2025-02,México,Búsqueda orgánica,192287,6275,1352,826,603,108713.0,180.29
2025-02,México,Canal de contadores,130636,4146,1075,712,635,107008.0,168.52
2025-02,México,Google Ads,100878,3284,998,613,394,292192.0,741.6
2025-02,México,Meta Ads,79861,3234,755,503,268,199920.0,745.97
2025-02,México,Televentas,40180,1936,599,335,268,169232.0,631.46
2025-02,México,Referidos de clientes,33657,1612,453,239,203,20018.0,98.61
2025-02,México,Alianzas y bancos,43541,1379,352,204,162,65903.0,406.81
2025-02,México,Marketplace / App,28864,1148,264,155,97,28160.0,290.31
2025-02,Ecuador,Búsqueda orgánica,56088,2296,469,278,215,40497.0,188.36
2025-02,Ecuador,Canal de contadores,63892,2391,462,255,222,30153.0,135.82
2025-02,Ecuador,Google Ads,36190,1367,372,247,150,107644.0,717.63
2025-02,Ecuador,Meta Ads,31824,1171,289,170,88,56063.0,637.08
2025-02,Ecuador,Televentas,22715,725,213,124,98,63199.0,644.89
2025-02,Ecuador,Referidos de clientes,9326,475,120,73,67,5482.0,81.82
2025-02,Ecuador,Alianzas y bancos,12922,506,111,72,55,17044.0,309.88
2025-02,Ecuador,Marketplace / App,8176,310,82,44,29,6911.0,238.3
2025-02,Perú,Búsqueda orgánica,31308,1209,324,195,142,29070.0,204.72
2025-02,Perú,Canal de contadores,26984,1180,357,219,198,27250.0,137.63
2025-02,Perú,Google Ads,34044,1003,266,162,105,77686.0,739.87
2025-02,Perú,Meta Ads,27132,931,215,123,74,48277.0,652.39
2025-02,Perú,Televentas,16793,553,158,100,74,46992.0,635.03
2025-02,Perú,Referidos de clientes,15915,415,90,56,49,3977.0,81.17
2025-02,Perú,Alianzas y bancos,10405,401,87,48,39,12999.0,333.3
2025-02,Perú,Marketplace / App,9441,274,55,31,21,5541.0,263.87
2025-02,Uruguay,Búsqueda orgánica,11365,565,149,94,65,17528.0,269.66
2025-02,Uruguay,Canal de contadores,9573,485,145,94,83,15932.0,191.95
2025-02,Uruguay,Google Ads,12405,506,139,85,54,58995.0,1092.51
2025-02,Uruguay,Meta Ads,12231,336,94,54,28,25643.0,915.81
2025-02,Uruguay,Televentas,9743,269,65,39,32,25469.0,795.9
2025-02,Uruguay,Referidos de clientes,3874,188,39,25,23,2653.0,115.36
2025-02,Uruguay,Alianzas y bancos,4188,120,30,20,17,7394.0,434.92
2025-02,Uruguay,Marketplace / App,2952,104,24,16,11,3689.0,335.36
2025-02,Chile,Búsqueda orgánica,10533,347,99,63,45,13880.0,308.45
2025-02,Chile,Canal de contadores,14549,600,115,69,65,15175.0,233.46
2025-02,Chile,Google Ads,13413,455,88,49,34,39325.0,1156.63
2025-02,Chile,Meta Ads,9505,257,70,40,21,26188.0,1247.04
2025-02,Chile,Televentas,6022,206,60,32,27,25154.0,931.62
2025-02,Chile,Referidos de clientes,2732,129,30,19,16,2214.0,138.38
2025-02,Chile,Alianzas y bancos,3915,106,32,18,15,7072.0,471.47
2025-02,Chile,Marketplace / App,2277,69,16,11,8,3109.0,388.65
2025-03,Colombia,Búsqueda orgánica,240310,7556,1675,874,641,116970.0,182.48
2025-03,Colombia,Canal de contadores,147676,6578,1490,781,713,93481.0,131.11
2025-03,Colombia,Google Ads,102318,4683,1447,772,449,269883.0,601.08
2025-03,Colombia,Meta Ads,137428,3771,904,549,288,206227.0,716.07
2025-03,Colombia,Televentas,58897,2540,704,395,324,164191.0,506.76
2025-03,Colombia,Referidos de clientes,41890,1697,464,262,221,16920.0,76.56
2025-03,Colombia,Alianzas y bancos,29377,1185,341,218,172,47428.0,275.75
2025-03,Colombia,Marketplace / App,29773,1197,231,126,92,19243.0,209.17
2025-03,México,Búsqueda orgánica,238064,7093,1420,869,614,131557.0,214.26
2025-03,México,Canal de contadores,157541,5879,1287,741,660,115783.0,175.43
2025-03,México,Google Ads,141519,4734,1093,682,435,395770.0,909.82
2025-03,México,Meta Ads,118049,3900,829,473,260,199531.0,767.43
2025-03,México,Televentas,51164,2135,593,329,266,180102.0,677.07
2025-03,México,Referidos de clientes,37173,1283,366,233,195,18952.0,97.19
2025-03,México,Alianzas y bancos,37434,1233,348,196,148,52101.0,352.04
2025-03,México,Marketplace / App,30040,801,216,124,81,19235.0,237.47
2025-03,Ecuador,Búsqueda orgánica,53592,1980,397,257,191,29847.0,156.27
2025-03,Ecuador,Canal de contadores,40798,1764,419,270,231,32477.0,140.59
2025-03,Ecuador,Google Ads,56533,1807,401,220,133,86973.0,653.94
2025-03,Ecuador,Meta Ads,27192,954,285,161,83,56745.0,683.67
2025-03,Ecuador,Televentas,19159,981,232,123,94,58081.0,617.89
2025-03,Ecuador,Referidos de clientes,23096,749,146,79,69,5200.0,75.36
2025-03,Ecuador,Alianzas y bancos,11138,504,143,76,62,21045.0,339.43
2025-03,Ecuador,Marketplace / App,8477,338,81,47,32,6813.0,212.91
2025-03,Perú,Búsqueda orgánica,30784,1058,275,158,122,23840.0,195.41
2025-03,Perú,Canal de contadores,26511,1317,283,192,159,20039.0,126.03
2025-03,Perú,Google Ads,24237,1053,304,172,106,71747.0,676.86
2025-03,Perú,Meta Ads,19492,818,178,115,62,43698.0,704.81
2025-03,Perú,Televentas,11355,469,145,90,70,40397.0,577.1
2025-03,Perú,Referidos de clientes,8357,251,69,43,36,3104.0,86.21
2025-03,Perú,Alianzas y bancos,4959,224,64,40,33,10633.0,322.22
2025-03,Perú,Marketplace / App,5968,201,51,30,20,4477.0,223.84
2025-03,Uruguay,Búsqueda orgánica,14435,439,131,88,66,16712.0,253.2
2025-03,Uruguay,Canal de contadores,20811,780,154,86,78,14344.0,183.89
2025-03,Uruguay,Google Ads,21682,588,159,85,52,52190.0,1003.64
2025-03,Uruguay,Meta Ads,9976,344,91,59,32,27359.0,854.96
2025-03,Uruguay,Televentas,6020,243,69,37,29,23819.0,821.36
2025-03,Uruguay,Referidos de clientes,4661,176,46,28,24,2692.0,112.18
2025-03,Uruguay,Alianzas y bancos,3271,118,36,20,17,7492.0,440.73
2025-03,Uruguay,Marketplace / App,2256,90,22,15,10,2919.0,291.89
2025-03,Chile,Búsqueda orgánica,9229,428,128,76,54,17747.0,328.64
2025-03,Chile,Canal de contadores,11620,517,139,74,67,16135.0,240.83
2025-03,Chile,Google Ads,11765,360,105,70,42,53931.0,1284.06
2025-03,Chile,Meta Ads,5678,238,59,38,21,19267.0,917.47
2025-03,Chile,Televentas,5431,254,53,34,27,25030.0,927.03
2025-03,Chile,Referidos de clientes,5067,193,46,26,21,2252.0,107.26
2025-03,Chile,Alianzas y bancos,4216,110,24,16,14,6738.0,481.25
2025-03,Chile,Marketplace / App,2294,78,20,12,8,2586.0,323.21
2025-04,Colombia,Búsqueda orgánica,130364,4860,1095,717,514,96977.0,188.67
2025-04,Colombia,Canal de contadores,135543,5378,1144,728,626,80441.0,128.5
2025-04,Colombia,Google Ads,181151,4942,958,622,387,255185.0,659.39
2025-04,Colombia,Meta Ads,67740,2451,726,438,237,150161.0,633.59
2025-04,Colombia,Televentas,38941,1776,492,325,277,148647.0,536.63
2025-04,Colombia,Referidos de clientes,58386,1846,427,233,189,13836.0,73.21
2025-04,Colombia,Alianzas y bancos,54993,1435,296,177,146,42190.0,288.98
2025-04,Colombia,Marketplace / App,34081,981,231,136,88,22043.0,250.49
2025-04,México,Búsqueda orgánica,121878,4599,1099,674,492,109066.0,221.68
2025-04,México,Canal de contadores,129103,6459,1422,795,696,113003.0,162.36
2025-04,México,Google Ads,67303,3096,909,541,336,281519.0,837.85
2025-04,México,Meta Ads,58748,3029,612,394,208,162292.0,780.25
2025-04,México,Televentas,85960,2790,668,374,263,197940.0,752.62
2025-04,México,Referidos de clientes,32345,1183,301,204,183,19105.0,104.4
2025-04,México,Alianzas y bancos,42748,1311,271,178,137,45063.0,328.93
2025-04,México,Marketplace / App,14547,736,189,126,83,24227.0,291.89
2025-04,Ecuador,Búsqueda orgánica,28729,1261,313,210,154,31701.0,205.85
2025-04,Ecuador,Canal de contadores,39649,1385,388,252,225,32151.0,142.89
2025-04,Ecuador,Google Ads,32715,1428,331,205,137,89362.0,652.27
2025-04,Ecuador,Meta Ads,28095,1134,273,150,80,55392.0,692.39
2025-04,Ecuador,Televentas,26762,791,176,99,77,46153.0,599.39
2025-04,Ecuador,Referidos de clientes,12243,453,116,66,53,4931.0,93.04
2025-04,Ecuador,Alianzas y bancos,10160,525,107,67,52,15596.0,299.93
2025-04,Ecuador,Marketplace / App,8397,246,60,38,27,7026.0,260.22
2025-04,Perú,Búsqueda orgánica,27974,1283,265,172,127,23056.0,181.54
2025-04,Perú,Canal de contadores,35958,1368,345,191,175,25521.0,145.84
2025-04,Perú,Google Ads,46529,1367,293,158,94,68869.0,732.65
2025-04,Perú,Meta Ads,28012,946,188,115,61,40613.0,665.78
2025-04,Perú,Televentas,13400,584,162,86,69,37083.0,537.44
2025-04,Perú,Referidos de clientes,10545,308,79,52,43,3985.0,92.67
2025-04,Perú,Alianzas y bancos,11674,380,85,46,37,12036.0,325.28
2025-04,Perú,Marketplace / App,4959,129,39,25,18,4579.0,254.38
2025-04,Uruguay,Búsqueda orgánica,19995,565,156,86,61,16200.0,265.58
2025-04,Uruguay,Canal de contadores,9823,506,155,86,74,14399.0,194.58
2025-04,Uruguay,Google Ads,11976,548,134,76,43,38736.0,900.84
2025-04,Uruguay,Meta Ads,10075,343,81,49,25,24117.0,964.7
2025-04,Uruguay,Televentas,8390,282,58,37,29,23347.0,805.07
2025-04,Uruguay,Referidos de clientes,5794,172,46,26,22,2273.0,103.32
2025-04,Uruguay,Alianzas y bancos,3249,114,28,18,16,6948.0,434.24
2025-04,Uruguay,Marketplace / App,2458,87,25,14,9,3104.0,344.85
2025-04,Chile,Búsqueda orgánica,21348,638,125,68,52,15315.0,294.51
2025-04,Chile,Canal de contadores,19424,658,130,79,70,15104.0,215.77
2025-04,Chile,Google Ads,8542,325,99,63,37,43852.0,1185.2
2025-04,Chile,Meta Ads,4879,222,64,40,22,23800.0,1081.8
2025-04,Chile,Televentas,5465,252,58,34,27,31563.0,1169.01
2025-04,Chile,Referidos de clientes,3533,149,35,19,18,2380.0,132.2
2025-04,Chile,Alianzas y bancos,4123,154,31,18,14,7092.0,506.54
2025-04,Chile,Marketplace / App,1554,64,16,10,7,3008.0,429.7
2025-05,Colombia,Búsqueda orgánica,126817,5562,1277,839,584,105630.0,180.87
2025-05,Colombia,Canal de contadores,138477,6583,1402,748,636,79425.0,124.88
2025-05,Colombia,Google Ads,123718,3728,1101,674,426,315964.0,741.7
2025-05,Colombia,Meta Ads,80299,3712,740,413,222,137962.0,621.45
2025-05,Colombia,Televentas,64212,2020,587,354,273,145006.0,531.16
2025-05,Colombia,Referidos de clientes,29974,1447,292,185,162,11063.0,68.29
2025-05,Colombia,Alianzas y bancos,32206,1285,258,169,131,42418.0,323.8
2025-05,Colombia,Marketplace / App,36564,1112,214,127,80,18103.0,226.29
2025-05,México,Búsqueda orgánica,128859,3713,995,627,489,117594.0,240.48
2025-05,México,Canal de contadores,161830,5181,1374,718,617,100165.0,162.34
2025-05,México,Google Ads,109084,3952,1159,700,416,372247.0,894.83
2025-05,México,Meta Ads,50622,2590,696,445,247,182282.0,737.99
2025-05,México,Televentas,55338,2101,574,363,277,199852.0,721.49
2025-05,México,Referidos de clientes,31233,1452,418,235,188,18961.0,100.85
2025-05,México,Alianzas y bancos,42240,1799,346,204,153,60126.0,392.98
2025-05,México,Marketplace / App,24783,680,174,115,70,20941.0,299.16
2025-05,Ecuador,Búsqueda orgánica,58346,1525,400,225,177,36398.0,205.64
2025-05,Ecuador,Canal de contadores,36894,1448,439,264,222,35340.0,159.19
2025-05,Ecuador,Google Ads,51698,1849,384,202,115,77596.0,674.75
2025-05,Ecuador,Meta Ads,20006,865,268,146,81,59051.0,729.03
2025-05,Ecuador,Televentas,24657,784,150,101,85,50423.0,593.21
2025-05,Ecuador,Referidos de clientes,12083,359,111,71,61,4904.0,80.39
2025-05,Ecuador,Alianzas y bancos,8801,450,98,57,45,13594.0,302.1
2025-05,Ecuador,Marketplace / App,7027,239,59,38,24,5785.0,241.03
2025-05,Perú,Búsqueda orgánica,18166,931,286,154,122,20055.0,164.39
2025-05,Perú,Canal de contadores,18380,889,260,159,144,21738.0,150.96
2025-05,Perú,Google Ads,18751,846,248,149,89,62637.0,703.79
2025-05,Perú,Meta Ads,10799,545,160,87,48,32823.0,683.81
2025-05,Perú,Televentas,12410,587,137,74,56,37539.0,670.34
