mes,pais,segmento,encuestados,promotores_pct,pasivos_pct,detractores_pct,nps,csat
2024-11,Uruguay,Pequeña,1394,55.1,16.8,28.0,27.1,4.08
2024-11,Uruguay,Mediana,1227,62.0,14.3,23.8,38.2,4.34
2024-11,Uruguay,Contador,671,66.2,12.7,21.1,45.0,4.51
2024-11,Chile,Micro,277,45.7,20.4,34.0,11.7,3.71
2024-11,Chile,Pequeña,1381,49.0,19.1,31.9,17.1,3.84
2024-11,Chile,Mediana,1076,55.9,16.5,27.6,28.3,4.11
2024-11,Chile,Contador,256,60.5,14.8,24.7,35.9,4.29
2024-12,Colombia,Micro,1247,52.2,17.9,29.9,22.3,4.02
2024-12,Colombia,Pequeña,1068,54.0,17.2,28.7,25.3,4.09
2024-12,Colombia,Mediana,1249,60.6,14.8,24.6,36.0,4.35
2024-12,Colombia,Contador,1293,62.3,14.1,23.5,38.8,4.41
2024-12,México,Micro,925,42.6,21.5,35.9,6.7,3.65
2024-12,México,Pequeña,1283,49.0,19.1,31.9,17.1,3.9
2024-12,México,Mediana,709,52.5,17.8,29.7,22.9,4.03
2024-12,México,Contador,1212,60.7,14.7,24.6,36.1,4.35
2024-12,Ecuador,Micro,511,49.5,18.9,31.6,17.9,3.92
2024-12,Ecuador,Pequeña,799,52.1,18.0,29.9,22.2,4.02
2024-12,Ecuador,Mediana,228,57.0,16.1,26.9,30.1,4.21
2024-12,Ecuador,Contador,414,63.3,13.8,23.0,40.3,4.45
2024-12,Perú,Micro,806,51.6,18.1,30.2,21.4,4.0
2024-12,Perú,Pequeña,702,57.6,15.9,26.5,31.1,4.23
2024-12,Perú,Mediana,591,61.3,14.5,24.2,37.1,4.37
2024-12,Perú,Contador,203,60.5,14.8,24.7,35.9,4.34
2024-12,Uruguay,Micro,945,50.4,18.6,31.0,19.5,3.95
2024-12,Uruguay,Pequeña,445,57.7,15.9,26.4,31.3,4.24
2024-12,Uruguay,Mediana,642,60.6,14.8,24.6,35.9,4.35
2024-12,Uruguay,Contador,1368,64.8,13.2,22.0,42.8,4.51
2024-12,Chile,Micro,791,45.3,20.5,34.2,11.1,3.75
2024-12,Chile,Pequeña,922,52.5,17.8,29.7,22.8,4.03
2024-12,Chile,Mediana,309,60.2,14.9,24.9,35.2,4.33
2024-12,Chile,Contador,868,60.1,15.0,24.9,35.1,4.33
2025-01,Colombia,Micro,1200,48.1,19.4,32.4,15.7,3.73
2025-01,Colombia,Pequeña,429,52.3,17.9,29.8,22.4,3.88
2025-01,Colombia,Mediana,228,62.0,14.2,23.7,38.3,4.26
2025-01,Colombia,Contador,515,59.7,15.1,25.2,34.4,4.17
2025-01,México,Micro,846,41.3,22.0,36.7,4.6,3.46
2025-01,México,Pequeña,501,46.5,20.1,33.4,13.1,3.66
2025-01,México,Mediana,238,53.8,17.3,28.9,24.9,3.94
2025-01,México,Contador,1259,55.0,16.9,28.1,26.8,3.99
2025-01,Ecuador,Micro,1344,43.1,21.3,35.6,7.5,3.53
2025-01,Ecuador,Pequeña,884,50.4,18.6,31.0,19.4,3.81
2025-01,Ecuador,Mediana,993,57.6,15.9,26.5,31.1,4.09
2025-01,Ecuador,Contador,352,59.7,15.1,25.2,34.5,4.17
2025-01,Perú,Micro,763,44.1,21.0,35.0,9.1,3.57
2025-01,Perú,Pequeña,734,52.9,17.7,29.5,23.4,3.91
2025-01,Perú,Mediana,878,57.4,16.0,26.6,30.7,4.08
2025-01,Perú,Contador,1326,59.5,15.2,25.3,34.2,4.17
2025-01,Uruguay,Micro,583,47.9,19.5,32.6,15.3,3.72
2025-01,Uruguay,Pequeña,1306,54.6,17.0,28.4,26.2,3.97
2025-01,Uruguay,Mediana,996,66.1,12.7,21.2,44.9,4.42
2025-01,Uruguay,Contador,458,63.8,13.6,22.6,41.1,4.33
2025-01,Chile,Micro,1264,43.7,21.1,35.2,8.5,3.55
2025-01,Chile,Pequeña,1191,50.6,18.5,30.9,19.8,3.82
2025-01,Chile,Mediana,1309,55.9,16.6,27.6,28.3,4.02
2025-01,Chile,Contador,1323,54.7,17.0,28.3,26.4,3.98
2025-02,Colombia,Micro,471,50.9,18.4,30.7,20.2,3.86
2025-02,Colombia,Pequeña,1009,56.4,16.4,27.3,29.1,4.07
2025-02,Colombia,Mediana,1338,60.8,14.7,24.5,36.4,4.25
2025-02,Colombia,Contador,523,60.6,14.8,24.6,35.9,4.24
2025-02,México,Micro,723,40.8,22.2,37.0,3.7,3.47
2025-02,México,Pequeña,1145,48.4,19.4,32.3,16.1,3.76
2025-02,México,Mediana,892,53.9,17.3,28.8,25.1,3.98
2025-02,México,Contador,718,55.3,16.8,27.9,27.4,4.03
2025-02,Ecuador,Micro,1318,48.0,19.5,32.5,15.4,3.75
2025-02,Ecuador,Pequeña,1156,48.9,19.2,31.9,17.0,3.78
2025-02,Ecuador,Mediana,359,56.8,16.2,27.0,29.8,4.09
2025-02,Ecuador,Contador,396,64.0,13.5,22.5,41.4,4.37
2025-02,Perú,Micro,1083,47.9,19.5,32.6,15.3,3.74
2025-02,Perú,Pequeña,976,53.0,17.6,29.4,23.6,3.94
2025-02,Perú,Mediana,524,60.4,14.8,24.7,35.7,4.23
2025-02,Perú,Contador,1234,61.3,14.5,24.2,37.1,4.26
2025-02,Uruguay,Micro,619,48.4,19.4,32.3,16.1,3.76
2025-02,Uruguay,Pequeña,585,55.5,16.7,27.8,27.7,4.04
2025-02,Uruguay,Mediana,1067,60.6,14.8,24.6,36.0,4.24
2025-02,Uruguay,Contador,217,63.9,13.5,22.5,41.4,4.37
2025-02,Chile,Micro,1342,47.8,19.6,32.6,15.2,3.74
2025-02,Chile,Pequeña,1279,53.4,17.5,29.1,24.3,3.96
2025-02,Chile,Mediana,889,56.3,16.4,27.3,29.1,4.07
2025-02,Chile,Contador,667,56.5,16.3,27.2,29.3,4.08
2025-03,Colombia,Micro,663,45.5,20.4,34.1,11.4,3.5
2025-03,Colombia,Pequeña,514,54.8,16.9,28.2,26.6,3.86
2025-03,Colombia,Mediana,876,60.0,15.0,25.0,34.9,4.06
2025-03,Colombia,Contador,625,61.3,14.5,24.2,37.0,4.11
2025-03,México,Micro,918,39.7,22.6,37.7,2.0,3.28
2025-03,México,Pequeña,426,46.7,20.0,33.3,13.4,3.55
2025-03,México,Mediana,361,52.5,17.8,29.7,22.8,3.77
2025-03,México,Contador,1056,58.3,15.6,26.0,32.3,4.0
2025-03,Ecuador,Micro,1207,41.6,21.9,36.5,5.1,3.35
2025-03,Ecuador,Pequeña,450,48.2,19.4,32.4,15.8,3.61
2025-03,Ecuador,Mediana,334,59.1,15.3,25.6,33.6,4.03
2025-03,Ecuador,Contador,530,55.2,16.8,28.0,27.2,3.88
2025-03,Perú,Micro,431,46.4,20.1,33.5,12.9,3.54
2025-03,Perú,Pequeña,1374,47.4,19.7,32.9,14.5,3.58
2025-03,Perú,Mediana,751,55.4,16.7,27.9,27.5,3.89
2025-03,Perú,Contador,485,55.2,16.8,28.0,27.2,3.88
2025-03,Uruguay,Micro,1233,45.7,20.4,34.0,11.7,3.51
2025-03,Uruguay,Pequeña,195,53.3,17.5,29.2,24.1,3.8
2025-03,Uruguay,Mediana,334,60.1,15.0,24.9,35.2,4.07
2025-03,Uruguay,Contador,1000,61.2,14.5,24.2,37.0,4.11
2025-03,Chile,Micro,778,41.7,21.9,36.4,5.2,3.36
2025-03,Chile,Pequeña,461,45.2,20.5,34.2,11.0,3.49
2025-03,Chile,Mediana,971,52.5,17.8,29.7,22.8,3.77
2025-03,Chile,Contador,1273,54.5,17.0,28.4,26.1,3.85
2025-04,Colombia,Micro,692,41.9,21.8,36.3,5.5,3.25
2025-04,Colombia,Pequeña,738,52.4,17.9,29.8,22.6,3.66
2025-04,Colombia,Mediana,274,57.2,16.0,26.7,30.5,3.85
2025-04,Colombia,Contador,1151,59.4,15.2,25.3,34.1,3.93
2025-04,México,Micro,1346,33.9,24.8,41.3,-7.4,2.95
2025-04,México,Pequeña,1300,44.7,20.7,34.6,10.2,3.36
2025-04,México,Mediana,290,53.2,17.6,29.3,23.9,3.69
2025-04,México,Contador,347,52.7,17.7,29.6,23.1,3.67
2025-04,Ecuador,Micro,667,43.6,21.1,35.2,8.4,3.32
2025-04,Ecuador,Pequeña,1399,48.1,19.5,32.4,15.7,3.49
2025-04,Ecuador,Mediana,661,53.2,17.5,29.2,24.0,3.69
2025-04,Ecuador,Contador,1321,55.5,16.7,27.8,27.8,3.78
2025-04,Perú,Micro,654,40.9,22.2,36.9,4.0,3.22
2025-04,Perú,Pequeña,1184,51.0,18.4,30.6,20.3,3.6
2025-04,Perú,Mediana,300,54.6,17.0,28.4,26.3,3.75
2025-04,Perú,Contador,282,58.4,15.6,26.0,32.4,3.89
2025-04,Uruguay,Micro,608,47.1,19.8,33.0,14.1,3.46
2025-04,Uruguay,Pequeña,702,53.2,17.6,29.3,23.9,3.69
2025-04,Uruguay,Mediana,713,60.5,14.8,24.7,35.9,3.98
2025-04,Uruguay,Contador,900,62.3,14.1,23.6,38.8,4.04
2025-04,Chile,Micro,1089,42.6,21.5,35.9,6.7,3.28
2025-04,Chile,Pequeña,328,47.2,19.8,33.0,14.2,3.46
2025-04,Chile,Mediana,1139,54.2,17.2,28.6,25.7,3.73
2025-04,Chile,Contador,1086,56.2,16.4,27.4,28.8,3.81
2025-05,Colombia,Micro,624,47.0,19.9,33.1,13.9,3.52
2025-05,Colombia,Pequeña,503,53.9,17.3,28.8,25.1,3.78
2025-05,Colombia,Mediana,390,60.8,14.7,24.5,36.3,4.05
2025-05,Colombia,Contador,682,60.7,14.8,24.6,36.1,4.05
2025-05,México,Micro,849,41.8,21.8,36.4,5.4,3.31
2025-05,México,Pequeña,406,43.0,21.4,35.6,7.4,3.36
2025-05,México,Mediana,1064,51.5,18.2,30.3,21.1,3.69
2025-05,México,Contador,570,54.0,17.2,28.7,25.3,3.79
2025-05,Ecuador,Micro,971,43.2,21.3,35.5,7.6,3.37
2025-05,Ecuador,Pequeña,411,50.1,18.7,31.2,19.0,3.64
2025-05,Ecuador,Mediana,239,53.4,17.5,29.1,24.2,3.76
2025-05,Ecuador,Contador,965,59.6,15.2,25.3,34.3,4.0
2025-05,Perú,Micro,1046,45.8,20.3,33.9,11.9,3.47
2025-05,Perú,Pequeña,1329,50.4,18.6,31.0,19.4,3.65
2025-05,Perú,Mediana,857,55.3,16.8,27.9,27.4,3.84
2025-05,Perú,Contador,611,53.4,17.5,29.1,24.3,3.77
2025-05,Uruguay,Micro,1185,46.4,20.1,33.5,12.9,3.49
2025-05,Uruguay,Pequeña,513,55.4,16.7,27.8,27.6,3.84
2025-05,Uruguay,Mediana,639,59.2,15.3,25.5,33.7,3.99
2025-05,Uruguay,Contador,407,64.4,13.4,22.3,42.1,4.19
2025-05,Chile,Micro,758,44.1,21.0,35.0,9.1,3.4
2025-05,Chile,Pequeña,339,51.3,18.3,30.4,20.9,3.68
2025-05,Chile,Mediana,586,55.5,16.7,27.8,27.7,3.85
2025-05,Chile,Contador,181,51.6,18.1,30.2,21.4,3.69
2025-06,Colombia,Micro,598,48.3,19.4,32.3,16.0,3.72
2025-06,Colombia,Pequeña,307,55.8,16.6,27.6,28.2,4.01
2025-06,Colombia,Mediana,1024,60.9,14.7,24.5,36.4,4.21
2025-06,Colombia,Contador,810,62.9,13.9,23.2,39.6,4.29
2025-06,México,Micro,570,45.0,20.6,34.4,10.7,3.6
2025-06,México,Pequeña,1360,48.7,19.2,32.1,16.6,3.74
2025-06,México,Mediana,982,55.1,16.8,28.1,27.0,3.99
2025-06,México,Contador,660,56.3,16.4,27.3,29.0,4.03
2025-06,Ecuador,Micro,883,45.5,20.4,34.1,11.4,3.61
2025-06,Ecuador,Pequeña,1253,53.6,17.4,29.0,24.6,3.93
2025-06,Ecuador,Mediana,791,58.1,15.7,26.2,31.9,4.1
2025-06,Ecuador,Contador,288,63.6,13.7,22.8,40.8,4.31
2025-06,Perú,Micro,1110,45.5,20.4,34.1,11.5,3.62
2025-06,Perú,Pequeña,433,53.4,17.5,29.1,24.2,3.92
2025-06,Perú,Mediana,924,57.5,15.9,26.5,31.0,4.08
2025-06,Perú,Contador,1397,61.0,14.6,24.4,36.7,4.22
2025-06,Uruguay,Micro,670,50.3,18.6,31.1,19.2,3.8
2025-06,Uruguay,Pequeña,421,56.1,16.5,27.4,28.6,4.02
2025-06,Uruguay,Mediana,243,62.9,13.9,23.2,39.7,4.29
2025-06,Uruguay,Contador,977,64.6,13.3,22.1,42.4,4.35
2025-06,Chile,Micro,699,44.5,20.8,34.7,9.8,3.58
2025-06,Chile,Pequeña,1304,51.2,18.3,30.5,20.7,3.84
2025-06,Chile,Mediana,1340,54.7,17.0,28.3,26.3,3.97
2025-06,Chile,Contador,568,61.7,14.4,23.9,37.7,4.24
2025-07,Colombia,Micro,771,47.2,19.8,33.0,14.2,3.71
2025-07,Colombia,Pequeña,539,58.4,15.6,26.0,32.4,4.14
2025-07,Colombia,Mediana,475,61.7,14.4,23.9,37.8,4.27
2025-07,Colombia,Contador,395,63.2,13.8,23.0,40.3,4.33
2025-07,México,Micro,1395,38.2,23.2,38.6,-0.4,3.36
2025-07,México,Pequeña,409,50.1,18.7,31.2,18.9,3.82
2025-07,México,Mediana,1116,55.8,16.6,27.6,28.1,4.04
2025-07,México,Contador,1250,61.9,14.3,23.8,38.0,4.27
2025-07,Ecuador,Micro,340,46.6,20.0,33.4,13.2,3.68
2025-07,Ecuador,Pequeña,593,52.5,17.8,29.7,22.8,3.91
2025-07,Ecuador,Mediana,466,59.8,15.1,25.2,34.6,4.19
2025-07,Ecuador,Contador,1084,61.7,14.3,23.9,37.8,4.27
2025-07,Perú,Micro,935,48.2,19.4,32.4,15.8,3.74
2025-07,Perú,Pequeña,356,53.4,17.5,29.1,24.2,3.94
2025-07,Perú,Mediana,898,62.1,14.2,23.7,38.5,4.28
2025-07,Perú,Contador,270,62.5,14.1,23.4,39.1,4.3
2025-07,Uruguay,Micro,1017,51.5,18.2,30.3,21.2,3.87
2025-07,Uruguay,Pequeña,428,57.3,16.0,26.7,30.6,4.1
2025-07,Uruguay,Mediana,366,63.1,13.8,23.1,40.1,4.32
2025-07,Uruguay,Contador,1330,65.4,13.0,21.6,43.8,4.41
2025-07,Chile,Micro,1398,44.4,20.8,34.7,9.7,3.6
2025-07,Chile,Pequeña,712,50.9,18.4,30.7,20.3,3.85
2025-07,Chile,Mediana,937,55.4,16.7,27.9,27.5,4.02
2025-07,Chile,Contador,821,57.4,16.0,26.6,30.8,4.1
2025-08,Colombia,Micro,1298,46.0,20.3,33.8,12.2,3.55
2025-08,Colombia,Pequeña,948,53.6,17.4,29.0,24.6,3.85
2025-08,Colombia,Mediana,322,60.3,14.9,24.8,35.4,4.11
2025-08,Colombia,Contador,978,58.2,15.7,26.1,32.2,4.03
2025-08,México,Micro,739,42.7,21.5,35.8,6.9,3.43
2025-08,México,Pequeña,878,47.5,19.7,32.8,14.6,3.61
2025-08,México,Mediana,1041,51.7,18.1,30.2,21.5,3.78
2025-08,México,Contador,822,56.5,16.3,27.2,29.3,3.96
2025-08,Ecuador,Micro,845,47.2,19.8,33.0,14.2,3.6
2025-08,Ecuador,Pequeña,663,51.2,18.3,30.5,20.7,3.76
2025-08,Ecuador,Mediana,589,55.8,16.6,27.6,28.2,3.93
2025-08,Ecuador,Contador,1111,60.0,15.0,25.0,35.0,4.1
2025-08,Perú,Micro,857,46.6,20.0,33.4,13.2,3.58
2025-08,Perú,Pequeña,415,56.7,16.2,27.1,29.7,3.97
2025-08,Perú,Mediana,435,53.8,17.3,28.9,24.9,3.86
2025-08,Perú,Contador,491,64.6,13.3,22.1,42.4,4.28
2025-08,Uruguay,Micro,864,48.0,19.5,32.5,15.5,3.63
2025-08,Uruguay,Pequeña,523,58.1,15.7,26.2,31.9,4.02
2025-08,Uruguay,Mediana,655,64.4,13.4,22.3,42.1,4.27
2025-08,Uruguay,Contador,354,64.5,13.3,22.2,42.3,4.27
2025-08,Chile,Micro,1107,44.9,20.7,34.5,10.4,3.51
2025-08,Chile,Pequeña,965,47.6,19.6,32.7,14.9,3.62
2025-08,Chile,Mediana,1171,54.6,17.0,28.3,26.3,3.89
2025-08,Chile,Contador,894,61.6,14.4,24.0,37.6,4.16
2025-09,Colombia,Micro,1159,50.2,18.7,31.1,19.1,3.73
2025-09,Colombia,Pequeña,641,58.6,15.5,25.9,32.7,4.06
2025-09,Colombia,Mediana,989,58.8,15.5,25.8,33.0,4.07
2025-09,Colombia,Contador,409,62.7,14.0,23.3,39.4,4.22
2025-09,México,Micro,1046,43.1,21.3,35.5,7.6,3.46
2025-09,México,Pequeña,346,46.6,20.0,33.4,13.2,3.6
2025-09,México,Mediana,470,55.5,16.7,27.8,27.6,3.94
2025-09,México,Contador,1342,52.4,17.9,29.8,22.6,3.82
2025-09,Ecuador,Micro,649,41.5,21.9,36.6,5.0,3.4
2025-09,Ecuador,Pequeña,890,50.5,18.6,31.0,19.5,3.74
2025-09,Ecuador,Mediana,841,58.3,15.6,26.0,32.3,4.05
2025-09,Ecuador,Contador,232,59.4,15.2,25.3,34.1,4.09
2025-09,Perú,Micro,1185,44.2,20.9,34.8,9.4,3.5
2025-09,Perú,Pequeña,952,51.9,18.0,30.1,21.9,3.8
2025-09,Perú,Mediana,1239,60.8,14.7,24.5,36.3,4.14
2025-09,Perú,Contador,286,62.9,13.9,23.2,39.8,4.23
2025-09,Uruguay,Micro,919,49.6,18.9,31.5,18.0,3.71
2025-09,Uruguay,Pequeña,1060,53.4,17.5,29.1,24.3,3.86
2025-09,Uruguay,Mediana,1396,59.0,15.4,25.6,33.4,4.08
2025-09,Uruguay,Contador,593,62.5,14.1,23.4,39.0,4.21
2025-09,Chile,Micro,1160,42.3,21.6,36.1,6.2,3.43
2025-09,Chile,Pequeña,1097,50.7,18.5,30.8,19.9,3.75
2025-09,Chile,Mediana,618,56.6,16.3,27.1,29.5,3.98
2025-09,Chile,Contador,832,57.3,16.0,26.7,30.6,4.01
2025-10,Colombia,Micro,1130,47.1,19.9,33.1,14.0,3.65
2025-10,Colombia,Pequeña,841,55.8,16.6,27.6,28.2,3.98
2025-10,Colombia,Mediana,1049,61.8,14.3,23.9,37.9,4.22
2025-10,Colombia,Contador,346,63.3,13.8,23.0,40.3,4.27
2025-10,México,Micro,455,43.4,21.2,35.3,8.1,3.51
2025-10,México,Pequeña,1203,49.6,18.9,31.5,18.0,3.74
2025-10,México,Mediana,603,55.1,16.9,28.1,27.0,3.96
2025-10,México,Contador,1260,58.7,15.5,25.8,32.8,4.1
2025-10,Ecuador,Micro,459,49.8,18.8,31.4,18.4,3.75
2025-10,Ecuador,Pequeña,1031,54.3,17.1,28.5,25.8,3.93
2025-10,Ecuador,Mediana,943,59.3,15.3,25.4,33.9,4.12
2025-10,Ecuador,Contador,611,59.0,15.4,25.6,33.4,4.11
2025-10,Perú,Micro,706,43.0,21.4,35.7,7.3,3.49
2025-10,Perú,Pequeña,666,56.0,16.5,27.5,28.5,3.99
2025-10,Perú,Mediana,223,55.2,16.8,28.0,27.2,3.96
2025-10,Perú,Contador,611,60.6,14.8,24.6,36.0,4.17
2025-10,Uruguay,Micro,846,49.6,18.9,31.5,18.2,3.75
2025-10,Uruguay,Pequeña,1099,53.5,17.4,29.1,24.4,3.9
2025-10,Uruguay,Mediana,468,60.6,14.8,24.6,36.0,4.17
2025-10,Uruguay,Contador,1255,63.8,13.6,22.6,41.2,4.29
2025-10,Chile,Micro,1001,42.5,21.6,35.9,6.5,3.47
2025-10,Chile,Pequeña,888,55.4,16.7,27.9,27.6,3.97
2025-10,Chile,Mediana,396,56.4,16.3,27.2,29.2,4.01
2025-10,Chile,Contador,368,61.0,14.6,24.4,36.7,4.19
2025-11,Colombia,Micro,368,52.9,17.7,29.4,23.5,3.99
2025-11,Colombia,Pequeña,811,57.1,16.1,26.8,30.4,4.16
2025-11,Colombia,Mediana,1385,65.1,13.1,21.8,43.2,4.46
2025-11,Colombia,Contador,1165,65.2,13.1,21.8,43.4,4.47
2025-11,México,Micro,730,45.4,20.5,34.1,11.3,3.7
2025-11,México,Pequeña,1332,53.9,17.3,28.8,25.0,4.03
2025-11,México,Mediana,1019,58.0,15.7,26.2,31.8,4.19
2025-11,México,Contador,1006,56.8,16.2,27.0,29.8,4.14
2025-11,Ecuador,Micro,788,50.1,18.7,31.2,18.9,3.88
2025-11,Ecuador,Pequeña,521,56.9,16.2,27.0,29.9,4.15
2025-11,Ecuador,Mediana,1345,62.2,14.2,23.6,38.6,4.35
2025-11,Ecuador,Contador,943,60.4,14.8,24.7,35.7,4.28
2025-11,Perú,Micro,646,50.5,18.6,30.9,19.6,3.9
2025-11,Perú,Pequeña,533,55.6,16.7,27.8,27.8,4.09
2025-11,Perú,Mediana,349,61.9,14.3,23.8,38.1,4.34
2025-11,Perú,Contador,409,62.2,14.2,23.6,38.6,4.35
2025-11,Uruguay,Micro,1262,51.8,18.1,30.1,21.6,3.95
2025-11,Uruguay,Pequeña,665,57.7,15.9,26.4,31.3,4.18
2025-11,Uruguay,Mediana,195,66.4,12.6,21.0,45.4,4.51
2025-11,Uruguay,Contador,409,67.2,12.3,20.5,46.7,4.54
2025-11,Chile,Micro,817,44.6,20.8,34.6,10.0,3.67
2025-11,Chile,Pequeña,1046,54.1,17.2,28.7,25.4,4.04
2025-11,Chile,Mediana,824,59.7,15.1,25.2,34.5,4.25
2025-11,Chile,Contador,443,65.6,12.9,21.5,44.1,4.48
2025-12,Colombia,Micro,467,50.9,18.4,30.7,20.1,3.97
2025-12,Colombia,Pequeña,1084,58.7,15.5,25.8,32.9,4.27
2025-12,Colombia,Mediana,1244,62.8,13.9,23.2,39.6,4.43
2025-12,Colombia,Contador,1123,67.5,12.2,20.3,47.1,4.61
2025-12,México,Micro,1262,44.2,20.9,34.9,9.3,3.71
2025-12,México,Pequeña,1365,53.0,17.6,29.4,23.6,4.05
2025-12,México,Mediana,521,57.3,16.0,26.7,30.6,4.22
2025-12,México,Contador,798,61.2,14.5,24.2,37.0,4.37
2025-12,Ecuador,Micro,1284,49.9,18.8,31.3,18.5,3.93
2025-12,Ecuador,Pequeña,717,52.7,17.7,29.6,23.1,4.04
2025-12,Ecuador,Mediana,539,61.6,14.4,24.0,37.5,4.38
2025-12,Ecuador,Contador,609,65.0,13.1,21.9,43.1,4.52
2025-12,Perú,Micro,514,51.5,18.2,30.3,21.1,3.99
2025-12,Perú,Pequeña,338,57.3,16.0,26.7,30.6,4.22
2025-12,Perú,Mediana,1192,65.2,13.1,21.8,43.4,4.52
2025-12,Perú,Contador,1325,61.7,14.4,23.9,37.7,4.39
2025-12,Uruguay,Micro,1276,54.2,17.2,28.6,25.6,4.1
2025-12,Uruguay,Pequeña,797,54.3,17.1,28.6,25.7,4.1
2025-12,Uruguay,Mediana,271,65.2,13.0,21.7,43.5,4.53
2025-12,Uruguay,Contador,332,69.1,11.6,19.3,49.8,4.68
