cohorte,pais,mes_vida,clientes_inicial,clientes_retenidos,retencion_pct,retencion_mrr_pct
2024-09,Ecuador,18,627,460,73.37,85.38
2024-09,Ecuador,19,627,454,72.55,85.1
2024-09,Ecuador,20,627,450,71.78,84.84
2024-09,Ecuador,21,627,445,71.04,84.61
2024-09,Ecuador,22,627,440,70.33,84.41
2024-09,Ecuador,23,627,436,69.64,84.22
2024-09,Perú,0,470,470,100.0,100.0
2024-09,Perú,1,470,444,94.61,95.47
2024-09,Perú,2,470,432,91.97,93.64
2024-09,Perú,3,470,424,90.33,92.79
2024-09,Perú,4,470,417,88.75,91.98
2024-09,Perú,5,470,410,87.24,91.21
2024-09,Perú,6,470,403,85.79,90.47
2024-09,Perú,7,470,396,84.39,89.77
2024-09,Perú,8,470,390,83.06,89.1
2024-09,Perú,9,470,384,81.77,88.47
2024-09,Perú,10,470,378,80.54,87.87
2024-09,Perú,11,470,372,79.35,87.3
2024-09,Perú,12,470,367,78.22,86.76
2024-09,Perú,13,470,362,77.13,86.25
2024-09,Perú,14,470,357,76.09,85.78
2024-09,Perú,15,470,352,75.09,85.34
2024-09,Perú,16,470,348,74.13,84.92
2024-09,Perú,17,470,344,73.22,84.54
2024-09,Perú,18,470,339,72.34,84.19
2024-09,Perú,19,470,336,71.5,83.87
2024-09,Perú,20,470,332,70.7,83.57
2024-09,Perú,21,470,328,69.94,83.31
2024-09,Perú,22,470,325,69.21,83.07
2024-09,Perú,23,470,321,68.51,82.84
2024-09,Uruguay,0,261,261,100.0,100.0
2024-09,Uruguay,1,261,250,95.91,96.78
2024-09,Uruguay,2,261,245,93.88,95.59
2024-09,Uruguay,3,261,241,92.61,95.14
2024-09,Uruguay,4,261,238,91.39,94.72
2024-09,Uruguay,5,261,235,90.21,94.31
2024-09,Uruguay,6,261,232,89.07,93.94
2024-09,Uruguay,7,261,229,87.97,93.58
2024-09,Uruguay,8,261,226,86.92,93.24
2024-09,Uruguay,9,261,224,85.9,92.93
2024-09,Uruguay,10,261,221,84.91,92.64
2024-09,Uruguay,11,261,219,83.97,92.37
2024-09,Uruguay,12,261,216,83.06,92.13
2024-09,Uruguay,13,261,214,82.18,91.9
2024-09,Uruguay,14,261,212,81.34,91.7
2024-09,Uruguay,15,261,210,80.53,91.52
2024-09,Uruguay,16,261,208,79.75,91.36
2024-09,Uruguay,17,261,206,79.01,91.23
2024-09,Uruguay,18,261,204,78.29,91.11
2024-09,Uruguay,19,261,202,77.6,91.02
2024-09,Uruguay,20,261,200,76.94,90.95
2024-09,Uruguay,21,261,199,76.32,90.9
2024-09,Uruguay,22,261,197,75.71,90.87
2024-09,Uruguay,23,261,196,75.13,90.85
2024-09,Chile,0,209,209,100.0,100.0
2024-09,Chile,1,209,195,93.36,94.21
2024-09,Chile,2,209,188,90.15,91.79
2024-09,Chile,3,209,184,88.17,90.58
2024-09,Chile,4,209,180,86.28,89.42
2024-09,Chile,5,209,176,84.47,88.32
2024-09,Chile,6,209,172,82.74,87.26
2024-09,Chile,7,209,169,81.09,86.25
2024-09,Chile,8,209,166,79.5,85.29
2024-09,Chile,9,209,162,77.99,84.37
2024-09,Chile,10,209,159,76.54,83.5
2024-09,Chile,11,209,157,75.15,82.68
2024-09,Chile,12,209,154,73.83,81.89
2024-09,Chile,13,209,151,72.57,81.15
2024-09,Chile,14,209,149,71.36,80.45
2024-09,Chile,15,209,146,70.2,79.79
2024-09,Chile,16,209,144,69.1,79.16
2024-09,Chile,17,209,142,68.05,78.58
2024-09,Chile,18,209,140,67.05,78.03
2024-09,Chile,19,209,138,66.09,77.52
2024-09,Chile,20,209,136,65.18,77.05
2024-09,Chile,21,209,134,64.32,76.61
2024-09,Chile,22,209,132,63.5,76.21
2024-09,Chile,23,209,131,62.7,75.82
2024-10,Colombia,0,2282,2282,100.0,100.0
2024-10,Colombia,1,2282,2173,95.24,96.11
2024-10,Colombia,2,2282,2120,92.9,94.59
2024-10,Colombia,3,2282,2086,91.44,93.94
2024-10,Colombia,4,2282,2054,90.04,93.31
2024-10,Colombia,5,2282,2023,88.68,92.72
2024-10,Colombia,6,2282,1994,87.38,92.15
2024-10,Colombia,7,2282,1965,86.13,91.62
2024-10,Colombia,8,2282,1937,84.92,91.11
2024-10,Colombia,9,2282,1911,83.77,90.63
2024-10,Colombia,10,2282,1886,82.65,90.17
2024-10,Colombia,11,2282,1861,81.58,89.75
2024-10,Colombia,12,2282,1838,80.55,89.35
2024-10,Colombia,13,2282,1815,79.56,88.98
2024-10,Colombia,14,2282,1793,78.62,88.63
2024-10,Colombia,15,2282,1773,77.7,88.31
2024-10,Colombia,16,2282,1753,76.83,88.02
2024-10,Colombia,17,2282,1734,76.0,87.75
2024-10,Colombia,18,2282,1715,75.19,87.51
2024-10,Colombia,19,2282,1698,74.43,87.3
2024-10,Colombia,20,2282,1681,73.69,87.11
2024-10,Colombia,21,2282,1665,72.99,86.94
2024-10,Colombia,22,2282,1650,72.32,86.8
2024-10,México,0,1614,1614,100.0,100.0
2024-10,México,1,1614,1514,93.85,94.71
2024-10,México,2,1614,1466,90.87,92.52
2024-10,México,3,1614,1436,89.02,91.45
2024-10,México,4,1614,1408,87.25,90.43
2024-10,México,5,1614,1380,85.56,89.45
2024-10,México,6,1614,1354,83.94,88.52
2024-10,México,7,1614,1329,82.38,87.63
2024-10,México,8,1614,1305,80.89,86.78
2024-10,México,9,1614,1282,79.46,85.97
2024-10,México,10,1614,1260,78.1,85.2
2024-10,México,11,1614,1239,76.79,84.48
2024-10,México,12,1614,1219,75.54,83.79
2024-10,México,13,1614,1199,74.34,83.13
2024-10,México,14,1614,1181,73.19,82.52
2024-10,México,15,1614,1163,72.1,81.94
2024-10,México,16,1614,1146,71.05,81.4
2024-10,México,17,1614,1130,70.05,80.89
2024-10,México,18,1614,1115,69.1,80.41
2024-10,México,19,1614,1100,68.19,79.97
2024-10,México,20,1614,1086,67.32,79.57
2024-10,México,21,1614,1073,66.49,79.2
2024-10,México,22,1614,1060,65.7,78.85
2024-10,Ecuador,0,667,667,100.0,100.0
2024-10,Ecuador,1,667,632,94.84,95.7
2024-10,Ecuador,2,667,615,92.31,93.99
2024-10,Ecuador,3,667,605,90.73,93.21
2024-10,Ecuador,4,667,595,89.22,92.47
2024-10,Ecuador,5,667,585,87.76,91.76
2024-10,Ecuador,6,667,576,86.37,91.08
2024-10,Ecuador,7,667,567,85.02,90.44
2024-10,Ecuador,8,667,558,83.73,89.83
2024-10,Ecuador,9,667,550,82.49,89.25
2024-10,Ecuador,10,667,542,81.3,88.7
2024-10,Ecuador,11,667,534,80.16,88.18
2024-10,Ecuador,12,667,527,79.06,87.69
2024-10,Ecuador,13,667,520,78.01,87.24
2024-10,Ecuador,14,667,513,77.0,86.81
2024-10,Ecuador,15,667,507,76.03,86.41
2024-10,Ecuador,16,667,500,75.1,86.04
2024-10,Ecuador,17,667,495,74.22,85.7
2024-10,Ecuador,18,667,489,73.37,85.38
2024-10,Ecuador,19,667,483,72.55,85.1
2024-10,Ecuador,20,667,478,71.78,84.84
2024-10,Ecuador,21,667,473,71.04,84.61
2024-10,Ecuador,22,667,469,70.33,84.41
2024-10,Perú,0,500,500,100.0,100.0
2024-10,Perú,1,500,473,94.61,95.47
2024-10,Perú,2,500,459,91.97,93.64
2024-10,Perú,3,500,451,90.33,92.79
2024-10,Perú,4,500,443,88.75,91.98
2024-10,Perú,5,500,436,87.24,91.21
2024-10,Perú,6,500,428,85.79,90.47
2024-10,Perú,7,500,421,84.39,89.77
2024-10,Perú,8,500,415,83.06,89.1
2024-10,Perú,9,500,408,81.77,88.47
2024-10,Perú,10,500,402,80.54,87.87
2024-10,Perú,11,500,396,79.35,87.3
2024-10,Perú,12,500,391,78.22,86.76
2024-10,Perú,13,500,385,77.13,86.25
2024-10,Perú,14,500,380,76.09,85.78
2024-10,Perú,15,500,375,75.09,85.34
2024-10,Perú,16,500,370,74.13,84.92
2024-10,Perú,17,500,366,73.22,84.54
2024-10,Perú,18,500,361,72.34,84.19
2024-10,Perú,19,500,357,71.5,83.87
2024-10,Perú,20,500,353,70.7,83.57
2024-10,Perú,21,500,349,69.94,83.31
2024-10,Perú,22,500,346,69.21,83.07
2024-10,Uruguay,0,278,278,100.0,100.0
2024-10,Uruguay,1,278,266,95.91,96.78
2024-10,Uruguay,2,278,260,93.88,95.59
2024-10,Uruguay,3,278,257,92.61,95.14
2024-10,Uruguay,4,278,254,91.39,94.72
2024-10,Uruguay,5,278,250,90.21,94.31
2024-10,Uruguay,6,278,247,89.07,93.94
2024-10,Uruguay,7,278,244,87.97,93.58
2024-10,Uruguay,8,278,241,86.92,93.24
2024-10,Uruguay,9,278,238,85.9,92.93
2024-10,Uruguay,10,278,236,84.91,92.64
2024-10,Uruguay,11,278,233,83.97,92.37
2024-10,Uruguay,12,278,230,83.06,92.13
2024-10,Uruguay,13,278,228,82.18,91.9
2024-10,Uruguay,14,278,226,81.34,91.7
2024-10,Uruguay,15,278,223,80.53,91.52
2024-10,Uruguay,16,278,221,79.75,91.36
2024-10,Uruguay,17,278,219,79.01,91.23
2024-10,Uruguay,18,278,217,78.29,91.11
2024-10,Uruguay,19,278,215,77.6,91.02
2024-10,Uruguay,20,278,213,76.94,90.95
2024-10,Uruguay,21,278,212,76.32,90.9
2024-10,Uruguay,22,278,210,75.71,90.87
2024-10,Chile,0,222,222,100.0,100.0
2024-10,Chile,1,222,207,93.36,94.21
2024-10,Chile,2,222,200,90.15,91.79
2024-10,Chile,3,222,195,88.17,90.58
2024-10,Chile,4,222,191,86.28,89.42
2024-10,Chile,5,222,187,84.47,88.32
2024-10,Chile,6,222,183,82.74,87.26
2024-10,Chile,7,222,180,81.09,86.25
2024-10,Chile,8,222,176,79.5,85.29
2024-10,Chile,9,222,173,77.99,84.37
2024-10,Chile,10,222,169,76.54,83.5
2024-10,Chile,11,222,166,75.15,82.68
2024-10,Chile,12,222,163,73.83,81.89
2024-10,Chile,13,222,161,72.57,81.15
2024-10,Chile,14,222,158,71.36,80.45
2024-10,Chile,15,222,155,70.2,79.79
2024-10,Chile,16,222,153,69.1,79.16
2024-10,Chile,17,222,151,68.05,78.58
2024-10,Chile,18,222,148,67.05,78.03
2024-10,Chile,19,222,146,66.09,77.52
2024-10,Chile,20,222,144,65.18,77.05
2024-10,Chile,21,222,142,64.32,76.61
2024-10,Chile,22,222,140,63.5,76.21
2024-11,Colombia,0,2008,2008,100.0,100.0
2024-11,Colombia,1,2008,1912,95.24,96.11
2024-11,Colombia,2,2008,1865,92.9,94.59
2024-11,Colombia,3,2008,1836,91.44,93.94
2024-11,Colombia,4,2008,1807,90.04,93.31
2024-11,Colombia,5,2008,1780,88.68,92.72
2024-11,Colombia,6,2008,1754,87.38,92.15
2024-11,Colombia,7,2008,1729,86.13,91.62
2024-11,Colombia,8,2008,1705,84.92,91.11
2024-11,Colombia,9,2008,1682,83.77,90.63
2024-11,Colombia,10,2008,1659,82.65,90.17
2024-11,Colombia,11,2008,1638,81.58,89.75
2024-11,Colombia,12,2008,1617,80.55,89.35
2024-11,Colombia,13,2008,1597,79.56,88.98
2024-11,Colombia,14,2008,1578,78.62,88.63
2024-11,Colombia,15,2008,1560,77.7,88.31
2024-11,Colombia,16,2008,1542,76.83,88.02
2024-11,Colombia,17,2008,1525,76.0,87.75
2024-11,Colombia,18,2008,1509,75.19,87.51
2024-11,Colombia,19,2008,1494,74.43,87.3
2024-11,Colombia,20,2008,1479,73.69,87.11
2024-11,Colombia,21,2008,1465,72.99,86.94
2024-11,México,0,1420,1420,100.0,100.0
2024-11,México,1,1420,1332,93.85,94.71
2024-11,México,2,1420,1290,90.87,92.52
2024-11,México,3,1420,1264,89.02,91.45
2024-11,México,4,1420,1239,87.25,90.43
2024-11,México,5,1420,1214,85.56,89.45
2024-11,México,6,1420,1191,83.94,88.52
2024-11,México,7,1420,1169,82.38,87.63
2024-11,México,8,1420,1148,80.89,86.78
2024-11,México,9,1420,1128,79.46,85.97
2024-11,México,10,1420,1108,78.1,85.2
2024-11,México,11,1420,1090,76.79,84.48
2024-11,México,12,1420,1072,75.54,83.79
2024-11,México,13,1420,1055,74.34,83.13
2024-11,México,14,1420,1039,73.19,82.52
2024-11,México,15,1420,1023,72.1,81.94
2024-11,México,16,1420,1008,71.05,81.4
2024-11,México,17,1420,994,70.05,80.89
2024-11,México,18,1420,981,69.1,80.41
2024-11,México,19,1420,968,68.19,79.97
2024-11,México,20,1420,955,67.32,79.57
2024-11,México,21,1420,944,66.49,79.2
2024-11,Ecuador,0,587,587,100.0,100.0
2024-11,Ecuador,1,587,556,94.84,95.7
2024-11,Ecuador,2,587,541,92.31,93.99
2024-11,Ecuador,3,587,532,90.73,93.21
2024-11,Ecuador,4,587,523,89.22,92.47
2024-11,Ecuador,5,587,515,87.76,91.76
2024-11,Ecuador,6,587,506,86.37,91.08
2024-11,Ecuador,7,587,499,85.02,90.44
2024-11,Ecuador,8,587,491,83.73,89.83
2024-11,Ecuador,9,587,484,82.49,89.25
2024-11,Ecuador,10,587,477,81.3,88.7
2024-11,Ecuador,11,587,470,80.16,88.18
2024-11,Ecuador,12,587,464,79.06,87.69
2024-11,Ecuador,13,587,457,78.01,87.24
2024-11,Ecuador,14,587,451,77.0,86.81
2024-11,Ecuador,15,587,446,76.03,86.41
2024-11,Ecuador,16,587,440,75.1,86.04
2024-11,Ecuador,17,587,435,74.22,85.7
2024-11,Ecuador,18,587,430,73.37,85.38
2024-11,Ecuador,19,587,425,72.55,85.1
2024-11,Ecuador,20,587,421,71.78,84.84
2024-11,Ecuador,21,587,416,71.04,84.61
2024-11,Perú,0,440,440,100.0,100.0
2024-11,Perú,1,440,416,94.61,95.47
2024-11,Perú,2,440,404,91.97,93.64
2024-11,Perú,3,440,397,90.33,92.79
2024-11,Perú,4,440,390,88.75,91.98
2024-11,Perú,5,440,383,87.24,91.21
2024-11,Perú,6,440,377,85.79,90.47
2024-11,Perú,7,440,371,84.39,89.77
2024-11,Perú,8,440,365,83.06,89.1
2024-11,Perú,9,440,359,81.77,88.47
2024-11,Perú,10,440,354,80.54,87.87
2024-11,Perú,11,440,349,79.35,87.3
2024-11,Perú,12,440,344,78.22,86.76
2024-11,Perú,13,440,339,77.13,86.25
2024-11,Perú,14,440,334,76.09,85.78
2024-11,Perú,15,440,330,75.09,85.34
2024-11,Perú,16,440,326,74.13,84.92
2024-11,Perú,17,440,322,73.22,84.54
2024-11,Perú,18,440,318,72.34,84.19
2024-11,Perú,19,440,314,71.5,83.87
2024-11,Perú,20,440,311,70.7,83.57
2024-11,Perú,21,440,307,69.94,83.31
2024-11,Uruguay,0,244,244,100.0,100.0
2024-11,Uruguay,1,244,234,95.91,96.78
2024-11,Uruguay,2,244,229,93.88,95.59
2024-11,Uruguay,3,244,225,92.61,95.14
2024-11,Uruguay,4,244,222,91.39,94.72
2024-11,Uruguay,5,244,220,90.21,94.31
2024-11,Uruguay,6,244,217,89.07,93.94
2024-11,Uruguay,7,244,214,87.97,93.58
2024-11,Uruguay,8,244,212,86.92,93.24
2024-11,Uruguay,9,244,209,85.9,92.93
2024-11,Uruguay,10,244,207,84.91,92.64
2024-11,Uruguay,11,244,204,83.97,92.37
2024-11,Uruguay,12,244,202,83.06,92.13
2024-11,Uruguay,13,244,200,82.18,91.9
2024-11,Uruguay,14,244,198,81.34,91.7
2024-11,Uruguay,15,244,196,80.53,91.52
2024-11,Uruguay,16,244,194,79.75,91.36
2024-11,Uruguay,17,244,192,79.01,91.23
2024-11,Uruguay,18,244,191,78.29,91.11
2024-11,Uruguay,19,244,189,77.6,91.02
2024-11,Uruguay,20,244,187,76.94,90.95
2024-11,Uruguay,21,244,186,76.32,90.9
2024-11,Chile,0,195,195,100.0,100.0
2024-11,Chile,1,195,182,93.36,94.21
2024-11,Chile,2,195,175,90.15,91.79
2024-11,Chile,3,195,171,88.17,90.58
2024-11,Chile,4,195,168,86.28,89.42
2024-11,Chile,5,195,164,84.47,88.32
2024-11,Chile,6,195,161,82.74,87.26
2024-11,Chile,7,195,158,81.09,86.25
2024-11,Chile,8,195,155,79.5,85.29
2024-11,Chile,9,195,152,77.99,84.37
2024-11,Chile,10,195,149,76.54,83.5
2024-11,Chile,11,195,146,75.15,82.68
2024-11,Chile,12,195,143,73.83,81.89
2024-11,Chile,13,195,141,72.57,81.15
2024-11,Chile,14,195,139,71.36,80.45
2024-11,Chile,15,195,136,70.2,79.79
2024-11,Chile,16,195,134,69.1,79.16
2024-11,Chile,17,195,132,68.05,78.58
2024-11,Chile,18,195,130,67.05,78.03
2024-11,Chile,19,195,128,66.09,77.52
2024-11,Chile,20,195,127,65.18,77.05
2024-11,Chile,21,195,125,64.32,76.61
2024-12,Colombia,0,2338,2338,100.0,100.0
2024-12,Colombia,1,2338,2226,95.24,96.11
2024-12,Colombia,2,2338,2172,92.9,94.59
2024-12,Colombia,3,2338,2137,91.44,93.94
2024-12,Colombia,4,2338,2105,90.04,93.31
2024-12,Colombia,5,2338,2073,88.68,92.72
2024-12,Colombia,6,2338,2042,87.38,92.15
2024-12,Colombia,7,2338,2013,86.13,91.62
2024-12,Colombia,8,2338,1985,84.92,91.11
2024-12,Colombia,9,2338,1958,83.77,90.63
2024-12,Colombia,10,2338,1932,82.65,90.17
2024-12,Colombia,11,2338,1907,81.58,89.75
2024-12,Colombia,12,2338,1883,80.55,89.35
2024-12,Colombia,13,2338,1860,79.56,88.98
2024-12,Colombia,14,2338,1838,78.62,88.63
2024-12,Colombia,15,2338,1816,77.7,88.31
2024-12,Colombia,16,2338,1796,76.83,88.02
2024-12,Colombia,17,2338,1776,76.0,87.75
2024-12,Colombia,18,2338,1758,75.19,87.51
2024-12,Colombia,19,2338,1740,74.43,87.3
2024-12,Colombia,20,2338,1722,73.69,87.11
2024-12,México,0,1654,1654,100.0,100.0
2024-12,México,1,1654,1552,93.85,94.71
2024-12,México,2,1654,1502,90.87,92.52
2024-12,México,3,1654,1472,89.02,91.45
2024-12,México,4,1654,1443,87.25,90.43
2024-12,México,5,1654,1415,85.56,89.45
2024-12,México,6,1654,1388,83.94,88.52
2024-12,México,7,1654,1362,82.38,87.63
2024-12,México,8,1654,1337,80.89,86.78
2024-12,México,9,1654,1314,79.46,85.97
2024-12,México,10,1654,1291,78.1,85.2
2024-12,México,11,1654,1270,76.79,84.48
2024-12,México,12,1654,1249,75.54,83.79
2024-12,México,13,1654,1229,74.34,83.13
2024-12,México,14,1654,1210,73.19,82.52
2024-12,México,15,1654,1192,72.1,81.94
2024-12,México,16,1654,1175,71.05,81.4
2024-12,México,17,1654,1158,70.05,80.89
2024-12,México,18,1654,1142,69.1,80.41
2024-12,México,19,1654,1127,68.19,79.97
2024-12,México,20,1654,1113,67.32,79.57
2024-12,Ecuador,0,684,684,100.0,100.0
2024-12,Ecuador,1,684,648,94.84,95.7
2024-12,Ecuador,2,684,631,92.31,93.99
2024-12,Ecuador,3,684,620,90.73,93.21
2024-12,Ecuador,4,684,610,89.22,92.47
2024-12,Ecuador,5,684,600,87.76,91.76
2024-12,Ecuador,6,684,590,86.37,91.08
2024-12,Ecuador,7,684,581,85.02,90.44
2024-12,Ecuador,8,684,572,83.73,89.83
2024-12,Ecuador,9,684,564,82.49,89.25
2024-12,Ecuador,10,684,556,81.3,88.7
2024-12,Ecuador,11,684,548,80.16,88.18
2024-12,Ecuador,12,684,540,79.06,87.69
2024-12,Ecuador,13,684,533,78.01,87.24
2024-12,Ecuador,14,684,526,77.0,86.81
2024-12,Ecuador,15,684,520,76.03,86.41
2024-12,Ecuador,16,684,513,75.1,86.04
2024-12,Ecuador,17,684,507,74.22,85.7
2024-12,Ecuador,18,684,501,73.37,85.38
2024-12,Ecuador,19,684,496,72.55,85.1
2024-12,Ecuador,20,684,490,71.78,84.84
2024-12,Perú,0,513,513,100.0,100.0
2024-12,Perú,1,513,485,94.61,95.47
2024-12,Perú,2,513,471,91.97,93.64
2024-12,Perú,3,513,463,90.33,92.79
2024-12,Perú,4,513,455,88.75,91.98
2024-12,Perú,5,513,447,87.24,91.21
2024-12,Perú,6,513,440,85.79,90.47
2024-12,Perú,7,513,432,84.39,89.77
2024-12,Perú,8,513,426,83.06,89.1
2024-12,Perú,9,513,419,81.77,88.47
2024-12,Perú,10,513,413,80.54,87.87
2024-12,Perú,11,513,407,79.35,87.3
2024-12,Perú,12,513,401,78.22,86.76
2024-12,Perú,13,513,395,77.13,86.25
2024-12,Perú,14,513,390,76.09,85.78
2024-12,Perú,15,513,385,75.09,85.34
2024-12,Perú,16,513,380,74.13,84.92
2024-12,Perú,17,513,375,73.22,84.54
2024-12,Perú,18,513,371,72.34,84.19
2024-12,Perú,19,513,366,71.5,83.87
2024-12,Perú,20,513,362,70.7,83.57
2024-12,Uruguay,0,285,285,100.0,100.0
2024-12,Uruguay,1,285,273,95.91,96.78
2024-12,Uruguay,2,285,267,93.88,95.59
2024-12,Uruguay,3,285,263,92.61,95.14
2024-12,Uruguay,4,285,260,91.39,94.72
2024-12,Uruguay,5,285,257,90.21,94.31
2024-12,Uruguay,6,285,253,89.07,93.94
2024-12,Uruguay,7,285,250,87.97,93.58
2024-12,Uruguay,8,285,247,86.92,93.24
2024-12,Uruguay,9,285,244,85.9,92.93
2024-12,Uruguay,10,285,242,84.91,92.64
2024-12,Uruguay,11,285,239,83.97,92.37
2024-12,Uruguay,12,285,236,83.06,92.13
2024-12,Uruguay,13,285,234,82.18,91.9
2024-12,Uruguay,14,285,231,81.34,91.7
2024-12,Uruguay,15,285,229,80.53,91.52
2024-12,Uruguay,16,285,227,79.75,91.36
2024-12,Uruguay,17,285,225,79.01,91.23
2024-12,Uruguay,18,285,223,78.29,91.11
2024-12,Uruguay,19,285,221,77.6,91.02
2024-12,Uruguay,20,285,219,76.94,90.95
2024-12,Chile,0,228,228,100.0,100.0
2024-12,Chile,1,228,212,93.36,94.21
2024-12,Chile,2,228,205,90.15,91.79
2024-12,Chile,3,228,201,88.17,90.58
2024-12,Chile,4,228,196,86.28,89.42
2024-12,Chile,5,228,192,84.47,88.32
2024-12,Chile,6,228,188,82.74,87.26
2024-12,Chile,7,228,184,81.09,86.25
2024-12,Chile,8,228,181,79.5,85.29
2024-12,Chile,9,228,177,77.99,84.37
2024-12,Chile,10,228,174,76.54,83.5
2024-12,Chile,11,228,171,75.15,82.68
2024-12,Chile,12,228,168,73.83,81.89
2024-12,Chile,13,228,165,72.57,81.15
2024-12,Chile,14,228,162,71.36,80.45
2024-12,Chile,15,228,160,70.2,79.79
2024-12,Chile,16,228,157,69.1,79.16
2024-12,Chile,17,228,155,68.05,78.58
2024-12,Chile,18,228,152,67.05,78.03
2024-12,Chile,19,228,150,66.09,77.52
2024-12,Chile,20,228,148,65.18,77.05
2025-01,Colombia,0,2778,2778,100.0,100.0
2025-01,Colombia,1,2778,2645,95.24,96.11
2025-01,Colombia,2,2778,2580,92.9,94.59
2025-01,Colombia,3,2778,2540,91.44,93.94
2025-01,Colombia,4,2778,2501,90.04,93.31
2025-01,Colombia,5,2778,2463,88.68,92.72
2025-01,Colombia,6,2778,2427,87.38,92.15
2025-01,Colombia,7,2778,2392,86.13,91.62
2025-01,Colombia,8,2778,2359,84.92,91.11
2025-01,Colombia,9,2778,2327,83.77,90.63
2025-01,Colombia,10,2778,2296,82.65,90.17
2025-01,Colombia,11,2778,2266,81.58,89.75
2025-01,Colombia,12,2778,2237,80.55,89.35
2025-01,Colombia,13,2778,2210,79.56,88.98
2025-01,Colombia,14,2778,2183,78.62,88.63
2025-01,Colombia,15,2778,2158,77.7,88.31
2025-01,Colombia,16,2778,2134,76.83,88.02
2025-01,Colombia,17,2778,2111,76.0,87.75
2025-01,Colombia,18,2778,2088,75.19,87.51
2025-01,Colombia,19,2778,2067,74.43,87.3
2025-01,México,0,1965,1965,100.0,100.0
2025-01,México,1,1965,1844,93.85,94.71
2025-01,México,2,1965,1785,90.87,92.52
2025-01,México,3,1965,1749,89.02,91.45
2025-01,México,4,1965,1714,87.25,90.43
2025-01,México,5,1965,1681,85.56,89.45
2025-01,México,6,1965,1649,83.94,88.52
2025-01,México,7,1965,1618,82.38,87.63
2025-01,México,8,1965,1589,80.89,86.78
2025-01,México,9,1965,1561,79.46,85.97
2025-01,México,10,1965,1534,78.1,85.2
2025-01,México,11,1965,1508,76.79,84.48
2025-01,México,12,1965,1484,75.54,83.79
2025-01,México,13,1965,1460,74.34,83.13
