mes,pais,plan,motivo,clientes,mrr_perdido_usd
2024-12,Colombia,POS Gastrobar,Funcionalidad faltante,10,225.82
2024-12,Colombia,POS Gastrobar,Otro / sin motivo registrado,7,165.16
2025-01,Colombia,Siigo Contador,Cerró o quebró el negocio,78,0.0
2025-01,Colombia,Siigo Contador,Precio / ajuste anual,103,0.0
2025-01,Colombia,Siigo Contador,Se fue a la competencia,57,0.0
2025-01,Colombia,Siigo Contador,Mala experiencia de soporte,38,0.0
2025-01,Colombia,Siigo Contador,No logró implementar,34,0.0
2025-01,Colombia,Siigo Contador,Cambió de contador,24,0.0
2025-01,Colombia,Siigo Contador,Funcionalidad faltante,24,0.0
2025-01,Colombia,Siigo Contador,Otro / sin motivo registrado,17,0.0
2025-01,Colombia,Profesional Independiente,Cerró o quebró el negocio,201,5718.34
2025-01,Colombia,Profesional Independiente,Precio / ajuste anual,237,7480.21
2025-01,Colombia,Profesional Independiente,Se fue a la competencia,106,3531.92
2025-01,Colombia,Profesional Independiente,Mala experiencia de soporte,88,2907.22
2025-01,Colombia,Profesional Independiente,No logró implementar,78,2618.9
2025-01,Colombia,Profesional Independiente,Cambió de contador,54,1874.08
2025-01,Colombia,Profesional Independiente,Funcionalidad faltante,53,1609.78
2025-01,Colombia,Profesional Independiente,Otro / sin motivo registrado,35,1177.31
2025-01,Colombia,Emprendedor,Cerró o quebró el negocio,151,6304.57
2025-01,Colombia,Emprendedor,Precio / ajuste anual,170,8247.07
2025-01,Colombia,Emprendedor,Se fue a la competencia,67,3894.0
2025-01,Colombia,Emprendedor,Mala experiencia de soporte,87,3205.26
2025-01,Colombia,Emprendedor,No logró implementar,65,2887.39
2025-01,Colombia,Emprendedor,Cambió de contador,52,2066.2
2025-01,Colombia,Emprendedor,Funcionalidad faltante,45,1774.82
2025-01,Colombia,Emprendedor,Otro / sin motivo registrado,33,1298.0
2025-01,Colombia,Premium,Cerró o quebró el negocio,60,2739.03
2025-01,Colombia,Premium,Precio / ajuste anual,79,3582.95
2025-01,Colombia,Premium,Se fue a la competencia,39,1691.76
2025-01,Colombia,Premium,Mala experiencia de soporte,30,1392.53
2025-01,Colombia,Premium,No logró implementar,23,1254.43
2025-01,Colombia,Premium,Cambió de contador,19,897.67
2025-01,Colombia,Premium,Funcionalidad faltante,16,771.07
2025-01,Colombia,Premium,Otro / sin motivo registrado,12,563.92
2025-01,Colombia,Corporativo,Cerró o quebró el negocio,10,974.91
2025-01,Colombia,Corporativo,Precio / ajuste anual,13,1275.29
2025-01,Colombia,Corporativo,Se fue a la competencia,6,602.15
2025-01,Colombia,Corporativo,Mala experiencia de soporte,6,495.65
2025-01,Colombia,Corporativo,No logró implementar,5,446.49
2025-01,Colombia,Corporativo,Cambió de contador,3,319.51
2025-01,Colombia,Corporativo,Funcionalidad faltante,2,274.45
2025-01,Colombia,Corporativo,Otro / sin motivo registrado,2,200.72
2025-01,Colombia,Siigo POS,Cerró o quebró el negocio,66,1098.27
2025-01,Colombia,Siigo POS,Precio / ajuste anual,75,1436.65
2025-01,Colombia,Siigo POS,Se fue a la competencia,34,678.34
2025-01,Colombia,Siigo POS,Mala experiencia de soporte,34,558.36
2025-01,Colombia,Siigo POS,No logró implementar,25,502.99
2025-01,Colombia,Siigo POS,Cambió de contador,18,359.94
2025-01,Colombia,Siigo POS,Funcionalidad faltante,13,309.18
2025-01,Colombia,Siigo POS,Otro / sin motivo registrado,10,226.11
2025-01,Colombia,POS Gastrobar,Cerró o quebró el negocio,26,839.1
2025-01,Colombia,POS Gastrobar,Precio / ajuste anual,38,1097.63
2025-01,Colombia,POS Gastrobar,Se fue a la competencia,23,518.26
2025-01,Colombia,POS Gastrobar,Mala experiencia de soporte,16,426.6
2025-01,Colombia,POS Gastrobar,No logró implementar,14,384.29
2025-01,Colombia,POS Gastrobar,Cambió de contador,9,275.0
2025-01,Colombia,POS Gastrobar,Funcionalidad faltante,9,236.22
2025-01,Colombia,POS Gastrobar,Otro / sin motivo registrado,6,172.75
2025-02,Colombia,Siigo Contador,Cerró o quebró el negocio,55,0.0
2025-02,Colombia,Siigo Contador,Precio / ajuste anual,78,0.0
2025-02,Colombia,Siigo Contador,Se fue a la competencia,35,0.0
2025-02,Colombia,Siigo Contador,Mala experiencia de soporte,25,0.0
2025-02,Colombia,Siigo Contador,No logró implementar,27,0.0
2025-02,Colombia,Siigo Contador,Cambió de contador,20,0.0
2025-02,Colombia,Siigo Contador,Funcionalidad faltante,12,0.0
2025-02,Colombia,Siigo Contador,Otro / sin motivo registrado,9,0.0
2025-02,Colombia,Profesional Independiente,Cerró o quebró el negocio,129,4724.11
2025-02,Colombia,Profesional Independiente,Precio / ajuste anual,206,6179.65
2025-02,Colombia,Profesional Independiente,Se fue a la competencia,91,2917.83
2025-02,Colombia,Profesional Independiente,Mala experiencia de soporte,63,2401.75
2025-02,Colombia,Profesional Independiente,No logró implementar,50,2163.56
2025-02,Colombia,Profesional Independiente,Cambió de contador,44,1548.24
2025-02,Colombia,Profesional Independiente,Funcionalidad faltante,45,1329.9
2025-02,Colombia,Profesional Independiente,Otro / sin motivo registrado,32,972.61
2025-02,Colombia,Emprendedor,Cerró o quebró el negocio,119,4648.85
2025-02,Colombia,Emprendedor,Precio / ajuste anual,85,6081.21
2025-02,Colombia,Emprendedor,Se fue a la competencia,68,2871.35
2025-02,Colombia,Emprendedor,Mala experiencia de soporte,52,2363.49
2025-02,Colombia,Emprendedor,No logró implementar,49,2129.1
2025-02,Colombia,Emprendedor,Cambió de contador,43,1523.57
2025-02,Colombia,Emprendedor,Funcionalidad faltante,30,1308.71
2025-02,Colombia,Emprendedor,Otro / sin motivo registrado,22,957.12
2025-02,Colombia,Premium,Cerró o quebró el negocio,48,2255.26
2025-02,Colombia,Premium,Precio / ajuste anual,64,2950.12
2025-02,Colombia,Premium,Se fue a la competencia,29,1392.95
2025-02,Colombia,Premium,Mala experiencia de soporte,18,1146.58
2025-02,Colombia,Premium,No logró implementar,21,1032.87
2025-02,Colombia,Premium,Cambió de contador,16,739.12
2025-02,Colombia,Premium,Funcionalidad faltante,11,634.88
2025-02,Colombia,Premium,Otro / sin motivo registrado,8,464.32
2025-02,Colombia,Corporativo,Cerró o quebró el negocio,10,779.98
2025-02,Colombia,Corporativo,Precio / ajuste anual,12,1020.29
2025-02,Colombia,Corporativo,Se fue a la competencia,5,481.75
2025-02,Colombia,Corporativo,Mala experiencia de soporte,4,396.54
2025-02,Colombia,Corporativo,No logró implementar,3,357.22
2025-02,Colombia,Corporativo,Cambió de contador,2,255.62
2025-02,Colombia,Corporativo,Funcionalidad faltante,2,219.57
2025-02,Colombia,Corporativo,Otro / sin motivo registrado,1,160.58
2025-02,Colombia,Siigo POS,Cerró o quebró el negocio,37,855.47
2025-02,Colombia,Siigo POS,Precio / ajuste anual,52,1119.04
2025-02,Colombia,Siigo POS,Se fue a la competencia,24,528.38
2025-02,Colombia,Siigo POS,Mala experiencia de soporte,21,434.92
2025-02,Colombia,Siigo POS,No logró implementar,21,391.79
2025-02,Colombia,Siigo POS,Cambió de contador,13,280.36
2025-02,Colombia,Siigo POS,Funcionalidad faltante,10,240.82
2025-02,Colombia,Siigo POS,Otro / sin motivo registrado,8,176.13
2025-02,Colombia,POS Gastrobar,Cerró o quebró el negocio,25,688.92
2025-02,Colombia,POS Gastrobar,Precio / ajuste anual,36,901.19
2025-02,Colombia,POS Gastrobar,Se fue a la competencia,14,425.51
2025-02,Colombia,POS Gastrobar,Mala experiencia de soporte,15,350.25
2025-02,Colombia,POS Gastrobar,No logró implementar,11,315.51
2025-02,Colombia,POS Gastrobar,Cambió de contador,8,225.78
2025-02,Colombia,POS Gastrobar,Funcionalidad faltante,6,193.94
2025-02,Colombia,POS Gastrobar,Otro / sin motivo registrado,4,141.84
2025-03,Colombia,Siigo Contador,Cerró o quebró el negocio,69,0.0
2025-03,Colombia,Siigo Contador,Precio / ajuste anual,41,0.0
2025-03,Colombia,Siigo Contador,Se fue a la competencia,34,0.0
2025-03,Colombia,Siigo Contador,Mala experiencia de soporte,45,0.0
2025-03,Colombia,Siigo Contador,No logró implementar,29,0.0
2025-03,Colombia,Siigo Contador,Cambió de contador,16,0.0
2025-03,Colombia,Siigo Contador,Funcionalidad faltante,17,0.0
2025-03,Colombia,Siigo Contador,Otro / sin motivo registrado,13,0.0
2025-03,Colombia,Profesional Independiente,Cerró o quebró el negocio,144,4975.73
2025-03,Colombia,Profesional Independiente,Precio / ajuste anual,115,3993.13
2025-03,Colombia,Profesional Independiente,Se fue a la competencia,99,3073.25
2025-03,Colombia,Profesional Independiente,Mala experiencia de soporte,105,3743.93
2025-03,Colombia,Profesional Independiente,No logró implementar,40,2278.8
2025-03,Colombia,Profesional Independiente,Cambió de contador,54,1630.7
2025-03,Colombia,Profesional Independiente,Funcionalidad faltante,42,1400.73
2025-03,Colombia,Profesional Independiente,Otro / sin motivo registrado,32,1024.42
2025-03,Colombia,Emprendedor,Cerró o quebró el negocio,110,5120.74
2025-03,Colombia,Emprendedor,Precio / ajuste anual,95,4109.5
2025-03,Colombia,Emprendedor,Se fue a la competencia,87,3162.81
2025-03,Colombia,Emprendedor,Mala experiencia de soporte,77,3853.03
2025-03,Colombia,Emprendedor,No logró implementar,56,2345.21
2025-03,Colombia,Emprendedor,Cambió de contador,34,1678.22
2025-03,Colombia,Emprendedor,Funcionalidad faltante,41,1441.55
2025-03,Colombia,Emprendedor,Otro / sin motivo registrado,21,1054.27
2025-03,Colombia,Premium,Cerró o quebró el negocio,34,2179.54
2025-03,Colombia,Premium,Precio / ajuste anual,40,1749.13
2025-03,Colombia,Premium,Se fue a la competencia,30,1346.19
2025-03,Colombia,Premium,Mala experiencia de soporte,28,1639.97
2025-03,Colombia,Premium,No logró implementar,18,998.19
2025-03,Colombia,Premium,Cambió de contador,12,714.3
2025-03,Colombia,Premium,Funcionalidad faltante,11,613.57
2025-03,Colombia,Premium,Otro / sin motivo registrado,11,448.73
2025-03,Colombia,Corporativo,Cerró o quebró el negocio,8,749.66
2025-03,Colombia,Corporativo,Precio / ajuste anual,5,601.62
2025-03,Colombia,Corporativo,Se fue a la competencia,4,463.02
2025-03,Colombia,Corporativo,Mala experiencia de soporte,5,564.07
2025-03,Colombia,Corporativo,No logró implementar,3,343.33
2025-03,Colombia,Corporativo,Cambió de contador,2,245.69
2025-03,Colombia,Corporativo,Funcionalidad faltante,2,211.04
2025-03,Colombia,Corporativo,Otro / sin motivo registrado,1,154.34
2025-03,Colombia,Siigo POS,Cerró o quebró el negocio,37,892.39
2025-03,Colombia,Siigo POS,Precio / ajuste anual,35,716.16
2025-03,Colombia,Siigo POS,Se fue a la competencia,25,551.18
2025-03,Colombia,Siigo POS,Mala experiencia de soporte,33,671.46
2025-03,Colombia,Siigo POS,No logró implementar,16,408.7
2025-03,Colombia,Siigo POS,Cambió de contador,15,292.46
2025-03,Colombia,Siigo POS,Funcionalidad faltante,12,251.22
2025-03,Colombia,Siigo POS,Otro / sin motivo registrado,9,183.73
2025-03,Colombia,POS Gastrobar,Cerró o quebró el negocio,28,780.02
2025-03,Colombia,POS Gastrobar,Precio / ajuste anual,26,625.98
2025-03,Colombia,POS Gastrobar,Se fue a la competencia,16,481.77
2025-03,Colombia,POS Gastrobar,Mala experiencia de soporte,20,586.91
2025-03,Colombia,POS Gastrobar,No logró implementar,12,357.23
2025-03,Colombia,POS Gastrobar,Cambió de contador,9,255.64
2025-03,Colombia,POS Gastrobar,Funcionalidad faltante,7,219.58
2025-03,Colombia,POS Gastrobar,Otro / sin motivo registrado,6,160.59
2025-04,Colombia,Siigo Contador,Cerró o quebró el negocio,62,0.0
2025-04,Colombia,Siigo Contador,Precio / ajuste anual,52,0.0
2025-04,Colombia,Siigo Contador,Se fue a la competencia,33,0.0
2025-04,Colombia,Siigo Contador,Mala experiencia de soporte,40,0.0
2025-04,Colombia,Siigo Contador,No logró implementar,24,0.0
2025-04,Colombia,Siigo Contador,Cambió de contador,14,0.0
2025-04,Colombia,Siigo Contador,Funcionalidad faltante,17,0.0
2025-04,Colombia,Siigo Contador,Otro / sin motivo registrado,10,0.0
2025-04,Colombia,Profesional Independiente,Cerró o quebró el negocio,133,4797.05
2025-04,Colombia,Profesional Independiente,Precio / ajuste anual,94,3849.73
2025-04,Colombia,Profesional Independiente,Se fue a la competencia,84,2962.88
2025-04,Colombia,Profesional Independiente,Mala experiencia de soporte,106,3609.48
2025-04,Colombia,Profesional Independiente,No logró implementar,62,2196.97
2025-04,Colombia,Profesional Independiente,Cambió de contador,51,1572.14
2025-04,Colombia,Profesional Independiente,Funcionalidad faltante,47,1350.43
2025-04,Colombia,Profesional Independiente,Otro / sin motivo registrado,31,987.63
2025-04,Colombia,Emprendedor,Cerró o quebró el negocio,120,5376.9
2025-04,Colombia,Emprendedor,Precio / ajuste anual,85,4315.08
2025-04,Colombia,Emprendedor,Se fue a la competencia,79,3321.03
2025-04,Colombia,Emprendedor,Mala experiencia de soporte,81,4045.78
2025-04,Colombia,Emprendedor,No logró implementar,62,2462.53
2025-04,Colombia,Emprendedor,Cambió de contador,43,1762.18
2025-04,Colombia,Emprendedor,Funcionalidad faltante,35,1513.67
2025-04,Colombia,Emprendedor,Otro / sin motivo registrado,25,1107.01
2025-04,Colombia,Premium,Cerró o quebró el negocio,54,2187.82
2025-04,Colombia,Premium,Precio / ajuste anual,46,1755.77
2025-04,Colombia,Premium,Se fue a la competencia,27,1351.3
2025-04,Colombia,Premium,Mala experiencia de soporte,33,1646.19
2025-04,Colombia,Premium,No logró implementar,19,1001.98
2025-04,Colombia,Premium,Cambió de contador,14,717.02
2025-04,Colombia,Premium,Funcionalidad faltante,13,615.9
2025-04,Colombia,Premium,Otro / sin motivo registrado,8,450.43
2025-04,Colombia,Corporativo,Cerró o quebró el negocio,7,686.1
2025-04,Colombia,Corporativo,Precio / ajuste anual,4,550.61
2025-04,Colombia,Corporativo,Se fue a la competencia,4,423.77
2025-04,Colombia,Corporativo,Mala experiencia de soporte,5,516.25
2025-04,Colombia,Corporativo,No logró implementar,3,314.22
2025-04,Colombia,Corporativo,Cambió de contador,2,224.86
2025-04,Colombia,Corporativo,Funcionalidad faltante,2,193.15
2025-04,Colombia,Corporativo,Otro / sin motivo registrado,1,141.26
2025-04,Colombia,Siigo POS,Cerró o quebró el negocio,38,988.03
2025-04,Colombia,Siigo POS,Precio / ajuste anual,44,792.91
2025-04,Colombia,Siigo POS,Se fue a la competencia,28,610.25
2025-04,Colombia,Siigo POS,Mala experiencia de soporte,39,743.43
2025-04,Colombia,Siigo POS,No logró implementar,22,452.5
2025-04,Colombia,Siigo POS,Cambió de contador,16,323.81
2025-04,Colombia,Siigo POS,Funcionalidad faltante,11,278.14
2025-04,Colombia,Siigo POS,Otro / sin motivo registrado,10,203.42
2025-04,Colombia,POS Gastrobar,Cerró o quebró el negocio,28,720.91
2025-04,Colombia,POS Gastrobar,Precio / ajuste anual,23,578.54
2025-04,Colombia,POS Gastrobar,Se fue a la competencia,18,445.27
2025-04,Colombia,POS Gastrobar,Mala experiencia de soporte,24,542.44
2025-04,Colombia,POS Gastrobar,No logró implementar,14,330.16
2025-04,Colombia,POS Gastrobar,Cambió de contador,8,236.26
2025-04,Colombia,POS Gastrobar,Funcionalidad faltante,5,202.95
2025-04,Colombia,POS Gastrobar,Otro / sin motivo registrado,5,148.42
2025-05,Colombia,Siigo Contador,Cerró o quebró el negocio,72,0.0
2025-05,Colombia,Siigo Contador,Precio / ajuste anual,49,0.0
2025-05,Colombia,Siigo Contador,Se fue a la competencia,37,0.0
2025-05,Colombia,Siigo Contador,Mala experiencia de soporte,46,0.0
2025-05,Colombia,Siigo Contador,No logró implementar,28,0.0
2025-05,Colombia,Siigo Contador,Cambió de contador,20,0.0
2025-05,Colombia,Siigo Contador,Funcionalidad faltante,15,0.0
2025-05,Colombia,Siigo Contador,Otro / sin motivo registrado,11,0.0
2025-05,Colombia,Profesional Independiente,Cerró o quebró el negocio,117,4911.67
2025-05,Colombia,Profesional Independiente,Precio / ajuste anual,113,3941.72
2025-05,Colombia,Profesional Independiente,Se fue a la competencia,109,3033.68
2025-05,Colombia,Profesional Independiente,Mala experiencia de soporte,104,3695.72
2025-05,Colombia,Profesional Independiente,No logró implementar,60,2249.46
2025-05,Colombia,Profesional Independiente,Cambió de contador,53,1609.71
2025-05,Colombia,Profesional Independiente,Funcionalidad faltante,46,1382.7
