fecha,mes,uptime_pct,latencia_p50_ms,latencia_p95_ms,peticiones_millones,errores_5xx,incidentes
2024-10-15,2024-10,100.0,130,665,49.52,1095,0
2024-10-16,2024-10,100.0,150,712,51.31,2021,0
2024-10-17,2024-10,100.0,143,615,47.81,1397,0
2024-10-18,2024-10,100.0,152,717,43.48,2721,0
2024-10-19,2024-10,100.0,171,641,47.31,1305,0
2024-10-20,2024-10,100.0,147,726,56.72,1519,0
2024-10-21,2024-10,100.0,156,773,56.51,2191,0
2024-10-22,2024-10,100.0,152,769,46.45,1450,0
2024-10-23,2024-10,100.0,158,600,50.45,1939,0
2024-10-24,2024-10,100.0,136,704,43.91,1604,0
2024-10-25,2024-10,100.0,127,770,47.37,1119,0
2024-10-26,2024-10,100.0,164,796,47.84,1744,0
2024-10-27,2024-10,100.0,142,753,50.17,1724,0
2024-10-28,2024-10,100.0,198,927,77.56,3012,0
2024-10-29,2024-10,100.0,231,1002,75.81,2395,0
2024-10-30,2024-10,100.0,192,1041,85.18,2513,0
2024-10-31,2024-10,100.0,194,1079,92.76,3299,0
2024-11-01,2024-11,100.0,115,749,35.42,1404,0
2024-11-02,2024-11,100.0,129,512,38.32,1625,0
2024-11-03,2024-11,100.0,139,613,40.41,1066,0
2024-11-04,2024-11,100.0,183,642,36.76,996,0
2024-11-05,2024-11,100.0,168,514,44.03,1293,0
2024-11-06,2024-11,100.0,138,618,36.89,1111,0
2024-11-07,2024-11,100.0,137,621,39.33,1430,0
2024-11-08,2024-11,100.0,132,611,37.04,898,0
2024-11-09,2024-11,100.0,158,579,41.37,872,0
2024-11-10,2024-11,100.0,137,514,35.85,1354,0
2024-11-11,2024-11,100.0,150,498,40.21,2315,0
2024-11-12,2024-11,100.0,138,509,38.3,1130,0
2024-11-13,2024-11,100.0,161,588,42.65,1621,0
2024-11-14,2024-11,100.0,163,611,37.21,1467,0
2024-11-15,2024-11,100.0,136,632,40.52,1529,0
2024-11-16,2024-11,100.0,169,629,40.08,1069,0
2024-11-17,2024-11,100.0,128,584,35.78,1306,0
2024-11-18,2024-11,99.6886,138,550,39.44,1927,1
2024-11-19,2024-11,100.0,132,660,37.38,1805,0
2024-11-20,2024-11,100.0,148,703,37.94,1631,0
2024-11-21,2024-11,100.0,138,577,42.23,1762,0
2024-11-22,2024-11,100.0,134,573,38.73,1764,0
2024-11-23,2024-11,100.0,134,676,39.85,1471,0
2024-11-24,2024-11,100.0,133,603,38.42,1423,0
2024-11-25,2024-11,100.0,159,653,34.53,2188,0
2024-11-26,2024-11,100.0,133,599,40.16,796,0
2024-11-27,2024-11,100.0,154,459,40.79,1879,0
2024-11-28,2024-11,100.0,201,872,60.31,2317,0
2024-11-29,2024-11,98.6657,175,863,73.43,1170,1
2024-11-30,2024-11,100.0,186,837,60.53,2246,0
2024-12-01,2024-12,100.0,129,545,34.38,1191,0
2024-12-02,2024-12,100.0,157,469,29.19,1109,0
2024-12-03,2024-12,100.0,124,493,26.41,1109,0
2024-12-04,2024-12,100.0,148,618,31.33,1704,0
2024-12-05,2024-12,100.0,156,520,33.17,882,0
2024-12-06,2024-12,100.0,125,462,32.55,1119,0
2024-12-07,2024-12,100.0,154,523,37.06,1143,0
2024-12-08,2024-12,100.0,152,532,32.74,1022,0
2024-12-09,2024-12,100.0,137,511,30.97,1177,0
2024-12-10,2024-12,100.0,117,590,33.57,561,0
2024-12-11,2024-12,100.0,131,512,34.6,1423,0
2024-12-12,2024-12,100.0,147,537,34.48,1598,0
2024-12-13,2024-12,100.0,166,581,32.11,1500,0
2024-12-14,2024-12,100.0,148,540,30.29,502,0
2024-12-15,2024-12,100.0,151,583,34.43,877,0
2024-12-16,2024-12,100.0,145,536,34.72,914,0
2024-12-17,2024-12,100.0,107,558,30.16,517,0
2024-12-18,2024-12,100.0,157,511,39.38,878,0
2024-12-19,2024-12,100.0,119,566,36.05,684,0
2024-12-20,2024-12,100.0,122,598,33.14,1351,0
2024-12-21,2024-12,100.0,155,388,38.36,1484,0
2024-12-22,2024-12,100.0,133,427,34.65,549,0
2024-12-23,2024-12,100.0,168,566,29.55,837,0
2024-12-24,2024-12,100.0,134,562,30.99,560,0
2024-12-25,2024-12,100.0,143,547,31.55,875,0
2024-12-26,2024-12,100.0,140,483,31.1,678,0
2024-12-27,2024-12,100.0,148,572,28.31,1462,0
2024-12-28,2024-12,100.0,149,647,50.1,1981,0
2024-12-29,2024-12,100.0,158,828,56.12,1710,0
2024-12-30,2024-12,100.0,152,744,54.95,2048,0
2024-12-31,2024-12,100.0,164,753,60.43,1682,0
2025-01-01,2025-01,100.0,155,740,41.26,1502,0
2025-01-02,2025-01,100.0,169,591,43.37,1700,0
2025-01-03,2025-01,100.0,153,690,42.68,1690,0
2025-01-04,2025-01,100.0,145,633,40.56,1632,0
2025-01-05,2025-01,100.0,145,611,44.57,959,0
2025-01-06,2025-01,100.0,149,669,35.19,2201,0
2025-01-07,2025-01,99.3966,156,572,52.45,1435,1
2025-01-08,2025-01,100.0,145,769,49.94,1499,0
2025-01-09,2025-01,100.0,138,656,50.43,1706,0
2025-01-10,2025-01,100.0,118,627,46.94,1973,0
2025-01-11,2025-01,100.0,158,703,45.51,2030,0
2025-01-12,2025-01,100.0,167,619,43.86,768,0
2025-01-13,2025-01,100.0,162,664,48.86,1860,0
2025-01-14,2025-01,100.0,165,541,39.72,1734,0
2025-01-15,2025-01,100.0,171,628,45.98,2298,0
2025-01-16,2025-01,100.0,168,710,47.16,1424,0
2025-01-17,2025-01,100.0,145,639,42.14,1111,0
2025-01-18,2025-01,100.0,147,624,50.57,1330,0
2025-01-19,2025-01,100.0,168,737,52.47,1965,0
2025-01-20,2025-01,100.0,129,579,48.97,1476,0
2025-01-21,2025-01,100.0,152,767,46.19,1593,0
2025-01-22,2025-01,100.0,121,539,48.85,2246,0
2025-01-23,2025-01,100.0,141,681,45.46,1561,0
2025-01-24,2025-01,100.0,184,646,49.26,1124,0
2025-01-25,2025-01,100.0,147,610,41.53,1895,0
2025-01-26,2025-01,100.0,137,723,41.7,1954,0
2025-01-27,2025-01,100.0,160,688,45.55,1744,0
2025-01-28,2025-01,100.0,187,1032,77.23,2550,0
2025-01-29,2025-01,100.0,183,1022,73.9,2356,0
2025-01-30,2025-01,100.0,179,901,81.67,2599,0
2025-01-31,2025-01,100.0,217,1014,81.35,2269,0
2025-02-01,2025-02,100.0,152,577,43.75,1203,0
2025-02-02,2025-02,100.0,161,559,42.4,891,0
2025-02-03,2025-02,100.0,175,606,36.62,1688,0
2025-02-04,2025-02,100.0,143,634,44.84,1124,0
2025-02-05,2025-02,100.0,137,673,43.78,821,0
2025-02-06,2025-02,100.0,152,566,46.26,1081,0
2025-02-07,2025-02,100.0,173,639,41.37,1344,0
2025-02-08,2025-02,100.0,159,791,44.63,1223,0
2025-02-09,2025-02,100.0,151,533,43.21,1582,0
2025-02-10,2025-02,100.0,129,535,49.14,1315,0
2025-02-11,2025-02,100.0,149,655,38.35,2154,0
2025-02-12,2025-02,100.0,162,723,41.36,1284,0
2025-02-13,2025-02,100.0,160,505,41.14,2212,0
2025-02-14,2025-02,100.0,111,610,49.57,1607,0
2025-02-15,2025-02,100.0,153,657,46.79,1284,0
2025-02-16,2025-02,100.0,145,650,38.66,1002,0
2025-02-17,2025-02,100.0,143,659,47.52,910,0
2025-02-18,2025-02,100.0,134,622,46.71,1886,0
2025-02-19,2025-02,100.0,119,686,47.28,1666,0
2025-02-20,2025-02,100.0,150,615,41.42,868,0
2025-02-21,2025-02,100.0,152,647,38.18,1882,0
2025-02-22,2025-02,100.0,166,521,39.92,1524,0
2025-02-23,2025-02,100.0,163,669,41.44,1809,0
2025-02-24,2025-02,100.0,159,549,39.64,1820,0
2025-02-25,2025-02,100.0,140,697,43.0,834,0
2025-02-26,2025-02,100.0,142,610,45.09,1895,0
2025-02-27,2025-02,100.0,149,695,47.39,1334,0
2025-02-28,2025-02,100.0,170,859,71.11,2212,0
2025-03-01,2025-03,100.0,160,779,60.37,2753,0
2025-03-02,2025-03,100.0,145,851,64.09,2540,0
2025-03-03,2025-03,100.0,165,829,52.2,1491,0
2025-03-04,2025-03,100.0,174,881,58.83,2089,0
2025-03-05,2025-03,100.0,156,792,62.23,2020,0
2025-03-06,2025-03,100.0,160,833,56.64,1986,0
2025-03-07,2025-03,100.0,149,788,52.9,1787,0
2025-03-08,2025-03,100.0,173,695,55.93,1809,0
2025-03-09,2025-03,100.0,156,624,56.03,2119,0
2025-03-10,2025-03,100.0,173,806,52.22,1573,0
2025-03-11,2025-03,100.0,175,664,60.66,1991,0
2025-03-12,2025-03,100.0,165,642,65.73,1918,0
2025-03-13,2025-03,100.0,173,793,63.84,1897,0
2025-03-14,2025-03,100.0,172,726,59.45,1613,0
2025-03-15,2025-03,100.0,168,737,48.54,2378,0
2025-03-16,2025-03,100.0,191,804,65.23,2194,0
2025-03-17,2025-03,100.0,173,779,56.17,2160,0
2025-03-18,2025-03,98.3746,184,649,60.17,1601,1
2025-03-19,2025-03,100.0,148,804,59.2,2419,0
2025-03-20,2025-03,100.0,144,753,56.46,2438,0
2025-03-21,2025-03,100.0,155,760,61.46,1836,0
2025-03-22,2025-03,100.0,160,754,58.38,1416,0
2025-03-23,2025-03,100.0,161,743,47.48,2174,0
2025-03-24,2025-03,100.0,139,657,59.6,2086,0
2025-03-25,2025-03,100.0,155,810,58.47,2048,0
2025-03-26,2025-03,100.0,192,823,61.85,2208,0
2025-03-27,2025-03,100.0,170,722,63.75,2445,0
2025-03-28,2025-03,100.0,228,1082,103.92,3352,0
2025-03-29,2025-03,94.4648,211,1107,91.63,2791,1
2025-03-30,2025-03,100.0,234,1171,94.06,2843,0
2025-03-31,2025-03,100.0,218,1094,98.26,3603,0
2025-04-01,2025-04,100.0,178,806,68.64,2595,0
2025-04-02,2025-04,100.0,167,797,71.4,2255,0
2025-04-03,2025-04,100.0,190,823,58.81,1968,0
2025-04-04,2025-04,100.0,174,911,64.61,2103,0
2025-04-05,2025-04,98.2548,173,727,62.73,1664,1
2025-04-06,2025-04,100.0,183,836,77.15,2555,0
2025-04-07,2025-04,100.0,183,935,76.5,1776,0
2025-04-08,2025-04,100.0,182,810,66.93,2962,0
2025-04-09,2025-04,100.0,171,745,70.03,3303,0
2025-04-10,2025-04,100.0,197,921,74.73,1911,0
2025-04-11,2025-04,100.0,186,856,71.94,2254,0
2025-04-12,2025-04,100.0,165,899,70.87,2212,0
2025-04-13,2025-04,88.2375,183,732,65.59,2293,1
2025-04-14,2025-04,100.0,180,838,68.82,2092,0
2025-04-15,2025-04,99.1565,176,919,67.61,2847,1
2025-04-16,2025-04,100.0,167,836,64.22,2286,0
2025-04-17,2025-04,100.0,174,836,74.61,2407,0
2025-04-18,2025-04,99.6842,192,830,69.14,2859,1
2025-04-19,2025-04,100.0,193,813,78.39,2055,0
2025-04-20,2025-04,100.0,210,885,69.71,2941,0
2025-04-21,2025-04,100.0,174,846,55.82,2136,0
2025-04-22,2025-04,100.0,158,820,62.14,2664,0
2025-04-23,2025-04,100.0,183,778,76.92,2029,0
2025-04-24,2025-04,100.0,182,805,60.87,2331,0
2025-04-25,2025-04,100.0,167,882,72.04,3179,0
2025-04-26,2025-04,100.0,151,907,73.31,2487,0
2025-04-27,2025-04,100.0,194,798,62.25,2064,0
2025-04-28,2025-04,100.0,234,1260,129.95,4506,0
2025-04-29,2025-04,97.2139,211,1175,116.91,4221,1
2025-04-30,2025-04,99.3297,224,1138,110.12,4300,1
2025-05-01,2025-05,100.0,158,885,60.17,2235,0
2025-05-02,2025-05,100.0,178,764,65.09,1803,0
2025-05-03,2025-05,100.0,142,811,56.98,1989,0
2025-05-04,2025-05,100.0,185,764,69.78,2551,0
2025-05-05,2025-05,99.6686,152,785,59.54,1360,1
2025-05-06,2025-05,100.0,154,898,54.52,2165,0
2025-05-07,2025-05,100.0,179,736,69.07,1423,0
2025-05-08,2025-05,100.0,174,797,59.26,1487,0
2025-05-09,2025-05,100.0,166,809,46.99,1272,0
2025-05-10,2025-05,100.0,166,780,55.17,1841,0
2025-05-11,2025-05,100.0,167,930,53.14,2458,0
2025-05-12,2025-05,100.0,172,693,59.11,1957,0
2025-05-13,2025-05,100.0,184,783,56.32,2252,0
2025-05-14,2025-05,100.0,180,741,69.17,1935,0
2025-05-15,2025-05,100.0,171,839,67.89,2212,0
2025-05-16,2025-05,100.0,173,703,61.7,2448,0
2025-05-17,2025-05,100.0,167,817,63.71,2258,0
2025-05-18,2025-05,100.0,172,738,70.56,1856,0
2025-05-19,2025-05,100.0,161,741,63.91,1841,0
2025-05-20,2025-05,100.0,205,669,64.33,2711,0
2025-05-21,2025-05,100.0,169,815,65.91,2982,0
2025-05-22,2025-05,100.0,147,818,59.11,1603,0
2025-05-23,2025-05,100.0,151,797,67.0,1751,0
2025-05-24,2025-05,99.7371,183,845,59.77,1993,1
2025-05-25,2025-05,100.0,179,777,60.52,2412,0
2025-05-26,2025-05,100.0,202,728,60.84,2192,0
2025-05-27,2025-05,100.0,180,725,66.82,2448,0
2025-05-28,2025-05,99.3115,219,1215,106.78,3524,2
2025-05-29,2025-05,100.0,234,1104,99.55,3358,0
2025-05-30,2025-05,98.5509,207,1157,96.26,3372,1
2025-05-31,2025-05,100.0,213,1208,95.41,3721,0
2025-06-01,2025-06,100.0,160,615,48.12,2212,0
2025-06-02,2025-06,100.0,157,629,49.26,1501,0
2025-06-03,2025-06,100.0,159,729,46.6,1701,0
2025-06-04,2025-06,98.5437,122,665,51.1,1448,1
2025-06-05,2025-06,100.0,149,550,45.72,1797,0
2025-06-06,2025-06,100.0,177,756,50.64,1806,0
2025-06-07,2025-06,100.0,187,567,49.44,1917,0
2025-06-08,2025-06,100.0,157,687,45.87,765,0
2025-06-09,2025-06,100.0,164,677,41.91,1643,0
2025-06-10,2025-06,100.0,168,606,45.56,1081,0
2025-06-11,2025-06,100.0,141,585,41.19,2007,0
2025-06-12,2025-06,100.0,166,570,42.32,1736,0
2025-06-13,2025-06,100.0,153,666,46.13,1594,0
2025-06-14,2025-06,100.0,140,633,54.06,2143,0
2025-06-15,2025-06,100.0,167,611,47.79,1404,0
2025-06-16,2025-06,99.3705,146,599,54.69,1689,1
2025-06-17,2025-06,100.0,153,687,44.97,1650,0
2025-06-18,2025-06,100.0,129,623,40.03,1486,0
2025-06-19,2025-06,100.0,160,658,43.91,1890,0
2025-06-20,2025-06,100.0,162,644,50.12,1680,0
2025-06-21,2025-06,100.0,157,726,50.0,1671,0
2025-06-22,2025-06,100.0,146,754,50.17,1770,0
2025-06-23,2025-06,100.0,157,695,43.64,1608,0
2025-06-24,2025-06,100.0,152,617,48.04,1393,0
2025-06-25,2025-06,100.0,143,669,46.63,2203,0
2025-06-26,2025-06,100.0,156,706,46.13,1390,0
2025-06-27,2025-06,100.0,152,690,52.42,1611,0
2025-06-28,2025-06,100.0,199,951,84.4,2831,0
2025-06-29,2025-06,100.0,171,934,74.09,2581,0
2025-06-30,2025-06,100.0,191,993,74.97,2456,0
2025-07-01,2025-07,100.0,157,580,46.91,2102,0
2025-07-02,2025-07,100.0,156,639,45.95,1641,0
2025-07-03,2025-07,100.0,136,675,42.67,968,0
2025-07-04,2025-07,100.0,123,712,39.91,1117,0
2025-07-05,2025-07,100.0,159,598,50.04,1029,0
2025-07-06,2025-07,100.0,130,639,43.66,1378,0
2025-07-07,2025-07,100.0,135,707,43.56,1356,0
2025-07-08,2025-07,100.0,149,634,52.43,1580,0
2025-07-09,2025-07,100.0,156,691,40.05,1460,0
2025-07-10,2025-07,100.0,170,657,45.52,1205,0
2025-07-11,2025-07,100.0,167,611,45.2,1633,0
2025-07-12,2025-07,100.0,171,803,43.6,2045,0
2025-07-13,2025-07,100.0,142,710,36.04,1129,0
2025-07-14,2025-07,100.0,146,727,41.82,1308,0
2025-07-15,2025-07,100.0,164,730,45.64,1956,0
2025-07-16,2025-07,100.0,132,645,45.51,1728,0
2025-07-17,2025-07,100.0,147,585,46.84,1503,0
2025-07-18,2025-07,100.0,147,678,41.33,1257,0
2025-07-19,2025-07,100.0,126,624,47.08,1931,0
2025-07-20,2025-07,100.0,131,545,36.97,1441,0
2025-07-21,2025-07,100.0,147,537,52.42,1591,0
2025-07-22,2025-07,100.0,149,726,41.55,914,0
2025-07-23,2025-07,100.0,163,661,44.49,1448,0
2025-07-24,2025-07,100.0,107,784,40.88,1817,0
2025-07-25,2025-07,100.0,151,660,41.08,1778,0
2025-07-26,2025-07,100.0,141,811,46.14,2538,0
2025-07-27,2025-07,100.0,157,612,47.54,1227,0
2025-07-28,2025-07,100.0,197,933,79.81,2390,0
2025-07-29,2025-07,100.0,204,935,84.28,3007,0
2025-07-30,2025-07,100.0,179,857,73.3,2795,0
2025-07-31,2025-07,100.0,177,877,78.47,2481,0
2025-08-01,2025-08,100.0,161,772,48.98,1398,0
2025-08-02,2025-08,100.0,156,686,61.19,1852,0
2025-08-03,2025-08,100.0,161,784,46.5,1696,0
2025-08-04,2025-08,100.0,159,674,53.0,2148,0
2025-08-05,2025-08,100.0,151,758,52.0,2308,0
2025-08-06,2025-08,100.0,162,748,52.33,1762,0
2025-08-07,2025-08,100.0,175,638,57.88,1546,0
2025-08-08,2025-08,100.0,139,789,52.73,2106,0
2025-08-09,2025-08,100.0,173,659,50.1,2516,0
2025-08-10,2025-08,100.0,153,754,49.65,2091,0
2025-08-11,2025-08,99.8294,172,682,58.15,2154,1
2025-08-12,2025-08,100.0,167,694,52.85,1502,0
2025-08-13,2025-08,100.0,138,665,58.98,1616,0
2025-08-14,2025-08,100.0,182,696,57.36,2031,0
2025-08-15,2025-08,100.0,202,646,58.73,2123,0
2025-08-16,2025-08,100.0,175,730,52.75,1323,0
2025-08-17,2025-08,100.0,148,745,61.58,2349,0
2025-08-18,2025-08,100.0,149,696,57.04,1999,0
2025-08-19,2025-08,100.0,143,733,58.45,1702,0
2025-08-20,2025-08,100.0,138,705,58.4,2355,0
2025-08-21,2025-08,100.0,175,609,46.5,1541,0
2025-08-22,2025-08,100.0,172,715,53.76,2117,0
2025-08-23,2025-08,100.0,161,728,53.41,2491,0
2025-08-24,2025-08,100.0,171,786,55.8,1970,0
2025-08-25,2025-08,100.0,159,713,52.93,1850,0
2025-08-26,2025-08,99.0443,161,727,56.04,1729,1
2025-08-27,2025-08,100.0,174,731,55.15,1675,0
2025-08-28,2025-08,94.9778,225,1129,81.95,3527,1
2025-08-29,2025-08,100.0,204,1139,94.95,2857,0
2025-08-30,2025-08,99.5548,220,1071,96.04,3805,1
2025-08-31,2025-08,100.0,195,1022,82.94,2653,0
2025-09-01,2025-09,100.0,150,740,47.94,1871,0
2025-09-02,2025-09,100.0,161,711,50.27,1509,0
2025-09-03,2025-09,100.0,124,655,53.68,1822,0
2025-09-04,2025-09,98.4863,179,634,53.92,1785,1
2025-09-05,2025-09,100.0,181,720,50.46,2470,0
2025-09-06,2025-09,100.0,156,668,52.69,2249,0
2025-09-07,2025-09,100.0,161,765,54.7,1829,0
2025-09-08,2025-09,100.0,168,595,59.58,1803,0
2025-09-09,2025-09,100.0,171,661,53.66,1522,0
2025-09-10,2025-09,100.0,147,617,60.7,1909,0
2025-09-11,2025-09,100.0,152,810,48.64,1470,0
2025-09-12,2025-09,100.0,145,729,58.81,1488,0
2025-09-13,2025-09,100.0,165,709,54.38,1572,0
2025-09-14,2025-09,100.0,130,725,54.55,2744,0
2025-09-15,2025-09,100.0,164,718,51.22,2047,0
2025-09-16,2025-09,100.0,157,736,56.62,1617,0
2025-09-17,2025-09,98.541,156,795,48.04,1448,1
2025-09-18,2025-09,100.0,142,739,56.15,2723,0
2025-09-19,2025-09,100.0,161,598,53.12,1606,0
2025-09-20,2025-09,100.0,140,749,58.06,1720,0
2025-09-21,2025-09,100.0,166,737,46.24,1987,0
2025-09-22,2025-09,100.0,127,732,57.28,1733,0
2025-09-23,2025-09,100.0,158,684,51.21,1312,0
2025-09-24,2025-09,100.0,140,583,54.43,1707,0
2025-09-25,2025-09,100.0,179,688,49.14,1447,0
2025-09-26,2025-09,100.0,165,750,54.05,1514,0
2025-09-27,2025-09,100.0,172,572,55.55,2221,0
2025-09-28,2025-09,100.0,229,1006,88.65,3745,0
2025-09-29,2025-09,100.0,192,986,99.0,3135,0
2025-09-30,2025-09,100.0,210,941,92.09,2508,0
2025-10-01,2025-10,100.0,159,779,53.29,1517,0
2025-10-02,2025-10,100.0,177,686,47.33,1488,0
2025-10-03,2025-10,100.0,171,719,51.99,1130,0
2025-10-04,2025-10,100.0,150,691,47.24,1362,0
2025-10-05,2025-10,100.0,179,638,53.79,1858,0
2025-10-06,2025-10,100.0,146,655,50.63,2220,0
2025-10-07,2025-10,100.0,185,681,47.07,1353,0
2025-10-08,2025-10,100.0,141,686,49.71,1909,0
2025-10-09,2025-10,100.0,165,644,49.58,1853,0
2025-10-10,2025-10,100.0,160,745,52.22,1628,0
2025-10-11,2025-10,100.0,167,698,51.66,1734,0
2025-10-12,2025-10,100.0,160,709,56.05,2094,0
2025-10-13,2025-10,100.0,154,716,44.42,1726,0
2025-10-14,2025-10,94.5962,179,715,51.84,1765,1
2025-10-15,2025-10,100.0,146,686,45.03,1393,0
2025-10-16,2025-10,100.0,164,632,45.8,1666,0
2025-10-17,2025-10,100.0,137,776,53.14,1507,0
2025-10-18,2025-10,100.0,177,651,52.32,1657,0
2025-10-19,2025-10,100.0,150,689,49.63,1458,0
2025-10-20,2025-10,100.0,153,663,48.9,2098,0
2025-10-21,2025-10,100.0,157,638,61.79,1189,0
2025-10-22,2025-10,100.0,172,610,58.53,1230,0
2025-10-23,2025-10,100.0,150,623,47.0,1781,0
2025-10-24,2025-10,100.0,177,526,48.41,1894,0
2025-10-25,2025-10,100.0,145,622,47.03,2280,0
2025-10-26,2025-10,100.0,155,652,52.08,1742,0
2025-10-27,2025-10,100.0,156,694,49.52,1673,0
2025-10-28,2025-10,100.0,204,1037,68.48,3364,0
2025-10-29,2025-10,100.0,200,1009,90.65,3089,0
2025-10-30,2025-10,100.0,212,918,78.49,3062,0
2025-10-31,2025-10,100.0,181,945,83.48,2945,0
2025-11-01,2025-11,100.0,160,521,38.32,1180,0
2025-11-02,2025-11,100.0,160,602,41.52,1587,0
2025-11-03,2025-11,100.0,127,599,42.13,2199,0
2025-11-04,2025-11,100.0,154,516,38.01,576,0
2025-11-05,2025-11,100.0,133,513,36.62,1644,0
2025-11-06,2025-11,100.0,138,552,36.36,1506,0
2025-11-07,2025-11,100.0,137,585,40.3,576,0
2025-11-08,2025-11,100.0,160,479,35.29,1576,0
2025-11-09,2025-11,100.0,140,461,33.13,1446,0
2025-11-10,2025-11,100.0,156,528,35.81,812,0
2025-11-11,2025-11,100.0,178,466,38.2,783,0
2025-11-12,2025-11,100.0,138,612,38.83,1161,0
2025-11-13,2025-11,100.0,182,680,37.3,1262,0
2025-11-14,2025-11,100.0,155,625,37.21,879,0
2025-11-15,2025-11,100.0,152,505,37.59,1902,0
2025-11-16,2025-11,100.0,152,663,40.03,1881,0
2025-11-17,2025-11,100.0,150,551,33.77,1368,0
2025-11-18,2025-11,100.0,153,505,37.82,1530,0
2025-11-19,2025-11,100.0,143,534,37.02,935,0
2025-11-20,2025-11,100.0,138,572,38.34,982,0
2025-11-21,2025-11,100.0,162,544,32.67,940,0
2025-11-22,2025-11,100.0,136,558,40.19,1706,0
2025-11-23,2025-11,100.0,142,588,36.8,1493,0
2025-11-24,2025-11,100.0,125,504,36.61,913,0
2025-11-25,2025-11,100.0,150,654,37.23,1887,0
2025-11-26,2025-11,100.0,122,571,43.8,702,0
2025-11-27,2025-11,100.0,174,490,40.46,1233,0
2025-11-28,2025-11,100.0,168,802,69.56,2627,0
2025-11-29,2025-11,100.0,164,874,55.25,2103,0
2025-11-30,2025-11,100.0,194,803,55.18,2086,0
2025-12-01,2025-12,100.0,121,571,33.13,1032,0
2025-12-02,2025-12,100.0,115,473,32.74,1265,0
2025-12-03,2025-12,100.0,155,409,35.56,1521,0
2025-12-04,2025-12,100.0,126,586,33.01,447,0
2025-12-05,2025-12,100.0,164,502,32.43,968,0
2025-12-06,2025-12,100.0,154,563,32.96,574,0
2025-12-07,2025-12,100.0,131,639,31.71,1202,0
2025-12-08,2025-12,100.0,129,565,25.84,1091,0
2025-12-09,2025-12,100.0,140,591,29.82,1017,0
2025-12-10,2025-12,100.0,151,549,40.9,845,0
2025-12-11,2025-12,100.0,116,551,31.33,1137,0
2025-12-12,2025-12,99.4187,140,512,29.33,466,1
2025-12-13,2025-12,100.0,158,591,32.19,777,0
2025-12-14,2025-12,100.0,151,524,34.55,896,0
2025-12-15,2025-12,100.0,150,581,29.22,864,0
2025-12-16,2025-12,100.0,125,506,36.58,1176,0
2025-12-17,2025-12,100.0,121,559,32.71,1255,0
2025-12-18,2025-12,100.0,117,614,28.19,562,0
2025-12-19,2025-12,100.0,134,429,31.07,714,0
2025-12-20,2025-12,100.0,142,553,27.77,832,0
2025-12-21,2025-12,100.0,138,521,37.0,1133,0
2025-12-22,2025-12,100.0,129,534,33.59,985,0
