mes,pais,plan,clientes,arpa_usd,mrr_usd
2025-02,Colombia,Siigo Contador,18689,0.0,0.0
2025-02,Colombia,Profesional Independiente,25894,33.96,879308.49
2025-02,Colombia,Emprendedor,29233,45.16,1320105.61
2025-02,Colombia,Premium,16982,49.05,832978.59
2025-02,Colombia,Corporativo,5705,92.89,529918.63
2025-02,Colombia,Siigo POS,9162,20.74,190000.51
2025-02,Colombia,POS Gastrobar,4432,27.7,122763.72
2025-03,Colombia,Siigo Contador,18882,0.0,0.0
2025-03,Colombia,Profesional Independiente,26137,34.03,889541.31
2025-03,Colombia,Emprendedor,29509,45.35,1338088.52
2025-03,Colombia,Premium,17120,49.24,843031.59
2025-03,Colombia,Corporativo,5753,93.56,538216.25
2025-03,Colombia,Siigo POS,9256,20.79,192467.33
2025-03,Colombia,POS Gastrobar,4503,27.75,124977.01
2025-04,Colombia,Siigo Contador,19015,0.0,0.0
2025-04,Colombia,Profesional Independiente,26348,34.08,897821.31
2025-04,Colombia,Emprendedor,29709,45.53,1352672.34
2025-04,Colombia,Premium,17225,49.55,853571.18
2025-04,Colombia,Corporativo,5782,94.19,544624.63
2025-04,Colombia,Siigo POS,9293,20.91,194340.6
2025-04,Colombia,POS Gastrobar,4524,27.83,125899.14
2025-05,Colombia,Siigo Contador,19131,0.0,0.0
2025-05,Colombia,Profesional Independiente,26473,34.21,905731.3
2025-05,Colombia,Emprendedor,29905,45.68,1366055.39
2025-05,Colombia,Premium,17347,49.79,863695.17
2025-05,Colombia,Corporativo,5817,94.67,550709.67
2025-05,Colombia,Siigo POS,9367,21.05,197173.09
2025-05,Colombia,POS Gastrobar,4552,27.97,127329.26
2025-06,Colombia,Siigo Contador,19216,0.0,0.0
2025-06,Colombia,Profesional Independiente,26600,34.34,913339.52
2025-06,Colombia,Emprendedor,29987,45.97,1378381.48
2025-06,Colombia,Premium,17434,50.08,873184.01
2025-06,Colombia,Corporativo,5847,95.29,557163.26
2025-06,Colombia,Siigo POS,9390,21.14,198461.07
2025-06,Colombia,POS Gastrobar,4557,28.04,127774.8
2025-07,Colombia,Siigo Contador,19296,0.0,0.0
2025-07,Colombia,Profesional Independiente,26764,34.48,922675.53
2025-07,Colombia,Emprendedor,30007,46.19,1385891.47
2025-07,Colombia,Premium,17497,50.37,881386.8
2025-07,Colombia,Corporativo,5882,95.99,564607.86
2025-07,Colombia,Siigo POS,9457,21.21,200632.23
2025-07,Colombia,POS Gastrobar,4574,28.13,128661.47
2025-08,Colombia,Siigo Contador,19418,0.0,0.0
2025-08,Colombia,Profesional Independiente,26947,34.62,932794.93
2025-08,Colombia,Emprendedor,30244,46.52,1406827.84
2025-08,Colombia,Premium,17572,50.67,890457.75
2025-08,Colombia,Corporativo,5915,96.7,572019.37
2025-08,Colombia,Siigo POS,9505,21.27,202221.8
2025-08,Colombia,POS Gastrobar,4602,28.14,129501.36
2025-09,Colombia,Siigo Contador,19521,0.0,0.0
2025-09,Colombia,Profesional Independiente,27237,34.72,945610.52
2025-09,Colombia,Emprendedor,30470,46.65,1421442.83
2025-09,Colombia,Premium,17713,50.87,901108.27
2025-09,Colombia,Corporativo,5958,96.99,577923.27
2025-09,Colombia,Siigo POS,9571,21.36,204478.63
2025-09,Colombia,POS Gastrobar,4633,28.24,130852.31
2025-10,Colombia,Siigo Contador,19637,0.0,0.0
2025-10,Colombia,Profesional Independiente,27442,34.76,953883.22
2025-10,Colombia,Emprendedor,30644,46.94,1438359.24
2025-10,Colombia,Premium,17784,51.32,912632.34
2025-10,Colombia,Corporativo,5995,97.66,585474.1
2025-10,Colombia,Siigo POS,9625,21.42,206144.1
2025-10,Colombia,POS Gastrobar,4665,28.31,132059.9
2025-11,Colombia,Siigo Contador,19724,0.0,0.0
2025-11,Colombia,Profesional Independiente,27607,34.93,964324.65
2025-11,Colombia,Emprendedor,30747,47.11,1448424.14
2025-11,Colombia,Premium,17861,51.51,920022.8
2025-11,Colombia,Corporativo,6029,98.04,591060.18
2025-11,Colombia,Siigo POS,9686,21.52,208478.03
2025-11,Colombia,POS Gastrobar,4685,28.42,133125.96
2025-12,Colombia,Siigo Contador,19729,0.0,0.0
2025-12,Colombia,Profesional Independiente,27536,35.02,964169.65
2025-12,Colombia,Emprendedor,30755,47.32,1455492.37
2025-12,Colombia,Premium,17871,51.88,927044.99
2025-12,Colombia,Corporativo,6042,98.45,594825.55
2025-12,Colombia,Siigo POS,9658,21.63,208879.0
2025-12,Colombia,POS Gastrobar,4652,28.54,132776.91
2026-01,Colombia,Siigo Contador,20018,0.0,0.0
2026-01,Colombia,Profesional Independiente,27977,37.17,1039938.38
2026-01,Colombia,Emprendedor,31284,50.19,1570105.87
2026-01,Colombia,Premium,18120,55.09,998148.54
2026-01,Colombia,Corporativo,6120,104.3,638302.02
2026-01,Colombia,Siigo POS,9865,22.87,225599.18
2026-01,Colombia,POS Gastrobar,4733,30.26,143221.25
2026-02,Colombia,Siigo Contador,20236,0.0,0.0
2026-02,Colombia,Profesional Independiente,28429,37.19,1057370.99
2026-02,Colombia,Emprendedor,31680,50.39,1596474.68
2026-02,Colombia,Premium,18318,55.35,1013869.9
2026-02,Colombia,Corporativo,6178,104.91,648109.63
2026-02,Colombia,Siigo POS,9955,22.88,227764.53
2026-02,Colombia,POS Gastrobar,4803,30.31,145598.18
2026-03,Colombia,Siigo Contador,20425,0.0,0.0
2026-03,Colombia,Profesional Independiente,28747,37.3,1072289.21
2026-03,Colombia,Emprendedor,32049,50.57,1620607.18
2026-03,Colombia,Premium,18518,55.78,1032870.3
2026-03,Colombia,Corporativo,6230,105.77,658926.01
2026-03,Colombia,Siigo POS,10034,22.95,230287.24
2026-03,Colombia,POS Gastrobar,4862,30.23,147010.99
2026-04,Colombia,Siigo Contador,20596,0.0,0.0
2026-04,Colombia,Profesional Independiente,28989,37.36,1083153.03
2026-04,Colombia,Emprendedor,32260,50.64,1633518.97
2026-04,Colombia,Premium,18636,56.16,1046554.17
2026-04,Colombia,Corporativo,6267,106.23,665769.19
2026-04,Colombia,Siigo POS,10095,22.99,232045.91
2026-04,Colombia,POS Gastrobar,4896,30.31,148387.5
2026-05,Colombia,Siigo Contador,20718,0.0,0.0
2026-05,Colombia,Profesional Independiente,29143,37.4,1090101.7
2026-05,Colombia,Emprendedor,32435,50.8,1647826.7
2026-05,Colombia,Premium,18765,56.26,1055664.29
2026-05,Colombia,Corporativo,6304,106.95,674231.68
2026-05,Colombia,Siigo POS,10126,23.03,233237.07
2026-05,Colombia,POS Gastrobar,4934,30.34,149704.19
2026-06,Colombia,Siigo Contador,20823,0.0,0.0
2026-06,Colombia,Profesional Independiente,29236,37.48,1095629.23
2026-06,Colombia,Emprendedor,32606,51.04,1664303.92
2026-06,Colombia,Premium,18863,56.35,1062888.49
2026-06,Colombia,Corporativo,6340,107.43,681108.42
2026-06,Colombia,Siigo POS,10165,23.1,234861.88
2026-06,Colombia,POS Gastrobar,4959,30.48,151153.88
2026-07,Colombia,Siigo Contador,20900,0.0,0.0
2026-07,Colombia,Profesional Independiente,29308,37.65,1103585.94
2026-07,Colombia,Emprendedor,32834,51.16,1679909.11
2026-07,Colombia,Premium,18988,56.62,1075142.26
2026-07,Colombia,Corporativo,6371,107.85,687104.39
2026-07,Colombia,Siigo POS,10238,23.18,237332.63
2026-07,Colombia,POS Gastrobar,4980,30.54,152080.54
2026-08,Colombia,Siigo Contador,21073,0.0,0.0
2026-08,Colombia,Profesional Independiente,29441,37.78,1112190.41
2026-08,Colombia,Emprendedor,33057,51.47,1701319.96
2026-08,Colombia,Premium,19075,56.96,1086403.51
2026-08,Colombia,Corporativo,6407,108.28,693729.59
2026-08,Colombia,Siigo POS,10304,23.34,240460.5
2026-08,Colombia,POS Gastrobar,5023,30.63,153839.64
2024-09,México,Siigo Contador,7605,0.0,0.0
2024-09,México,Profesional Independiente,20438,40.83,834582.74
2024-09,México,Emprendedor,17518,53.51,937490.42
2024-09,México,Premium,9099,58.14,529011.85
2024-09,México,Corporativo,2784,108.8,302903.53
2024-09,México,Siigo POS,7062,24.89,175790.02
2024-09,México,POS Gastrobar,3395,33.28,113002.44
2024-10,México,Siigo Contador,7719,0.0,0.0
2024-10,México,Profesional Independiente,20736,40.81,846269.16
2024-10,México,Emprendedor,17804,53.72,956431.61
2024-10,México,Premium,9245,58.44,540276.68
2024-10,México,Corporativo,2831,109.14,308944.06
2024-10,México,Siigo POS,7166,25.02,179279.3
2024-10,México,POS Gastrobar,3447,33.29,114727.96
2024-11,México,Siigo Contador,7839,0.0,0.0
2024-11,México,Profesional Independiente,20925,40.94,856626.78
2024-11,México,Emprendedor,18058,53.84,972194.19
2024-11,México,Premium,9383,58.63,550126.9
2024-11,México,Corporativo,2870,109.5,314277.9
2024-11,México,Siigo POS,7255,25.04,181699.23
2024-11,México,POS Gastrobar,3491,33.4,116629.2
2024-12,México,Siigo Contador,7915,0.0,0.0
2024-12,México,Profesional Independiente,21066,41.02,864222.9
2024-12,México,Emprendedor,18269,53.87,984183.92
2024-12,México,Premium,9500,58.89,559473.79
2024-12,México,Corporativo,2907,110.0,319778.45
2024-12,México,Siigo POS,7330,25.16,184439.78
2024-12,México,POS Gastrobar,3520,33.42,117647.68
2025-01,México,Siigo Contador,8082,0.0,0.0
2025-01,México,Profesional Independiente,21630,43.43,939412.92
2025-01,México,Emprendedor,18742,56.86,1065767.37
2025-01,México,Premium,9698,62.17,602953.96
2025-01,México,Corporativo,2967,116.74,346341.23
2025-01,México,Siigo POS,7490,26.63,199465.65
2025-01,México,POS Gastrobar,3596,35.3,126944.47
2025-02,México,Siigo Contador,8245,0.0,0.0
2025-02,México,Profesional Independiente,21977,43.37,953104.72
2025-02,México,Emprendedor,19153,56.92,1090129.69
2025-02,México,Premium,9873,62.42,616293.02
2025-02,México,Corporativo,3021,117.1,353713.93
2025-02,México,Siigo POS,7629,26.69,203636.64
2025-02,México,POS Gastrobar,3672,35.3,129616.93
2025-03,México,Siigo Contador,8379,0.0,0.0
2025-03,México,Profesional Independiente,22474,43.46,976643.36
2025-03,México,Emprendedor,19476,57.12,1112569.25
2025-03,México,Premium,10044,62.72,630010.05
2025-03,México,Corporativo,3069,117.34,360111.26
2025-03,México,Siigo POS,7773,26.78,208198.38
2025-03,México,POS Gastrobar,3752,35.22,132167.97
2025-04,México,Siigo Contador,8500,0.0,0.0
2025-04,México,Profesional Independiente,22792,43.64,994693.83
2025-04,México,Emprendedor,19732,57.24,1129513.29
2025-04,México,Premium,10195,62.98,642064.97
2025-04,México,Corporativo,3113,117.95,367190.71
2025-04,México,Siigo POS,7923,26.72,211736.65
2025-04,México,POS Gastrobar,3820,35.38,135131.6
2025-05,México,Siigo Contador,8604,0.0,0.0
2025-05,México,Profesional Independiente,23135,43.68,1010493.53
2025-05,México,Emprendedor,19969,57.45,1147214.52
2025-05,México,Premium,10373,62.97,653238.6
2025-05,México,Corporativo,3159,118.29,373724.8
2025-05,México,Siigo POS,8034,26.77,215084.22
2025-05,México,POS Gastrobar,3873,35.54,137640.63
2025-06,México,Siigo Contador,8727,0.0,0.0
2025-06,México,Profesional Independiente,23464,43.72,1025879.75
2025-06,México,Emprendedor,20207,57.75,1166923.43
2025-06,México,Premium,10518,63.46,667516.18
2025-06,México,Corporativo,3206,118.59,380181.75
2025-06,México,Siigo POS,8157,26.81,218692.62
2025-06,México,POS Gastrobar,3925,35.56,139577.99
2025-07,México,Siigo Contador,8851,0.0,0.0
2025-07,México,Profesional Independiente,23780,43.74,1040201.68
2025-07,México,Emprendedor,20474,57.82,1183792.12
2025-07,México,Premium,10698,63.74,681900.04
2025-07,México,Corporativo,3254,118.89,386868.39
2025-07,México,Siigo POS,8282,26.8,221974.42
2025-07,México,POS Gastrobar,3968,35.63,141346.8
2025-08,México,Siigo Contador,9008,0.0,0.0
2025-08,México,Profesional Independiente,24125,43.72,1054734.49
2025-08,México,Emprendedor,20826,58.14,1210802.11
2025-08,México,Premium,10841,63.88,692504.17
2025-08,México,Corporativo,3300,119.14,393212.14
2025-08,México,Siigo POS,8387,26.91,225707.79
2025-08,México,POS Gastrobar,4021,35.71,143576.38
2025-09,México,Siigo Contador,9161,0.0,0.0
2025-09,México,Profesional Independiente,24576,43.91,1079093.44
2025-09,México,Emprendedor,21120,58.32,1231651.57
2025-09,México,Premium,11009,64.22,707001.58
2025-09,México,Corporativo,3355,119.01,399299.32
2025-09,México,Siigo POS,8497,26.95,229009.03
2025-09,México,POS Gastrobar,4092,35.78,146409.25
2025-10,México,Siigo Contador,9290,0.0,0.0
2025-10,México,Profesional Independiente,24938,43.94,1095704.19
2025-10,México,Emprendedor,21442,58.54,1255196.34
2025-10,México,Premium,11188,64.43,720861.16
2025-10,México,Corporativo,3402,119.79,407507.32
2025-10,México,Siigo POS,8601,27.03,232464.43
2025-10,México,POS Gastrobar,4162,35.89,149346.51
2025-11,México,Siigo Contador,9386,0.0,0.0
2025-11,México,Profesional Independiente,25312,43.89,1111024.78
2025-11,México,Emprendedor,21674,58.63,1270835.1
2025-11,México,Premium,11353,64.63,733745.0
2025-11,México,Corporativo,3450,120.29,414965.21
2025-11,México,Siigo POS,8698,27.11,235842.81
2025-11,México,POS Gastrobar,4212,36.03,151748.22
2025-12,México,Siigo Contador,9506,0.0,0.0
2025-12,México,Profesional Independiente,25629,43.93,1125773.61
2025-12,México,Emprendedor,21831,58.77,1282975.94
2025-12,México,Premium,11479,64.95,745560.85
2025-12,México,Corporativo,3481,120.96,421114.82
2025-12,México,Siigo POS,8770,27.26,239119.78
2025-12,México,POS Gastrobar,4252,36.0,153070.31
2026-01,México,Siigo Contador,9744,0.0,0.0
2026-01,México,Profesional Independiente,26251,46.22,1213354.02
2026-01,México,Emprendedor,22408,62.18,1393366.16
2026-01,México,Premium,11713,68.58,803251.82
2026-01,México,Corporativo,3556,127.89,454795.57
2026-01,México,Siigo POS,8924,28.75,256576.93
2026-01,México,POS Gastrobar,4373,38.04,166369.14
2026-02,México,Siigo Contador,9977,0.0,0.0
2026-02,México,Profesional Independiente,26698,46.3,1236053.21
2026-02,México,Emprendedor,22860,62.31,1424479.78
2026-02,México,Premium,11905,68.83,819428.62
2026-02,México,Corporativo,3621,127.91,463155.62
2026-02,México,Siigo POS,9101,28.69,261140.67
2026-02,México,POS Gastrobar,4471,37.86,169277.83
2026-03,México,Siigo Contador,10155,0.0,0.0
2026-03,México,Profesional Independiente,27328,46.34,1266280.52
2026-03,México,Emprendedor,23293,62.24,1449818.19
2026-03,México,Premium,12147,68.93,837308.12
2026-03,México,Corporativo,3681,128.58,473298.0
2026-03,México,Siigo POS,9238,28.71,265237.34
2026-03,México,POS Gastrobar,4555,37.87,172485.66
2026-04,México,Siigo Contador,10327,0.0,0.0
2026-04,México,Profesional Independiente,27847,46.38,1291621.91
2026-04,México,Emprendedor,23697,62.48,1480646.38
2026-04,México,Premium,12332,69.07,851786.82
2026-04,México,Corporativo,3738,129.01,482296.25
2026-04,México,Siigo POS,9380,28.85,270571.19
2026-04,México,POS Gastrobar,4612,37.83,174484.95
2026-05,México,Siigo Contador,10448,0.0,0.0
2026-05,México,Profesional Independiente,28285,46.34,1310821.98
2026-05,México,Emprendedor,24065,62.58,1506062.21
2026-05,México,Premium,12557,69.22,869233.26
2026-05,México,Corporativo,3795,129.62,491958.54
2026-05,México,Siigo POS,9491,28.89,274221.17
2026-05,México,POS Gastrobar,4669,37.69,175943.58
2026-06,México,Siigo Contador,10572,0.0,0.0
2026-06,México,Profesional Independiente,28656,46.39,1329375.75
2026-06,México,Emprendedor,24407,62.7,1530332.05
2026-06,México,Premium,12743,69.36,883823.21
2026-06,México,Corporativo,3856,130.32,502521.29
2026-06,México,Siigo POS,9588,28.95,277595.79
2026-06,México,POS Gastrobar,4723,37.82,178613.7
2026-07,México,Siigo Contador,10733,0.0,0.0
2026-07,México,Profesional Independiente,28931,46.66,1350065.59
2026-07,México,Emprendedor,24744,62.73,1552204.45
2026-07,México,Premium,12901,69.62,898156.98
2026-07,México,Corporativo,3907,130.87,511282.91
2026-07,México,Siigo POS,9711,28.92,280810.3
2026-07,México,POS Gastrobar,4786,37.87,181229.43
2026-08,México,Siigo Contador,10925,0.0,0.0
2026-08,México,Profesional Independiente,29465,46.81,1379265.3
2026-08,México,Emprendedor,25083,62.8,1575244.41
2026-08,México,Premium,13096,69.88,915146.48
2026-08,México,Corporativo,3964,131.41,520873.23
2026-08,México,Siigo POS,9862,29.03,286332.77
2026-08,México,POS Gastrobar,4863,37.83,183987.06
2024-09,Ecuador,Siigo Contador,4559,0.0,0.0
2024-09,Ecuador,Profesional Independiente,7485,36.37,272231.8
2024-09,Ecuador,Emprendedor,8348,47.66,397874.5
2024-09,Ecuador,Premium,5175,51.78,267978.26
2024-09,Ecuador,Corporativo,1787,96.9,173132.32
2024-09,Ecuador,Siigo POS,2341,22.17,51904.4
2024-09,Ecuador,POS Gastrobar,1109,29.64,32873.81
2024-10,Ecuador,Siigo Contador,4610,0.0,0.0
2024-10,Ecuador,Profesional Independiente,7527,36.42,274164.22
2024-10,Ecuador,Emprendedor,8427,47.88,403474.69
2024-10,Ecuador,Premium,5225,51.92,271321.41
2024-10,Ecuador,Corporativo,1804,97.61,176059.22
2024-10,Ecuador,Siigo POS,2374,22.22,52742.34
2024-10,Ecuador,POS Gastrobar,1119,29.71,33255.81
2024-11,Ecuador,Siigo Contador,4638,0.0,0.0
2024-11,Ecuador,Profesional Independiente,7597,36.48,277106.68
2024-11,Ecuador,Emprendedor,8479,48.08,407666.85
2024-11,Ecuador,Premium,5273,52.02,274321.48
2024-11,Ecuador,Corporativo,1821,98.06,178537.76
2024-11,Ecuador,Siigo POS,2392,22.26,53240.64
2024-11,Ecuador,POS Gastrobar,1125,29.79,33528.53
2024-12,Ecuador,Siigo Contador,4661,0.0,0.0
2024-12,Ecuador,Profesional Independiente,7623,36.56,278670.77
2024-12,Ecuador,Emprendedor,8514,48.21,410405.61
2024-12,Ecuador,Premium,5307,52.35,277833.39
2024-12,Ecuador,Corporativo,1833,98.94,181308.26
2024-12,Ecuador,Siigo POS,2399,22.24,53356.71
2024-12,Ecuador,POS Gastrobar,1128,29.78,33585.22
2025-01,Ecuador,Siigo Contador,4722,0.0,0.0
2025-01,Ecuador,Profesional Independiente,7787,38.59,300505.8
2025-01,Ecuador,Emprendedor,8652,50.89,440327.74
2025-01,Ecuador,Premium,5386,55.53,299087.85
2025-01,Ecuador,Corporativo,1858,104.78,194666.7
2025-01,Ecuador,Siigo POS,2431,23.5,57121.77
2025-01,Ecuador,POS Gastrobar,1152,31.44,36218.32
2025-02,Ecuador,Siigo Contador,4772,0.0,0.0
2025-02,Ecuador,Profesional Independiente,7886,38.65,304765.71
2025-02,Ecuador,Emprendedor,8776,51.03,447848.36
2025-02,Ecuador,Premium,5445,55.85,304114.14
2025-02,Ecuador,Corporativo,1876,105.06,197131.36
2025-02,Ecuador,Siigo POS,2452,23.55,57745.63
2025-02,Ecuador,POS Gastrobar,1172,31.51,36930.61
2025-03,Ecuador,Siigo Contador,4832,0.0,0.0
2025-03,Ecuador,Profesional Independiente,7984,38.72,309125.62
2025-03,Ecuador,Emprendedor,8877,51.21,454616.84
2025-03,Ecuador,Premium,5499,56.24,309245.48
2025-03,Ecuador,Corporativo,1896,105.66,200282.93
2025-03,Ecuador,Siigo POS,2491,23.63,58868.49
2025-03,Ecuador,POS Gastrobar,1187,31.62,37519.89
2025-04,Ecuador,Siigo Contador,4875,0.0,0.0
2025-04,Ecuador,Profesional Independiente,8045,38.9,312950.11
2025-04,Ecuador,Emprendedor,8951,51.28,458964.39
2025-04,Ecuador,Premium,5544,56.3,312125.51
2025-04,Ecuador,Corporativo,1915,106.17,203353.63
2025-04,Ecuador,Siigo POS,2504,23.74,59449.63
2025-04,Ecuador,POS Gastrobar,1197,31.7,37948.02
2025-05,Ecuador,Siigo Contador,4916,0.0,0.0
2025-05,Ecuador,Profesional Independiente,8089,38.97,315256.12
2025-05,Ecuador,Emprendedor,9037,51.25,463166.59
2025-05,Ecuador,Premium,5591,56.51,315937.25
2025-05,Ecuador,Corporativo,1934,107.08,207049.8
2025-05,Ecuador,Siigo POS,2522,23.82,60074.98
2025-05,Ecuador,POS Gastrobar,1207,31.81,38398.17
2025-06,Ecuador,Siigo Contador,4957,0.0,0.0
2025-06,Ecuador,Profesional Independiente,8140,39.14,318603.38
2025-06,Ecuador,Emprendedor,9112,51.46,468927.48
2025-06,Ecuador,Premium,5646,56.78,320531.96
2025-06,Ecuador,Corporativo,1951,107.38,209509.17
2025-06,Ecuador,Siigo POS,2541,23.86,60608.95
2025-06,Ecuador,POS Gastrobar,1215,31.99,38881.88
2025-07,Ecuador,Siigo Contador,5009,0.0,0.0
2025-07,Ecuador,Profesional Independiente,8212,39.24,322261.25
2025-07,Ecuador,Emprendedor,9178,51.74,474845.09
2025-07,Ecuador,Premium,5687,57.04,324395.39
2025-07,Ecuador,Corporativo,1966,107.64,211603.47
2025-07,Ecuador,Siigo POS,2567,23.98,61543.89
2025-07,Ecuador,POS Gastrobar,1227,32.02,39290.86
2025-08,Ecuador,Siigo Contador,5063,0.0,0.0
2025-08,Ecuador,Profesional Independiente,8304,39.47,327786.04
2025-08,Ecuador,Emprendedor,9253,51.95,480730.95
2025-08,Ecuador,Premium,5736,57.3,328665.12
2025-08,Ecuador,Corporativo,1985,108.52,215359.29
2025-08,Ecuador,Siigo POS,2598,23.99,62315.4
2025-08,Ecuador,POS Gastrobar,1241,32.09,39843.41
2025-09,Ecuador,Siigo Contador,5108,0.0,0.0
2025-09,Ecuador,Profesional Independiente,8393,39.51,331607.57
2025-09,Ecuador,Emprendedor,9327,52.13,486158.37
2025-09,Ecuador,Premium,5800,57.51,333539.27
2025-09,Ecuador,Corporativo,2002,108.94,218127.21
2025-09,Ecuador,Siigo POS,2612,24.14,63050.29
2025-09,Ecuador,POS Gastrobar,1251,32.15,40204.57
2025-10,Ecuador,Siigo Contador,5157,0.0,0.0
2025-10,Ecuador,Profesional Independiente,8462,39.54,334599.7
2025-10,Ecuador,Emprendedor,9416,52.33,492768.77
2025-10,Ecuador,Premium,5873,57.93,340210.01
2025-10,Ecuador,Corporativo,2021,109.45,221249.17
2025-10,Ecuador,Siigo POS,2639,24.17,63802.34
2025-10,Ecuador,POS Gastrobar,1264,32.23,40733.7
2025-11,Ecuador,Siigo Contador,5204,0.0,0.0
2025-11,Ecuador,Profesional Independiente,8520,39.62,337571.68
2025-11,Ecuador,Emprendedor,9469,52.5,497144.84
2025-11,Ecuador,Premium,5924,58.2,344760.95
2025-11,Ecuador,Corporativo,2039,110.01,224355.64
2025-11,Ecuador,Siigo POS,2662,24.36,64851.72
2025-11,Ecuador,POS Gastrobar,1278,32.37,41367.25
2025-12,Ecuador,Siigo Contador,5238,0.0,0.0
2025-12,Ecuador,Profesional Independiente,8558,39.79,340522.43
2025-12,Ecuador,Emprendedor,9507,52.72,501236.42
2025-12,Ecuador,Premium,5962,58.39,348105.52
2025-12,Ecuador,Corporativo,2051,110.76,227207.09
2025-12,Ecuador,Siigo POS,2672,24.45,65338.91
2025-12,Ecuador,POS Gastrobar,1288,32.37,41685.99
2026-01,Ecuador,Siigo Contador,5330,0.0,0.0
2026-01,Ecuador,Profesional Independiente,8687,42.12,365867.67
2026-01,Ecuador,Emprendedor,9648,55.79,538251.86
2026-01,Ecuador,Premium,6058,61.76,374113.64
2026-01,Ecuador,Corporativo,2079,117.37,244039.76
2026-01,Ecuador,Siigo POS,2712,25.88,70186.68
2026-01,Ecuador,POS Gastrobar,1314,34.24,44994.26
2026-02,Ecuador,Siigo Contador,5391,0.0,0.0
2026-02,Ecuador,Profesional Independiente,8801,42.09,370390.63
2026-02,Ecuador,Emprendedor,9769,56.17,548742.21
2026-02,Ecuador,Premium,6120,61.92,378996.07
2026-02,Ecuador,Corporativo,2103,117.85,247833.75
2026-02,Ecuador,Siigo POS,2741,25.91,71020.2
2026-02,Ecuador,POS Gastrobar,1338,34.34,45944.87
2026-03,Ecuador,Siigo Contador,5449,0.0,0.0
2026-03,Ecuador,Profesional Independiente,8913,42.17,375832.79
2026-03,Ecuador,Emprendedor,9904,56.36,558157.43
2026-03,Ecuador,Premium,6179,62.13,383913.63
2026-03,Ecuador,Corporativo,2127,118.47,252011.29
2026-03,Ecuador,Siigo POS,2776,25.92,71942.92
2026-03,Ecuador,POS Gastrobar,1351,34.33,46371.47
2026-04,Ecuador,Siigo Contador,5503,0.0,0.0
2026-04,Ecuador,Profesional Independiente,9030,42.3,381971.25
2026-04,Ecuador,Emprendedor,10020,56.42,565284.59
2026-04,Ecuador,Premium,6230,62.57,389811.53
2026-04,Ecuador,Corporativo,2150,118.7,255145.51
2026-04,Ecuador,Siigo POS,2799,26.0,72768.08
2026-04,Ecuador,POS Gastrobar,1365,34.44,47025.4
2026-05,Ecuador,Siigo Contador,5555,0.0,0.0
2026-05,Ecuador,Profesional Independiente,9059,42.46,384597.06
2026-05,Ecuador,Emprendedor,10108,56.65,572616.89
2026-05,Ecuador,Premium,6287,63.0,396107.04
2026-05,Ecuador,Corporativo,2170,119.41,259111.59
2026-05,Ecuador,Siigo POS,2829,26.03,73654.83
2026-05,Ecuador,POS Gastrobar,1376,34.6,47629.18
2026-06,Ecuador,Siigo Contador,5614,0.0,0.0
2026-06,Ecuador,Profesional Independiente,9097,42.59,387505.93
2026-06,Ecuador,Emprendedor,10170,56.87,578338.29
2026-06,Ecuador,Premium,6337,63.06,399608.61
2026-06,Ecuador,Corporativo,2189,120.16,263013.17
2026-06,Ecuador,Siigo POS,2854,26.14,74620.16
2026-06,Ecuador,POS Gastrobar,1383,34.62,47877.96
