mes,pais,plan,mrr_inicial_usd,nuevo_usd,expansion_usd,reactivacion_usd,contraccion_usd,churn_usd,mrr_final_usd,clientes_inicial,clientes_nuevos,clientes_baja,clientes_final
2025-03,Colombia,Premium,832978.59,13109.64,6711.85,712.93,-1323.69,-9157.73,843031.59,16982,325,187,17120
2025-03,Colombia,Corporativo,529918.63,6368.58,4895.68,245.86,-62.68,-3149.82,538216.25,5705,82,34,5753
2025-03,Colombia,Siigo POS,190000.51,4666.63,1849.2,291.94,-591.44,-3749.52,192467.33,9162,275,181,9256
2025-03,Colombia,POS Gastrobar,122763.72,4294.45,1174.83,255.45,-234.06,-3277.38,124977.01,4432,189,118,4503
2025-04,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,18882,381,247,19015
2025-04,Colombia,Profesional Independiente,889541.31,22155.89,7916.78,1567.3,-3204.29,-20155.68,897821.31,26137,803,592,26348
2025-04,Colombia,Emprendedor,1338088.52,25769.73,12187.1,1760.09,-2541.08,-22592.02,1352672.34,29509,698,498,29709
2025-04,Colombia,Premium,843031.59,11768.46,8203.91,717.15,-957.43,-9192.51,853571.18,17120,291,187,17225
2025-04,Colombia,Corporativo,538216.25,4671.56,5597.17,224.8,-1202.36,-2882.79,544624.63,5753,60,31,5782
2025-04,Colombia,Siigo POS,192467.33,3951.81,2114.81,324.03,-366.0,-4151.37,194340.6,9256,236,200,9293
2025-04,Colombia,POS Gastrobar,124977.01,2911.04,1159.98,235.8,-355.67,-3029.03,125899.14,4503,130,109,4524
2025-05,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19015,360,243,19131
2025-05,Colombia,Profesional Independiente,897821.31,20651.88,8961.9,984.07,-2050.59,-20637.28,905731.3,26348,731,606,26473
2025-05,Colombia,Emprendedor,1352672.34,25351.09,12991.38,1024.11,-4476.6,-21506.93,1366055.39,29709,668,472,29905
2025-05,Colombia,Premium,853571.18,13389.74,7704.23,473.24,-1514.42,-9928.81,863695.17,17225,322,200,17347
2025-05,Colombia,Corporativo,544624.63,5661.37,5568.17,163.87,-1868.8,-3439.57,550709.67,5782,71,37,5817
2025-05,Colombia,Siigo POS,194340.6,4529.51,2157.89,184.72,-175.45,-3864.19,197173.09,9293,259,185,9367
2025-05,Colombia,POS Gastrobar,125899.14,3098.51,1418.05,141.45,-265.78,-2962.12,127329.26,4524,134,106,4552
2025-06,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19131,341,257,19216
2025-06,Colombia,Profesional Independiente,905731.3,22015.47,9255.24,1058.52,-2516.78,-22204.22,913339.52,26473,776,649,26600
2025-06,Colombia,Emprendedor,1366055.39,21003.64,14203.33,1028.91,-2353.12,-21556.67,1378381.48,29905,555,472,29987
2025-06,Colombia,Premium,863695.17,11709.38,9232.94,461.57,-2239.22,-9675.81,873184.01,17347,281,194,17434
2025-06,Colombia,Corporativo,550709.67,5083.04,5454.2,151.72,-1054.55,-3180.81,557163.26,5817,64,34,5847
2025-06,Colombia,Siigo POS,197173.09,3615.39,1792.57,185.21,-418.28,-3886.92,198461.07,9367,208,185,9390
2025-06,Colombia,POS Gastrobar,127329.26,2549.44,1005.42,141.1,-285.33,-2965.09,127774.8,4552,111,106,4557
2025-07,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19216,315,235,19296
2025-07,Colombia,Profesional Independiente,913339.52,23264.01,8697.33,1068.17,-1301.56,-22391.93,922675.53,26600,815,652,26764
2025-07,Colombia,Emprendedor,1378381.48,20307.32,12590.46,1133.34,-2740.52,-23780.61,1385891.47,29987,537,517,30007
2025-07,Colombia,Premium,873184.01,10347.91,8594.33,441.63,-1919.05,-9262.03,881386.8,17434,248,185,17497
2025-07,Colombia,Corporativo,557163.26,5506.66,5541.16,152.89,-553.83,-3202.28,564607.86,5847,68,34,5882
2025-07,Colombia,Siigo POS,198461.07,4623.54,1768.17,196.86,-287.99,-4129.41,200632.23,9390,263,195,9457
2025-07,Colombia,POS Gastrobar,127774.8,2986.06,1078.24,148.83,-202.63,-3123.82,128661.47,4557,129,111,4574
2025-08,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19296,350,227,19418
2025-08,Colombia,Profesional Independiente,922675.53,23048.11,8385.12,1019.31,-964.32,-21368.83,932794.93,26764,803,620,26947
2025-08,Colombia,Emprendedor,1385891.47,26912.41,16477.78,1009.77,-2339.86,-21123.74,1406827.84,30007,694,457,30244
2025-08,Colombia,Premium,881386.8,11163.0,7441.4,457.81,-393.21,-9598.05,890457.75,17497,266,191,17572
2025-08,Colombia,Corporativo,564607.86,5465.41,5698.75,154.89,-663.19,-3244.35,572019.37,5882,67,34,5915
2025-08,Colombia,Siigo POS,200632.23,4473.99,1742.5,208.6,-455.28,-4380.25,202221.8,9457,254,206,9505
2025-08,Colombia,POS Gastrobar,128661.47,3399.62,1093.19,157.53,-496.73,-3313.74,129501.36,4574,146,118,4602
2025-09,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19418,345,243,19521
2025-09,Colombia,Profesional Independiente,932794.93,24842.09,8161.04,936.98,-1464.8,-19659.72,945610.52,26947,858,568,27237
2025-09,Colombia,Emprendedor,1406827.84,25869.17,12570.07,973.14,-4351.83,-20445.55,1421442.83,30244,666,440,30470
2025-09,Colombia,Premium,890457.75,14981.91,8498.47,511.13,-2610.33,-10730.67,901108.27,17572,353,212,17713
2025-09,Colombia,Corporativo,572019.37,6265.32,4170.71,155.1,-1425.16,-3262.08,577923.27,5915,77,34,5958
2025-09,Colombia,Siigo POS,202221.8,4504.07,1754.57,190.75,-192.41,-4000.14,204478.63,9505,254,188,9571
2025-09,Colombia,POS Gastrobar,129501.36,3366.65,1441.37,151.89,-424.09,-3184.87,130852.31,4602,144,113,4633
2025-10,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19521,342,225,19637
2025-10,Colombia,Profesional Independiente,945610.52,23863.85,7426.46,1028.22,-2430.92,-21614.9,953883.22,27237,827,623,27442
2025-10,Colombia,Emprendedor,1421442.83,26035.1,15833.02,1102.76,-2959.24,-23095.23,1438359.24,30470,669,495,30644
2025-10,Colombia,Premium,901108.27,11027.03,9887.36,456.92,-292.91,-9554.33,912632.34,17713,259,188,17784
2025-10,Colombia,Corporativo,577923.27,5963.31,5833.61,168.26,-888.7,-3525.65,585474.1,5958,73,36,5995
2025-10,Colombia,Siigo POS,204478.63,4596.63,1670.91,208.85,-424.01,-4386.91,206144.1,9571,259,205,9625
2025-10,Colombia,POS Gastrobar,130852.31,3078.51,1034.75,132.85,-247.81,-2790.72,132059.9,4633,131,99,4665
2025-11,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19637,319,233,19724
2025-11,Colombia,Profesional Independiente,953883.22,23901.72,9637.53,1098.05,-1194.62,-23001.26,964324.65,27442,827,662,27607
2025-11,Colombia,Emprendedor,1438359.24,21619.82,12013.87,1012.7,-3309.05,-21272.45,1448424.14,30644,556,453,30747
2025-11,Colombia,Premium,912632.34,12944.48,7040.36,553.24,-1526.42,-11621.2,920022.8,17784,303,226,17861
2025-11,Colombia,Corporativo,585474.1,5640.68,5336.19,161.31,-2161.59,-3390.49,591060.18,5995,69,35,6029
2025-11,Colombia,Siigo POS,206144.1,4471.36,2137.77,193.74,-408.77,-4060.18,208478.03,9625,251,190,9686
2025-11,Colombia,POS Gastrobar,132059.9,3208.86,1241.76,158.33,-222.59,-3320.3,133125.96,4665,137,117,4685
2025-12,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19724,304,299,19729
2025-12,Colombia,Profesional Independiente,964324.65,19652.22,6820.05,1266.32,-1285.54,-26608.05,964169.65,27607,690,762,27536
2025-12,Colombia,Emprendedor,1448424.14,23071.62,11728.83,1318.93,-1376.31,-27674.83,1455492.37,30747,596,587,30755
2025-12,Colombia,Premium,920022.8,9782.06,9440.23,543.77,-1352.75,-11391.12,927044.99,17861,230,221,17871
2025-12,Colombia,Corporativo,591060.18,4352.48,4697.56,188.23,-1516.31,-3956.59,594825.55,6029,53,40,6042
2025-12,Colombia,Siigo POS,208478.03,3673.91,2072.2,244.38,-464.66,-5124.86,208879.0,9686,209,238,9658
2025-12,Colombia,POS Gastrobar,133125.96,2350.4,1004.56,183.18,-43.81,-3843.39,132776.91,4685,103,135,4652
2026-01,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19729,646,356,20018
2026-01,Colombia,Profesional Independiente,964169.65,35774.14,64933.72,2124.13,-1302.08,-25761.19,1039938.38,27536,1177,736,27977
2026-01,Colombia,Emprendedor,1455492.37,45187.72,95192.65,2190.39,-1354.46,-26602.8,1570105.87,30755,1091,562,31284
2026-01,Colombia,Premium,927044.99,22935.2,61437.33,1091.52,-1111.27,-13249.22,998148.54,17871,504,255,18120
2026-01,Colombia,Corporativo,594825.55,10782.48,37957.59,370.09,-1128.02,-4505.68,638302.02,6042,124,46,6120
2026-01,Colombia,Siigo POS,208879.0,8599.85,13659.28,441.78,-605.2,-5375.54,225599.18,9658,456,249,9865
2026-01,Colombia,POS Gastrobar,132776.91,5669.56,8820.54,348.92,-159.95,-4234.73,143221.25,4652,229,148,4733
2026-02,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,20018,496,277,20236
2026-02,Colombia,Profesional Independiente,1039938.38,34514.23,8121.07,1965.12,-1913.02,-25254.79,1057370.99,27977,1131,679,28429
2026-02,Colombia,Emprendedor,1570105.87,36373.85,15298.41,1883.86,-3021.21,-24166.1,1596474.68,31284,877,482,31680
2026-02,Colombia,Premium,998148.54,18237.35,9482.88,859.54,-1830.66,-11027.75,1013869.9,18120,399,200,18318
2026-02,Colombia,Corporativo,638302.02,7989.89,5867.88,271.25,-842.06,-3479.35,648109.63,6120,91,33,6178
2026-02,Colombia,Siigo POS,225599.18,5721.82,1509.35,387.4,-467.82,-4985.4,227764.53,9865,308,218,9955
2026-02,Colombia,POS Gastrobar,143221.25,4641.01,1286.22,275.76,-285.72,-3540.34,145598.18,4733,187,117,4803
2026-03,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,20236,455,267,20425
2026-03,Colombia,Profesional Independiente,1057370.99,32397.34,10000.96,2175.28,-1750.6,-27904.76,1072289.21,28429,1069,750,28747
2026-03,Colombia,Emprendedor,1596474.68,33391.56,13056.6,1697.6,-2214.34,-21798.92,1620607.18,31680,802,433,32049
2026-03,Colombia,Premium,1013869.9,18821.88,11987.36,905.99,-1126.15,-11588.68,1032870.3,18318,409,209,18518
2026-03,Colombia,Corporativo,648109.63,7733.76,8012.96,291.9,-1486.09,-3736.14,658926.01,6178,88,36,6230
2026-03,Colombia,Siigo POS,227764.53,5292.31,1834.86,366.51,-265.05,-4705.91,230287.24,9955,285,206,10034
2026-03,Colombia,POS Gastrobar,145598.18,4572.07,804.2,297.57,-424.01,-3837.03,147010.99,4803,186,127,4862
2026-04,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,20425,433,261,20596
2026-04,Colombia,Profesional Independiente,1072289.21,29145.98,8613.13,2095.89,-2059.54,-26931.64,1083153.03,28747,964,722,28989
2026-04,Colombia,Emprendedor,1620607.18,29600.01,10350.7,2004.15,-3246.02,-25797.06,1633518.97,32049,721,510,32260
2026-04,Colombia,Premium,1032870.3,14920.65,12129.96,904.0,-2689.42,-11581.31,1046554.17,18518,326,208,18636
2026-04,Colombia,Corporativo,658926.01,6654.76,5418.87,317.93,-1462.66,-4085.72,665769.19,6230,76,39,6267
2026-04,Colombia,Siigo POS,230287.24,4559.83,1594.74,330.92,-469.44,-4257.38,232045.91,10034,246,186,10095
2026-04,Colombia,POS Gastrobar,147010.99,3733.21,1292.07,280.21,-329.94,-3599.03,148387.5,4862,153,119,4896
2026-05,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,20596,385,264,20718
2026-05,Colombia,Profesional Independiente,1083153.03,24729.83,8589.37,1146.98,-3394.49,-24123.02,1090101.7,28989,800,646,29143
2026-05,Colombia,Emprendedor,1633518.97,29266.24,12224.03,1253.02,-2118.67,-26316.89,1647826.7,32260,695,520,32435
2026-05,Colombia,Premium,1046554.17,15876.96,8248.68,559.12,-3808.93,-11765.71,1055664.29,18636,338,210,18765
2026-05,Colombia,Corporativo,665769.19,6509.92,7020.91,181.25,-1451.03,-3798.57,674231.68,6267,73,36,6304
2026-05,Colombia,Siigo POS,232045.91,4627.92,1864.29,232.75,-640.97,-4892.84,233237.07,10095,244,213,10126
2026-05,Colombia,POS Gastrobar,148387.5,3932.32,1258.86,170.22,-466.65,-3578.06,149704.19,4896,156,118,4934
2026-06,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,20718,356,250,20823
2026-06,Colombia,Profesional Independiente,1090101.7,25127.0,8625.5,1284.63,-2513.24,-26996.36,1095629.23,29143,814,722,29236
2026-06,Colombia,Emprendedor,1647826.7,27602.47,15652.7,1165.95,-3484.73,-24459.17,1664303.92,32435,652,481,32606
2026-06,Colombia,Premium,1055664.29,14365.19,6144.07,557.8,-2100.1,-11742.74,1062888.49,18765,307,209,18863
2026-06,Colombia,Corporativo,674231.68,6612.87,5224.12,190.77,-1143.84,-4007.18,681108.42,6304,73,37,6340
2026-06,Colombia,Siigo POS,233237.07,4970.78,1863.44,242.45,-361.08,-5090.78,234861.88,10126,261,221,10165
2026-06,Colombia,POS Gastrobar,149704.19,3789.21,1444.82,182.67,-139.99,-3827.01,151153.88,4934,151,126,4959
2026-07,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,20823,340,263,20900
2026-07,Colombia,Profesional Independiente,1095629.23,25005.38,9950.67,1315.13,-753.53,-27560.94,1103585.94,29236,808,735,29308
2026-07,Colombia,Emprendedor,1664303.92,32370.83,13192.21,1294.22,-4051.08,-27200.99,1679909.11,32606,761,533,32834
2026-07,Colombia,Premium,1062888.49,16518.06,9431.23,605.0,-1608.62,-12691.9,1075142.26,18863,350,225,18988
2026-07,Colombia,Corporativo,681108.42,6041.88,5418.12,183.29,-1794.39,-3852.94,687104.39,6340,67,36,6371
2026-07,Colombia,Siigo POS,234861.88,5414.83,1921.37,230.22,-264.53,-4831.13,237332.63,10165,281,209,10238
2026-07,Colombia,POS Gastrobar,151153.88,3602.12,1023.32,176.66,-163.17,-3712.27,152080.54,4959,143,122,4980
2026-08,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,20900,476,303,21073
2026-08,Colombia,Profesional Independiente,1103585.94,24446.56,9793.11,1167.55,-2295.71,-24507.05,1112190.41,29308,784,651,29441
2026-08,Colombia,Emprendedor,1679909.11,32737.12,15807.55,1324.91,-709.15,-27749.58,1701319.96,32834,766,542,33057
2026-08,Colombia,Premium,1075142.26,14000.93,9673.94,565.47,-1123.54,-11855.55,1086403.51,18988,296,209,19075
2026-08,Colombia,Corporativo,687104.39,6630.61,5970.13,190.25,-2167.45,-3998.33,693729.59,6371,73,37,6407
2026-08,Colombia,Siigo POS,237332.63,5200.12,2713.32,224.11,-320.81,-4688.87,240460.5,10238,269,202,10304
2026-08,Colombia,POS Gastrobar,152080.54,4088.83,1536.97,170.98,-450.06,-3587.62,153839.64,4980,161,117,5023
2024-09,México,Siigo Contador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7605,0,0,7605
2024-09,México,Profesional Independiente,834582.74,0.0,0.0,0.0,0.0,0.0,834582.74,20438,0,0,20438
2024-09,México,Emprendedor,937490.42,0.0,0.0,0.0,0.0,0.0,937490.42,17518,0,0,17518
2024-09,México,Premium,529011.85,0.0,0.0,0.0,0.0,0.0,529011.85,9099,0,0,9099
2024-09,México,Corporativo,302903.53,0.0,0.0,0.0,0.0,0.0,302903.53,2784,0,0,2784
2024-09,México,Siigo POS,175790.02,0.0,0.0,0.0,0.0,0.0,175790.02,7062,0,0,7062
2024-09,México,POS Gastrobar,113002.44,0.0,0.0,0.0,0.0,0.0,113002.44,3395,0,0,3395
2024-10,México,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7605,210,96,7719
2024-10,México,Profesional Independiente,834582.74,25749.11,6526.85,883.82,-2877.13,-18596.22,846269.16,20438,754,455,20736
2024-10,México,Emprendedor,937490.42,26133.15,8547.78,746.85,-832.51,-15654.08,956431.61,17518,578,293,17804
2024-10,México,Premium,529011.85,12990.11,5299.9,325.85,-526.46,-6824.56,540276.68,9099,264,117,9245
2024-10,México,Corporativo,302903.53,5898.21,2690.21,86.15,-824.54,-1809.5,308944.06,2784,64,17,2831
2024-10,México,Siigo POS,175790.02,5294.86,1846.05,176.37,-136.71,-3691.3,179279.3,7062,253,148,7166
2024-10,México,POS Gastrobar,113002.44,3865.31,819.9,138.04,-196.56,-2901.17,114727.96,3395,139,87,3447
2024-11,México,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7719,229,109,7839
2024-11,México,Profesional Independiente,846269.16,24803.95,7764.75,1051.64,-1209.44,-22053.28,856626.78,20736,729,540,20925
2024-11,México,Emprendedor,956431.61,25764.56,8783.86,810.95,-2569.91,-17026.87,972194.19,17804,571,317,18058
2024-11,México,Premium,540276.68,12028.51,5848.27,291.62,-2196.73,-6121.45,550126.9,9245,243,105,9383
2024-11,México,Corporativo,308944.06,5237.8,2690.31,89.15,-810.93,-1872.5,314277.9,2831,56,17,2870
2024-11,México,Siigo POS,179279.3,4920.36,1120.66,173.6,-145.88,-3648.81,181699.23,7166,235,146,7255
2024-11,México,POS Gastrobar,114727.96,3520.72,1178.43,129.32,-217.02,-2710.21,116629.2,3447,126,81,3491
2024-12,México,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7839,189,113,7915
2024-12,México,Profesional Independiente,856626.78,23856.31,7622.33,1094.86,-1991.13,-22986.25,864222.9,20925,702,561,21066
2024-12,México,Emprendedor,972194.19,23933.4,6402.94,819.78,-1921.65,-17244.74,984183.92,18058,531,320,18269
2024-12,México,Premium,550126.9,10866.04,5381.01,287.58,-1156.67,-6031.06,559473.79,9383,219,103,9500
2024-12,México,Corporativo,314277.9,5425.94,2881.43,110.16,-605.79,-2311.18,319778.45,2870,58,21,2907
2024-12,México,Siigo POS,181699.23,4991.61,2059.59,194.84,-424.77,-4080.71,184439.78,7255,238,163,7330
2024-12,México,POS Gastrobar,116629.2,3374.18,1022.38,148.26,-409.66,-3116.69,117647.68,3491,122,93,3520
2025-01,México,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7915,302,135,8082
2025-01,México,Profesional Independiente,864222.9,45446.3,58260.32,2385.55,-1947.81,-28954.35,939412.92,21066,1269,706,21630
2025-01,México,Emprendedor,984183.92,41415.55,61789.18,1782.18,-1688.99,-21714.49,1065767.37,18269,877,403,18742
2025-01,México,Premium,559473.79,17843.74,34863.72,704.97,-1333.6,-8598.65,602953.96,9500,345,146,9698
2025-01,México,Corporativo,319778.45,8169.47,21342.39,214.17,-563.4,-2599.86,346341.23,2907,83,24,2967
2025-01,México,Siigo POS,184439.78,7700.6,12247.25,395.04,-515.24,-4801.78,199465.65,7330,351,191,7490
2025-01,México,POS Gastrobar,117647.68,5274.67,7493.66,289.0,-241.26,-3519.27,126944.47,3520,182,105,3596
2025-02,México,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8082,276,113,8245
2025-02,México,Profesional Independiente,939412.92,29857.48,5758.27,1654.31,-2270.06,-21308.2,953104.72,21630,838,491,21977
2025-02,México,Emprendedor,1065767.37,33270.55,9067.72,1286.15,-2732.64,-16529.45,1090129.69,18742,701,291,19153
2025-02,México,Premium,602953.96,14650.55,5500.35,514.58,-726.03,-6600.39,616293.02,9698,281,106,9873
2025-02,México,Corporativo,346341.23,7049.82,2828.85,156.71,-649.43,-2013.26,353713.93,2967,71,17,3021
2025-02,México,Siigo POS,199465.65,6441.11,2161.54,319.72,-649.04,-4102.34,203636.64,7490,292,154,7629
2025-02,México,POS Gastrobar,126944.47,4661.61,1004.03,231.8,-245.98,-2979.0,129616.93,3596,160,84,3672
2025-03,México,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8245,248,114,8379
2025-03,México,Profesional Independiente,953104.72,35321.4,9807.25,1636.33,-2238.14,-20988.21,976643.36,21977,981,484,22474
2025-03,México,Emprendedor,1090129.69,28705.85,11242.92,1253.19,-2687.07,-16075.33,1112569.25,19153,606,282,19476
2025-03,México,Premium,616293.02,14351.31,6050.09,500.99,-763.51,-6421.87,630010.05,9873,274,103,10044
2025-03,México,Corporativo,353713.93,6581.43,2315.93,165.99,-530.86,-2135.16,360111.26,3021,67,18,3069
2025-03,México,Siigo POS,203636.64,6493.06,1719.21,308.87,-0.0,-3959.39,208198.38,7629,293,148,7773
2025-03,México,POS Gastrobar,129616.93,4877.04,833.3,238.76,-323.44,-3074.62,132167.97,3672,167,87,3752
2025-04,México,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8379,231,110,8500
2025-04,México,Profesional Independiente,976643.36,28969.26,9638.54,1669.61,-834.69,-21392.26,994693.83,22474,810,492,22792
2025-04,México,Emprendedor,1112569.25,27954.24,9881.1,1504.1,-3068.39,-19327.0,1129513.29,19476,594,338,19732
2025-04,México,Premium,630010.05,13693.4,6536.99,537.1,-1820.41,-6892.14,642064.97,10044,261,110,10195
2025-04,México,Corporativo,360111.26,6172.87,3095.05,165.65,-229.46,-2124.65,367190.71,3069,62,18,3113
2025-04,México,Siigo POS,208198.38,7008.68,950.72,348.34,-280.55,-4488.92,211736.65,7773,318,168,7923
2025-04,México,POS Gastrobar,132167.97,4637.46,1298.61,251.93,-0.0,-3224.38,135131.6,3752,159,92,3820
2025-05,México,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8500,224,120,8604
