mes,pais,funcionalidad,es_ia,clientes_base,clientes_usando,adopcion_pct
2024-10,México,Cobranza por WhatsApp,False,68948,134,0.19
2024-10,México,Siigo Pay,False,68948,141,0.21
2024-10,México,Centros de costo,False,68948,1691,2.45
2024-10,México,API pública,False,68948,139,0.2
2024-10,México,Conciliación bancaria IA,True,68948,134,0.2
2024-10,México,Captura de facturas por IA,True,68948,135,0.2
2024-10,México,Agente IA fiscal,True,68948,136,0.2
2024-10,Ecuador,Facturación electrónica,False,31086,23184,74.58
2024-10,Ecuador,Informes financieros,False,31086,14039,45.16
2024-10,Ecuador,Inventarios,False,31086,9827,31.62
2024-10,Ecuador,Nómina electrónica,False,31086,112,0.36
2024-10,Ecuador,App móvil,False,31086,64,0.21
2024-10,Ecuador,Cobranza por WhatsApp,False,31086,59,0.19
2024-10,Ecuador,Siigo Pay,False,31086,59,0.19
2024-10,Ecuador,Centros de costo,False,31086,911,2.93
2024-10,Ecuador,API pública,False,31086,61,0.2
2024-10,Ecuador,Conciliación bancaria IA,True,31086,64,0.21
2024-10,Ecuador,Captura de facturas por IA,True,31086,63,0.2
2024-10,Ecuador,Agente IA fiscal,True,31086,60,0.19
2024-10,Perú,Facturación electrónica,False,19158,14388,75.11
2024-10,Perú,Informes financieros,False,19158,8577,44.77
2024-10,Perú,Inventarios,False,19158,5715,29.83
2024-10,Perú,Nómina electrónica,False,19158,66,0.34
2024-10,Perú,App móvil,False,19158,39,0.2
2024-10,Perú,Cobranza por WhatsApp,False,19158,40,0.21
2024-10,Perú,Siigo Pay,False,19158,37,0.2
2024-10,Perú,Centros de costo,False,19158,511,2.67
2024-10,Perú,API pública,False,19158,39,0.21
2024-10,Perú,Conciliación bancaria IA,True,19158,38,0.2
2024-10,Perú,Captura de facturas por IA,True,19158,38,0.2
2024-10,Perú,Agente IA fiscal,True,19158,38,0.2
2024-10,Uruguay,Facturación electrónica,False,13334,11448,85.86
2024-10,Uruguay,Informes financieros,False,13334,6728,50.46
2024-10,Uruguay,Inventarios,False,13334,4444,33.33
2024-10,Uruguay,Nómina electrónica,False,13334,51,0.39
2024-10,Uruguay,App móvil,False,13334,26,0.2
2024-10,Uruguay,Cobranza por WhatsApp,False,13334,27,0.21
2024-10,Uruguay,Siigo Pay,False,13334,25,0.19
2024-10,Uruguay,Centros de costo,False,13334,389,2.92
2024-10,Uruguay,API pública,False,13334,27,0.21
2024-10,Uruguay,Conciliación bancaria IA,True,13334,26,0.2
2024-10,Uruguay,Captura de facturas por IA,True,13334,27,0.21
2024-10,Uruguay,Agente IA fiscal,True,13334,27,0.21
2024-10,Chile,Facturación electrónica,False,4500,3227,71.71
2024-10,Chile,Informes financieros,False,4500,1813,40.31
2024-10,Chile,Inventarios,False,4500,1237,27.49
2024-10,Chile,Nómina electrónica,False,4500,14,0.33
2024-10,Chile,App móvil,False,4500,8,0.2
2024-10,Chile,Cobranza por WhatsApp,False,4500,9,0.2
2024-10,Chile,Siigo Pay,False,4500,9,0.2
2024-10,Chile,Centros de costo,False,4500,113,2.53
2024-10,Chile,API pública,False,4500,9,0.2
2024-10,Chile,Conciliación bancaria IA,True,4500,9,0.21
2024-10,Chile,Captura de facturas por IA,True,4500,8,0.19
2024-10,Chile,Agente IA fiscal,True,4500,8,0.2
2024-11,Colombia,Facturación electrónica,False,107243,97849,91.24
2024-11,Colombia,Informes financieros,False,107243,50405,47.0
2024-11,Colombia,Inventarios,False,107243,37355,34.83
2024-11,Colombia,Nómina electrónica,False,107243,1940,1.81
2024-11,Colombia,App móvil,False,107243,207,0.19
2024-11,Colombia,Cobranza por WhatsApp,False,107243,207,0.19
2024-11,Colombia,Siigo Pay,False,107243,220,0.21
2024-11,Colombia,Centros de costo,False,107243,4056,3.78
2024-11,Colombia,API pública,False,107243,208,0.19
2024-11,Colombia,Conciliación bancaria IA,True,107243,218,0.2
2024-11,Colombia,Captura de facturas por IA,True,107243,220,0.21
2024-11,Colombia,Agente IA fiscal,True,107243,218,0.2
2024-11,México,Facturación electrónica,False,69821,50128,71.8
2024-11,México,Informes financieros,False,69821,28212,40.41
2024-11,México,Inventarios,False,69821,18438,26.41
2024-11,México,Nómina electrónica,False,69821,907,1.3
2024-11,México,App móvil,False,69821,137,0.2
2024-11,México,Cobranza por WhatsApp,False,69821,138,0.2
2024-11,México,Siigo Pay,False,69821,139,0.2
2024-11,México,Centros de costo,False,69821,1899,2.72
2024-11,México,API pública,False,69821,146,0.21
2024-11,México,Conciliación bancaria IA,True,69821,131,0.19
2024-11,México,Captura de facturas por IA,True,69821,146,0.21
2024-11,México,Agente IA fiscal,True,69821,140,0.2
2024-11,Ecuador,Facturación electrónica,False,31325,25340,80.89
2024-11,Ecuador,Informes financieros,False,31325,14914,47.61
2024-11,Ecuador,Inventarios,False,31325,10261,32.76
2024-11,Ecuador,Nómina electrónica,False,31325,532,1.7
2024-11,Ecuador,App móvil,False,31325,61,0.2
2024-11,Ecuador,Cobranza por WhatsApp,False,31325,62,0.2
2024-11,Ecuador,Siigo Pay,False,31325,60,0.19
2024-11,Ecuador,Centros de costo,False,31325,1060,3.39
2024-11,Ecuador,API pública,False,31325,62,0.2
2024-11,Ecuador,Conciliación bancaria IA,True,31325,61,0.2
2024-11,Ecuador,Captura de facturas por IA,True,31325,62,0.2
2024-11,Ecuador,Agente IA fiscal,True,31325,60,0.19
2024-11,Perú,Facturación electrónica,False,19360,14851,76.71
2024-11,Perú,Informes financieros,False,19360,8721,45.05
2024-11,Perú,Inventarios,False,19360,6189,31.97
2024-11,Perú,Nómina electrónica,False,19360,303,1.57
2024-11,Perú,App móvil,False,19360,35,0.18
2024-11,Perú,Cobranza por WhatsApp,False,19360,38,0.2
2024-11,Perú,Siigo Pay,False,19360,39,0.2
2024-11,Perú,Centros de costo,False,19360,619,3.2
2024-11,Perú,API pública,False,19360,39,0.21
2024-11,Perú,Conciliación bancaria IA,True,19360,40,0.21
2024-11,Perú,Captura de facturas por IA,True,19360,40,0.21
2024-11,Perú,Agente IA fiscal,True,19360,38,0.2
2024-11,Uruguay,Facturación electrónica,False,13384,11078,82.77
2024-11,Uruguay,Informes financieros,False,13384,6655,49.73
2024-11,Uruguay,Inventarios,False,13384,4617,34.5
2024-11,Uruguay,Nómina electrónica,False,13384,233,1.74
2024-11,Uruguay,App móvil,False,13384,27,0.2
2024-11,Uruguay,Cobranza por WhatsApp,False,13384,27,0.21
2024-11,Uruguay,Siigo Pay,False,13384,25,0.19
2024-11,Uruguay,Centros de costo,False,13384,481,3.6
2024-11,Uruguay,API pública,False,13384,26,0.2
2024-11,Uruguay,Conciliación bancaria IA,True,13384,26,0.2
2024-11,Uruguay,Captura de facturas por IA,True,13384,26,0.2
2024-11,Uruguay,Agente IA fiscal,True,13384,26,0.2
2024-11,Chile,Facturación electrónica,False,4612,3303,71.62
2024-11,Chile,Informes financieros,False,4612,1847,40.06
2024-11,Chile,Inventarios,False,4612,1325,28.74
2024-11,Chile,Nómina electrónica,False,4612,71,1.55
2024-11,Chile,App móvil,False,4612,9,0.21
2024-11,Chile,Cobranza por WhatsApp,False,4612,9,0.21
2024-11,Chile,Siigo Pay,False,4612,9,0.21
2024-11,Chile,Centros de costo,False,4612,139,3.02
2024-11,Chile,API pública,False,4612,9,0.2
2024-11,Chile,Conciliación bancaria IA,True,4612,8,0.19
2024-11,Chile,Captura de facturas por IA,True,4612,9,0.21
2024-11,Chile,Agente IA fiscal,True,4612,9,0.21
2024-12,Colombia,Facturación electrónica,False,107220,93088,86.82
2024-12,Colombia,Informes financieros,False,107220,54680,51.0
2024-12,Colombia,Inventarios,False,107220,39400,36.75
2024-12,Colombia,Nómina electrónica,False,107220,3273,3.05
2024-12,Colombia,App móvil,False,107220,1743,1.63
2024-12,Colombia,Cobranza por WhatsApp,False,107220,219,0.21
2024-12,Colombia,Siigo Pay,False,107220,215,0.2
2024-12,Colombia,Centros de costo,False,107220,4727,4.41
2024-12,Colombia,API pública,False,107220,206,0.19
2024-12,Colombia,Conciliación bancaria IA,True,107220,224,0.21
2024-12,Colombia,Captura de facturas por IA,True,107220,212,0.2
2024-12,Colombia,Agente IA fiscal,True,107220,223,0.21
2024-12,México,Facturación electrónica,False,70507,47715,67.67
2024-12,México,Informes financieros,False,70507,28724,40.74
2024-12,México,Inventarios,False,70507,20947,29.71
2024-12,México,Nómina electrónica,False,70507,1803,2.56
2024-12,México,App móvil,False,70507,905,1.28
2024-12,México,Cobranza por WhatsApp,False,70507,145,0.21
2024-12,México,Siigo Pay,False,70507,141,0.2
2024-12,México,Centros de costo,False,70507,2332,3.31
2024-12,México,API pública,False,70507,140,0.2
2024-12,México,Conciliación bancaria IA,True,70507,144,0.2
2024-12,México,Captura de facturas por IA,True,70507,135,0.19
2024-12,México,Agente IA fiscal,True,70507,143,0.2
2024-12,Ecuador,Facturación electrónica,False,31465,25572,81.27
2024-12,Ecuador,Informes financieros,False,31465,15171,48.22
2024-12,Ecuador,Inventarios,False,31465,10437,33.17
2024-12,Ecuador,Nómina electrónica,False,31465,959,3.05
2024-12,Ecuador,App móvil,False,31465,448,1.43
2024-12,Ecuador,Cobranza por WhatsApp,False,31465,63,0.2
2024-12,Ecuador,Siigo Pay,False,31465,64,0.2
2024-12,Ecuador,Centros de costo,False,31465,1238,3.94
2024-12,Ecuador,API pública,False,31465,62,0.2
2024-12,Ecuador,Conciliación bancaria IA,True,31465,61,0.19
2024-12,Ecuador,Captura de facturas por IA,True,31465,61,0.2
2024-12,Ecuador,Agente IA fiscal,True,31465,65,0.21
2024-12,Perú,Facturación electrónica,False,19489,15030,77.12
2024-12,Perú,Informes financieros,False,19489,8750,44.9
2024-12,Perú,Inventarios,False,19489,6223,31.93
2024-12,Perú,Nómina electrónica,False,19489,549,2.82
2024-12,Perú,App móvil,False,19489,274,1.41
2024-12,Perú,Cobranza por WhatsApp,False,19489,38,0.2
2024-12,Perú,Siigo Pay,False,19489,39,0.2
2024-12,Perú,Centros de costo,False,19489,713,3.66
2024-12,Perú,API pública,False,19489,40,0.21
2024-12,Perú,Conciliación bancaria IA,True,19489,36,0.19
2024-12,Perú,Captura de facturas por IA,True,19489,39,0.2
2024-12,Perú,Agente IA fiscal,True,19489,38,0.2
2024-12,Uruguay,Facturación electrónica,False,13400,11653,86.97
2024-12,Uruguay,Informes financieros,False,13400,6870,51.28
2024-12,Uruguay,Inventarios,False,13400,4930,36.79
2024-12,Uruguay,Nómina electrónica,False,13400,437,3.27
2024-12,Uruguay,App móvil,False,13400,213,1.59
2024-12,Uruguay,Cobranza por WhatsApp,False,13400,26,0.2
2024-12,Uruguay,Siigo Pay,False,13400,26,0.2
2024-12,Uruguay,Centros de costo,False,13400,534,3.99
2024-12,Uruguay,API pública,False,13400,27,0.21
2024-12,Uruguay,Conciliación bancaria IA,True,13400,26,0.2
2024-12,Uruguay,Captura de facturas por IA,True,13400,26,0.2
2024-12,Uruguay,Agente IA fiscal,True,13400,25,0.19
2024-12,Chile,Facturación electrónica,False,4707,3461,73.54
2024-12,Chile,Informes financieros,False,4707,1998,42.46
2024-12,Chile,Inventarios,False,4707,1459,31.0
2024-12,Chile,Nómina electrónica,False,4707,122,2.61
2024-12,Chile,App móvil,False,4707,62,1.32
2024-12,Chile,Cobranza por WhatsApp,False,4707,9,0.2
2024-12,Chile,Siigo Pay,False,4707,9,0.2
2024-12,Chile,Centros de costo,False,4707,162,3.45
2024-12,Chile,API pública,False,4707,9,0.2
2024-12,Chile,Conciliación bancaria IA,True,4707,9,0.2
2024-12,Chile,Captura de facturas por IA,True,4707,9,0.19
2024-12,Chile,Agente IA fiscal,True,4707,8,0.19
2025-01,Colombia,Facturación electrónica,False,108877,94763,87.04
2025-01,Colombia,Informes financieros,False,108877,60226,55.32
2025-01,Colombia,Inventarios,False,108877,41079,37.73
2025-01,Colombia,Nómina electrónica,False,108877,5103,4.69
2025-01,Colombia,App móvil,False,108877,4122,3.79
2025-01,Colombia,Cobranza por WhatsApp,False,108877,220,0.2
2025-01,Colombia,Siigo Pay,False,108877,233,0.21
2025-01,Colombia,Centros de costo,False,108877,5380,4.94
2025-01,Colombia,API pública,False,108877,217,0.2
2025-01,Colombia,Conciliación bancaria IA,True,108877,223,0.2
2025-01,Colombia,Captura de facturas por IA,True,108877,215,0.2
2025-01,Colombia,Agente IA fiscal,True,108877,217,0.2
2025-01,México,Facturación electrónica,False,72205,48257,66.83
2025-01,México,Informes financieros,False,72205,30962,42.88
2025-01,México,Inventarios,False,72205,21411,29.65
2025-01,México,Nómina electrónica,False,72205,2512,3.48
2025-01,México,App móvil,False,72205,2071,2.87
2025-01,México,Cobranza por WhatsApp,False,72205,141,0.2
2025-01,México,Siigo Pay,False,72205,148,0.21
2025-01,México,Centros de costo,False,72205,2838,3.93
2025-01,México,API pública,False,72205,149,0.21
2025-01,México,Conciliación bancaria IA,True,72205,140,0.19
2025-01,México,Captura de facturas por IA,True,72205,147,0.2
2025-01,México,Agente IA fiscal,True,72205,150,0.21
2025-01,Ecuador,Facturación electrónica,False,31988,26436,82.64
2025-01,Ecuador,Informes financieros,False,31988,15288,47.8
2025-01,Ecuador,Inventarios,False,31988,11082,34.64
2025-01,Ecuador,Nómina electrónica,False,31988,1406,4.4
2025-01,Ecuador,App móvil,False,31988,1074,3.36
2025-01,Ecuador,Cobranza por WhatsApp,False,31988,61,0.19
2025-01,Ecuador,Siigo Pay,False,31988,65,0.2
2025-01,Ecuador,Centros de costo,False,31988,1416,4.43
2025-01,Ecuador,API pública,False,31988,61,0.19
2025-01,Ecuador,Conciliación bancaria IA,True,31988,64,0.2
2025-01,Ecuador,Captura de facturas por IA,True,31988,62,0.2
2025-01,Ecuador,Agente IA fiscal,True,31988,63,0.2
2025-01,Perú,Facturación electrónica,False,19859,15951,80.32
2025-01,Perú,Informes financieros,False,19859,9539,48.04
2025-01,Perú,Inventarios,False,19859,6655,33.51
2025-01,Perú,Nómina electrónica,False,19859,771,3.88
2025-01,Perú,App móvil,False,19859,661,3.33
2025-01,Perú,Cobranza por WhatsApp,False,19859,41,0.21
2025-01,Perú,Siigo Pay,False,19859,39,0.2
2025-01,Perú,Centros de costo,False,19859,840,4.23
2025-01,Perú,API pública,False,19859,39,0.2
2025-01,Perú,Conciliación bancaria IA,True,19859,40,0.2
2025-01,Perú,Captura de facturas por IA,True,19859,40,0.2
2025-01,Perú,Agente IA fiscal,True,19859,38,0.2
2025-01,Uruguay,Facturación electrónica,False,13528,10901,80.59
2025-01,Uruguay,Informes financieros,False,13528,6692,49.47
2025-01,Uruguay,Inventarios,False,13528,5123,37.87
2025-01,Uruguay,Nómina electrónica,False,13528,628,4.65
2025-01,Uruguay,App móvil,False,13528,475,3.51
2025-01,Uruguay,Cobranza por WhatsApp,False,13528,27,0.2
2025-01,Uruguay,Siigo Pay,False,13528,27,0.21
2025-01,Uruguay,Centros de costo,False,13528,630,4.66
2025-01,Uruguay,API pública,False,13528,26,0.2
2025-01,Uruguay,Conciliación bancaria IA,True,13528,28,0.21
2025-01,Uruguay,Captura de facturas por IA,True,13528,27,0.2
2025-01,Uruguay,Agente IA fiscal,True,13528,25,0.19
2025-01,Chile,Facturación electrónica,False,4889,3541,72.44
2025-01,Chile,Informes financieros,False,4889,2190,44.81
2025-01,Chile,Inventarios,False,4889,1470,30.07
2025-01,Chile,Nómina electrónica,False,4889,185,3.8
2025-01,Chile,App móvil,False,4889,155,3.18
2025-01,Chile,Cobranza por WhatsApp,False,4889,9,0.2
2025-01,Chile,Siigo Pay,False,4889,9,0.2
2025-01,Chile,Centros de costo,False,4889,195,4.0
2025-01,Chile,API pública,False,4889,9,0.2
2025-01,Chile,Conciliación bancaria IA,True,4889,9,0.2
2025-01,Chile,Captura de facturas por IA,True,4889,9,0.19
2025-01,Chile,Agente IA fiscal,True,4889,9,0.19
2025-02,Colombia,Facturación electrónica,False,110097,101576,92.26
2025-02,Colombia,Informes financieros,False,110097,61879,56.2
2025-02,Colombia,Inventarios,False,110097,40382,36.68
2025-02,Colombia,Nómina electrónica,False,110097,6587,5.98
2025-02,Colombia,App móvil,False,110097,6651,6.04
2025-02,Colombia,Cobranza por WhatsApp,False,110097,221,0.2
2025-02,Colombia,Siigo Pay,False,110097,224,0.2
2025-02,Colombia,Centros de costo,False,110097,5869,5.33
2025-02,Colombia,API pública,False,110097,214,0.19
2025-02,Colombia,Conciliación bancaria IA,True,110097,232,0.21
2025-02,Colombia,Captura de facturas por IA,True,110097,214,0.2
2025-02,Colombia,Agente IA fiscal,True,110097,233,0.21
2025-02,México,Facturación electrónica,False,73570,51518,70.03
2025-02,México,Informes financieros,False,73570,31029,42.18
2025-02,México,Inventarios,False,73570,23750,32.28
2025-02,México,Nómina electrónica,False,73570,3548,4.82
2025-02,México,App móvil,False,73570,3232,4.39
2025-02,México,Cobranza por WhatsApp,False,73570,154,0.21
2025-02,México,Siigo Pay,False,73570,140,0.19
2025-02,México,Centros de costo,False,73570,3050,4.15
2025-02,México,API pública,False,73570,143,0.2
2025-02,México,Conciliación bancaria IA,True,73570,135,0.18
2025-02,México,Captura de facturas por IA,True,73570,144,0.2
2025-02,México,Agente IA fiscal,True,73570,149,0.2
2025-02,Ecuador,Facturación electrónica,False,32379,27855,86.03
2025-02,Ecuador,Informes financieros,False,32379,16305,50.36
2025-02,Ecuador,Inventarios,False,32379,10935,33.77
2025-02,Ecuador,Nómina electrónica,False,32379,1792,5.54
2025-02,Ecuador,App móvil,False,32379,1736,5.36
2025-02,Ecuador,Cobranza por WhatsApp,False,32379,63,0.2
2025-02,Ecuador,Siigo Pay,False,32379,65,0.2
2025-02,Ecuador,Centros de costo,False,32379,1584,4.89
2025-02,Ecuador,API pública,False,32379,65,0.2
2025-02,Ecuador,Conciliación bancaria IA,True,32379,60,0.19
2025-02,Ecuador,Captura de facturas por IA,True,32379,65,0.2
2025-02,Ecuador,Agente IA fiscal,True,32379,60,0.19
2025-02,Perú,Facturación electrónica,False,20186,16009,79.31
2025-02,Perú,Informes financieros,False,20186,9693,48.02
2025-02,Perú,Inventarios,False,20186,6700,33.2
2025-02,Perú,Nómina electrónica,False,20186,1052,5.21
2025-02,Perú,App móvil,False,20186,1075,5.33
2025-02,Perú,Cobranza por WhatsApp,False,20186,41,0.21
2025-02,Perú,Siigo Pay,False,20186,37,0.19
2025-02,Perú,Centros de costo,False,20186,1006,4.98
2025-02,Perú,API pública,False,20186,40,0.2
2025-02,Perú,Conciliación bancaria IA,True,20186,39,0.2
2025-02,Perú,Captura de facturas por IA,True,20186,41,0.2
2025-02,Perú,Agente IA fiscal,True,20186,41,0.21
2025-02,Uruguay,Facturación electrónica,False,13648,11491,84.2
2025-02,Uruguay,Informes financieros,False,13648,7476,54.78
2025-02,Uruguay,Inventarios,False,13648,5165,37.85
2025-02,Uruguay,Nómina electrónica,False,13648,743,5.45
2025-02,Uruguay,App móvil,False,13648,757,5.55
2025-02,Uruguay,Cobranza por WhatsApp,False,13648,27,0.2
2025-02,Uruguay,Siigo Pay,False,13648,26,0.2
2025-02,Uruguay,Centros de costo,False,13648,727,5.33
2025-02,Uruguay,API pública,False,13648,28,0.21
2025-02,Uruguay,Conciliación bancaria IA,True,13648,28,0.21
2025-02,Uruguay,Captura de facturas por IA,True,13648,26,0.2
2025-02,Uruguay,Agente IA fiscal,True,13648,27,0.2
2025-02,Chile,Facturación electrónica,False,5048,3729,73.88
2025-02,Chile,Informes financieros,False,5048,2240,44.38
2025-02,Chile,Inventarios,False,5048,1643,32.56
2025-02,Chile,Nómina electrónica,False,5048,241,4.79
2025-02,Chile,App móvil,False,5048,257,5.1
2025-02,Chile,Cobranza por WhatsApp,False,5048,9,0.19
2025-02,Chile,Siigo Pay,False,5048,10,0.21
2025-02,Chile,Centros de costo,False,5048,236,4.69
2025-02,Chile,API pública,False,5048,10,0.2
2025-02,Chile,Conciliación bancaria IA,True,5048,10,0.2
2025-02,Chile,Captura de facturas por IA,True,5048,9,0.19
2025-02,Chile,Agente IA fiscal,True,5048,10,0.2
2025-03,Colombia,Facturación electrónica,False,111160,99792,89.77
2025-03,Colombia,Informes financieros,False,111160,59283,53.33
2025-03,Colombia,Inventarios,False,111160,44115,39.69
2025-03,Colombia,Nómina electrónica,False,111160,8521,7.67
2025-03,Colombia,App móvil,False,111160,9064,8.15
2025-03,Colombia,Cobranza por WhatsApp,False,111160,220,0.2
2025-03,Colombia,Siigo Pay,False,111160,242,0.22
2025-03,Colombia,Centros de costo,False,111160,6717,6.04
2025-03,Colombia,API pública,False,111160,235,0.21
2025-03,Colombia,Conciliación bancaria IA,True,111160,217,0.2
2025-03,Colombia,Captura de facturas por IA,True,111160,218,0.2
2025-03,Colombia,Agente IA fiscal,True,111160,218,0.2
2025-03,México,Facturación electrónica,False,74967,53285,71.08
2025-03,México,Informes financieros,False,74967,32334,43.13
2025-03,México,Inventarios,False,74967,22787,30.4
2025-03,México,Nómina electrónica,False,74967,4455,5.94
2025-03,México,App móvil,False,74967,4730,6.31
2025-03,México,Cobranza por WhatsApp,False,74967,149,0.2
2025-03,México,Siigo Pay,False,74967,143,0.19
2025-03,México,Centros de costo,False,74967,3594,4.79
2025-03,México,API pública,False,74967,148,0.2
2025-03,México,Conciliación bancaria IA,True,74967,147,0.2
2025-03,México,Captura de facturas por IA,True,74967,151,0.2
2025-03,México,Agente IA fiscal,True,74967,145,0.19
2025-03,Ecuador,Facturación electrónica,False,32766,26536,80.99
2025-03,Ecuador,Informes financieros,False,32766,16915,51.62
2025-03,Ecuador,Inventarios,False,32766,11832,36.11
2025-03,Ecuador,Nómina electrónica,False,32766,2233,6.82
2025-03,Ecuador,App móvil,False,32766,2332,7.12
2025-03,Ecuador,Cobranza por WhatsApp,False,32766,67,0.21
2025-03,Ecuador,Siigo Pay,False,32766,66,0.2
2025-03,Ecuador,Centros de costo,False,32766,1810,5.53
2025-03,Ecuador,API pública,False,32766,66,0.2
2025-03,Ecuador,Conciliación bancaria IA,True,32766,64,0.2
2025-03,Ecuador,Captura de facturas por IA,True,32766,64,0.2
2025-03,Ecuador,Agente IA fiscal,True,32766,66,0.2
2025-03,Perú,Facturación electrónica,False,20462,16546,80.87
2025-03,Perú,Informes financieros,False,20462,9587,46.86
2025-03,Perú,Inventarios,False,20462,7623,37.26
2025-03,Perú,Nómina electrónica,False,20462,1336,6.53
2025-03,Perú,App móvil,False,20462,1408,6.88
2025-03,Perú,Cobranza por WhatsApp,False,20462,43,0.21
2025-03,Perú,Siigo Pay,False,20462,42,0.21
2025-03,Perú,Centros de costo,False,20462,1122,5.49
